Aafrika	アフリカ
Austraalia	オーストラリア
Bob Marley	ボブ・マーリー
Carl Sagan	カール・セーガン
Astrobioloogia	宇宙生物学
Füüsika	物理学
Argentina	アルゼンチン
Telekommunikatsioon	電気通信
Peruu	ペルー
Bioloogia	生物学
UFO	未確認飛行物体
Põhja-Korea	朝鮮民主主義人民共和国
Kambodža	カンボジア
Kuiperi vöö	エッジワース・カイパーベルト
Koraan	クルアーン
Dinosaurused	恐竜
Zooloogia	動物学
Islam	イスラム教
Pirnipuu (perekond)	ナシ属
Ljubljana	リュブリャナ
Salvador Allende	サルバドール・アジェンデ
Botaanika	植物学
Ich bin ein Berliner	Ich bin ein Berliner
Lech Wałęsa	レフ・ヴァウェンサ
Ratas	車輪
Entsüklopeedia (Diderot)	百科全書
Denis Diderot	ドゥニ・ディドロ
Georges Brassens	ジョルジュ・ブラッサンス
Vaim (mens)	心
Rahu	平和
Encyclopædia Britannica	ブリタニカ百科事典
Lyon	リヨン
Euroopa Liit	欧州連合
Plovdiv	プロヴディフ
Interneti arhiiv	インターネット・アーカイブ
Tähtede sõda	スター・ウォーズ・シリーズ
Rhône-Alpes	ローヌ＝アルプ地域圏
Veeb	World Wide Web
Naine	女性
Dysoni sfäär	ダイソン球
Sofia	ソフィア (ブルガリア)
Akvedukt	水道橋
Eduardo Frei Montalva	エドゥアルド・フレイ・モンタルバ
Ñ	Ñ
Don Quijote	ドン・キホーテ
Luule	詩
Arvutiviirus	コンピュータウイルス
Tšornobõli katastroof	チェルノブイリ原子力発電所事故
Bill Maher	ビル・マー
Milano	ミラノ
Sõprus	友情
Mälu	記憶
Arthur Rimbaud	アルチュール・ランボー
Torino	トリノ
Roe	糞
Pärak	肛門
Harilik sidrunipuu	レモン
Charles Baudelaire	シャルル・ボードレール
Stendhal	スタンダール
Banaan	バナナ
Émile Zola	エミール・ゾラ
666	666年
Õis	花
Googol	グーゴル
Mariaani süvik	マリアナ海溝
Vladimir Võssotski	ヴラジーミル・ヴィソツキー
Džomolungma	エベレスト
Anatoomia	解剖学
Linn	都市
Napoleon I	ナポレオン・ボナパルト
Olympus Mons	オリンポス山 (火星)
Füsioloogia	生理学
Täht (astronoomia)	恒星
Vesuuv	ヴェスヴィオ
Päike	太陽
Louis Pasteur	ルイ・パスツール
Ingemar Stenmark	インゲマル・ステンマルク
Valgusaasta	光年
Victor Hugo	ヴィクトル・ユーゴー
Okeaania	オセアニア
Giuseppe Garibaldi	ジュゼッペ・ガリバルディ
Orvieto	オルヴィエート
Kergejõustik	陸上競技
Tsensuur	検閲
Päikesesüsteem	太陽系
Läänemeri	バルト海
Trieste	トリエステ
Wisła	ヴィスワ川
Champs-Élysées	シャンゼリゼ通り
Odra	オーデル川
Hambad	歯
Rachel Maddow	レイチェル・マドー
Vesinik	水素
Heelium	ヘリウム
Põrgu	地獄
Wikimedia Commons	ウィキメディア・コモンズ
Puhastustuli	煉獄
Angela Merkel	アンゲラ・メルケル
Liitium	リチウム
Berüllium	ベリリウム
Kõlar	スピーカー
Raamat	本
Ööpäev	日
Ida-Timor	東ティモール
Öö	夜
Aasta	年
Sajandid	世紀
Łódź	ウッチ
Villeurbanne	ヴィルールバンヌ
Mont Blanc	モンブラン
Rein	ライン川
Oslo	オスロ
Bonn	ボン
Pühakutepäev	諸聖人の日
Katowice	カトヴィツェ
Must auk	ブラックホール
Luís Vaz de Camões	ルイス・デ・カモンイス
Gei	ゲイ
The King of Rome	キング・オブ・ローマ
Ceres (kääbusplaneet)	ケレス (準惑星)
Lissabon	リスボン
Rzeszów	ジェシュフ
Ichirō Suzuki	イチロー
Haumea (kääbusplaneet)	ハウメア (準惑星)
Rhône	ローヌ川
Makemake (kääbusplaneet)	マケマケ (準惑星)
Michael Bloomberg	マイケル・ブルームバーグ
Iona	アイオナ島
136199 Eris	エリス (準惑星)
Dubai emiraat	ドバイ
Lionel Messi	リオネル・メッシ
Padova	パドヴァ
Boor	ホウ素
Mikołaj Kopernik	ニコラウス・コペルニクス
Versailles	ヴェルサイユ
Ludwigsburg	ルートヴィヒスブルク
Süsinik	炭素
Alessandro Del Piero	アレッサンドロ・デル・ピエロ
Volga	ヴォルガ川
Lämmastik	窒素
Bergamo	ベルガモ
Hapnik	酸素
Milano Internazionale	インテルナツィオナーレ・ミラノ
Jean Moulin	ジャン・ムーラン
Planeet	惑星
Kleopatra VII	クレオパトラ7世
Kate Bush	ケイト・ブッシュ
Muusika	音楽
Aberratsioon (optika)	収差
Veneetsia	ヴェネツィア
Naruto (manga)	NARUTO -ナルト-
Po	ポー川
Sharm el Sheikh	シャルム・エル・シェイク
Neeva	ネヴァ川
Termomeeter	温度計
Rennes	レンヌ
Lille	リール (フランス)
Moskva	モスクワ
Fluor	フッ素
Itaalia keel	イタリア語
Chihuahua	チワワ
Neoon	ネオン
Chihuahua osariik	チワワ州
Peterburi	サンクトペテルブルク
Tšaad	チャド
Naatrium	ナトリウム
Põhi	北
Magneesium	マグネシウム
Vesioinas	水槌ポンプ
Alumiinium	アルミニウム
Uus-Meremaa	ニュージーランド
Lõuna	南
India	インド
Räni	ケイ素
Frantsium	フランシウム
Tuvalu	ツバル
One Piece	ONE PIECE
Fosfor	リン
André-Marie Ampère	アンドレ＝マリ・アンペール
Proosa	散文
Raud	鉄
Tonga	トンガ
Lääs	西
Alessandro Volta	アレッサンドロ・ボルタ
Väävel	硫黄
Samoa	サモア
Ida	東
Saalomoni Saared	ソロモン諸島
Vanuatu	バヌアツ
Molière	モリエール
Kloor	塩素
Delft	デルフト
Paapua Uus-Guinea	パプアニューギニア
William Shakespeare	ウィリアム・シェイクスピア
Valm	寓話
Lõuna-Holland	南ホラント州
Belau	パラオ
Argoon	アルゴン
Nauru	ナウル
Mozilla Firefox	Mozilla Firefox
Muinasjutt	メルヘン
Põhja-Holland	北ホラント州
Mikroneesia Liiduriigid	ミクロネシア連邦
Kaalium	カリウム
Lyoni Olympique	オリンピック・リヨン
Zeelandi provints	ゼーラント州
Kaltsium	カルシウム
Flevoland	フレヴォラント州
Plii	鉛
Marshalli Saared	マーシャル諸島
Kiribati	キリバス
Mongoolia	モンゴル国
Fidži	フィジー
Skandium	スカンジウム
Stevie Wonder	スティーヴィー・ワンダー
Heilbronn	ハイルブロン
Titaan	チタン
Venezuela	ベネズエラ
Male	チェス
Tšingis-khaan	チンギス・カン
Vanaadium	バナジウム
Maine	メイン州
Kroom	クロム
Hobune	ウマ
Amsterdam	アムステルダム
Relv	武器
Loomad	動物
Suriname	スリナム
Mangaan	マンガン
Paraguay	パラグアイ
Guyana	ガイアナ
Kunst	芸術
Ecuador	エクアドル
Reenium	レニウム
Colombia	コロンビア
Koobalt	コバルト
Jean Racine	ジャン・ラシーヌ
Volfram	タングステン
Nikkel	ニッケル
Maasikas	オランダイチゴ属
Pierre Corneille	ピエール・コルネイユ
Budism	仏教
Groningen	フローニンゲン
Boliivia	ボリビア
Osmium	オスミウム
Groningeni provints	フローニンゲン州
Vask	銅
Trinidad ja Tobago	トリニダード・トバゴ
Paul Verlaine	ポール・ヴェルレーヌ
Taimed	植物
Saint Vincent ja Grenadiinid	セントビンセント・グレナディーン
Tsink	亜鉛
New Hampshire	ニューハンプシャー州
Saint Lucia	セントルシア
Białystok	ビャウィストク
Leonardo da Vinci	レオナルド・ダ・ヴィンチ
Saint Kitts ja Nevis	セントクリストファー・ネイビス
Seened	菌類
Dario Fo	ダリオ・フォ
Jamaica	ジャマイカ
Stéphane Mallarmé	ステファヌ・マラルメ
Grenada	グレナダ
Friisimaa provints	フリースラント州
Massachusetts	マサチューセッツ州
Drenthe provints	ドレンテ州
Overijsseli provints	オーファーアイセル州
Guatemala	グアテマラ
Gelderlandi provints	ヘルダーラント州
Utrechti provints	ユトレヒト州
Google Chrome	Google Chrome
Bahama	バハマ
Connecticut	コネチカット州
Kana	ニワトリ
Antigua ja Barbuda	アンティグア・バーブーダ
Hawaii osariik	ハワイ州
Honduras	ホンジュラス
Dominica	ドミニカ国
Jersey	ジャージー
Dominikaani Vabariik	ドミニカ共和国
Siga	ブタ
Põhja-Jäämeri	北極海
Haiti	ハイチ
Taumata­whakatangihanga­koauau­o­tamatea­pokai­whenua­ki­tana­tahu	タウマタファカタンギハンガコアウアウオタマテアポカイフェヌアキタナタフ
El Salvador	エルサルバドル
Zwolle	ズヴォレ
Iraan	イラン
Iraak	イラク
Alaska	アラスカ州
Costa Rica	コスタリカ
Iisrael	イスラエル
Utrecht	ユトレヒト
Panama	パナマ
Jeemen	イエメン
Lausanne	ローザンヌ
Viirused	ウイルス
Poola keel	ポーランド語
Jordaania	ヨルダン
Nicaragua	ニカラグア
Florida	フロリダ州
Kõrgõzstan	キルギス
Arizona	アリゾナ州
Kuveit	クウェート
Laos	ラオス
Liibanon	レバノン
Oregon	オレゴン州
Maldiivid	モルディブ
Ameerika	アメリカ州
Utah	ユタ州
Veis	ウシ
Malaisia	マレーシア
Valais' kanton	ヴァレー州
Mihhail Bulgakov	ミハイル・ブルガーコフ
Birma	ミャンマー
Nepal	ネパール
Andrei Rubljov	アンドレイ・ルブリョフ
Omaan	オマーン
Pakistan	パキスタン
James Bond	ジェームズ・ボンド
Katar	カタール
Tennis	テニス
François Villon	フランソワ・ヴィヨン
MySQL	MySQL
Saudi Araabia	サウジアラビア
Andrei Tarkovski	アンドレイ・タルコフスキー
Sri Lanka	スリランカ
Jossif Stalin	ヨシフ・スターリン
Vöötkood	バーコード
Süüria	シリア
Platon	プラトン
Gallium	ガリウム
Jossif Brodski	ヨシフ・ブロツキー
Tadžikistan	タジキスタン
Pokémon	ポケットモンスター
Hiina Vabariik	中華民国
YouTube	YouTube
Germaanium	ゲルマニウム
Aristoteles	アリストテレス
Tai	タイ王国
Rong	列車
Arseen	ヒ素
Raadio	ラジオ
Meryl Streep	メリル・ストリープ
Türkmenistan	トルクメニスタン
Abakan	アバカン
Seleen	セレン
Iriidium	イリジウム
Araabia Ühendemiraadid	アラブ首長国連邦
Broom	臭素
Plaatina	白金
Vietnam	ベトナム
Charlie Chaplin	チャールズ・チャップリン
Novosibirsk	ノヴォシビルスク
Lõuna-Korea	大韓民国
Józef Piłsudski	ユゼフ・ピウスツキ
Simpsonid	ザ・シンプソンズ
Jekaterinburg	エカテリンブルク
Krüptoon	クリプトン
Afganistan	アフガニスタン
Gangnam Style	江南スタイル
Nižni Novgorod	ニジニ・ノヴゴロド
J. R. R. Tolkien	J・R・R・トールキン
Limonaad	レモネード
Samara	サマーラ
Rubiidium	ルビジウム
Kuld	金
Omsk	オムスク
Suessi kanal	スエズ運河
Kaasan	カザン
Teadlane	科学者
Bangladesh	バングラデシュ
Bleach (manga)	BLEACH
Franz Kafka	フランツ・カフカ
Tšeljabinsk	チェリャビンスク
Rostov Doni ääres	ロストフ・ナ・ドヌ
Jorge Luis Borges	ホルヘ・ルイス・ボルヘス
Ufa	ウファ
Mali	マリ共和国
Sokrates	ソクラテス
Volgograd	ヴォルゴグラード
Angola	アンゴラ
Perm	ペルミ
Bhutan	ブータン
Twitter	Twitter
Krasnojarsk	クラスノヤルスク
Brunei	ブルネイ
Brač	ブラチ島
Tansaania	タンザニア
Elavhõbe	水銀
Roald Amundsen	ロアール・アムンセン
Harry Mulisch	ハリー・ムリシュ
Filipiinid	フィリピン
Kesk-Aafrika Vabariik	中央アフリカ共和国
Naruto Uzumaki	うずまきナルト
Tallium	タリウム
Lõunapoolus	南極点
Põhjapoolus	北極点
Isaac Newton	アイザック・ニュートン
OpenStreetMap	オープンストリートマップ
Albert Einstein	アルベルト・アインシュタイン
Strontsium	ストロンチウム
Pedro I (Brasiilia)	ペドロ1世 (ブラジル皇帝)
Uimasti	麻薬
Ütrium	イットリウム
Vismut	ビスマス
Kollane	黄色
Kvantmehaanika	量子力学
Togo	トーゴ
Donald Tusk	ドナルド・トゥスク
Tuneesia	チュニジア
John Bardeen	ジョン・バーディーン
Sambia	ザンビア
Zimbabwe	ジンバブエ
Peking	北京市
Lõuna-Sudaan	南スーダン
Vladivostok	ウラジオストク
Tõva	トゥヴァ共和国
Benin	ベナン
Botswana	ボツワナ
Burkina Faso	ブルキナファソ
Burundi	ブルンジ
Komoorid	コモロ
Kongo Vabariik	コンゴ共和国
Alkmaar	アルクマール
Ob	オビ川
Kongo Demokraatlik Vabariik	コンゴ民主共和国
San Antonio	サンアントニオ
Tomsk	トムスク
Djibouti	ジブチ
Meem	ミーム
Poloonium	ポロニウム
Baieri	バイエルン州
Maailma karikavõistlused mäesuusatamises	アルペンスキー・ワールドカップ
Ekvatoriaal-Guinea	赤道ギニア
Baden-Württemberg	バーデン＝ヴュルテンベルク州
Eritrea	エリトリア
New Delhi	ニューデリー
Johannes Paulus II	ヨハネ・パウロ2世 (ローマ教皇)
Fjodor Dostojevski	フョードル・ドストエフスキー
Amersfoort	アメルスフォールト
Kamtšatka poolsaar	カムチャツカ半島
Thbilisi	トビリシ
Andrei Sahharov	アンドレイ・サハロフ
Astaat	アスタチン
Gabon	ガボン
Mahatma Gandhi	マハトマ・ガンディー
Tšuktši poolsaar	チュクチ半島
Koomiks	漫画
Gambia	ガンビア
Guinea	ギニア
Guinea-Bissau	ギニアビサウ
Elevandiluurannik	コートジボワール
Kamerun	カメルーン
Maribor	マリボル
Roheneemesaared	カーボベルデ
Celje	ツェリェ
Lesotho	レソト
Libeeria	リベリア
Koper	コペル
Liibüa	リビア
Aachen	アーヘン
Madagaskar	マダガスカル
Malawi	マラウイ
Kranj	クラーニ
Stuttgart	シュトゥットガルト
Triglav	トリグラウ山
Mauritaania	モーリタニア
Poolakad	ポーランド人
Mauritius	モーリシャス
Maroko	モロッコ
Mosambiik	モザンビーク
Namiibia	ナミビア
Niger	ニジェール
Nigeeria	ナイジェリア
Charles Darwin	チャールズ・ダーウィン
Uganda	ウガンダ
Rwanda	ルワンダ
Tsirkoonium	ジルコニウム
São Tomé ja Príncipe	サントメ・プリンシペ
Karlsruhe	カールスルーエ
Senegal	セネガル
Seišellid	セーシェル
Carl von Linné	カール・フォン・リンネ
Sierra Leone	シエラレオネ
Somaalia	ソマリア
Nioobium	ニオブ
Jawaharlal Nehru	ジャワハルラール・ネルー
Julius Caesar	ガイウス・ユリウス・カエサル
Sudaan	スーダン
Svaasimaa	スワジランド
Vikerkaar	虹
Molübdeen	モリブデン
Tehneetsium	テクネチウム
Hamburg	ハンブルク
Metabolism	代謝
Narendra Modi	ナレンドラ・モディ
Immuunsüsteem	免疫系
Gujarat	グジャラート州
Ontario järv	オンタリオ湖
Evolutsioon	進化
Ühinenud Rahvaste Organisatsioon	国際連合
Ülemjärv	スペリオル湖
Dante Alighieri	ダンテ・アリギエーリ
Geoloogia	地質学
Ahmadabad	アフマダーバード
Geograafia	地理学
Süda	心臓
Peaaju	脳
Nahk	皮膚
Värvus	色
Star Trek (sari)	宇宙大作戦
Halvale teele	ブレイキング・バッド
Nimisõna	名詞
Praha	プラハ
Ruteenium	ルテニウム
Roodium	ロジウム
Sinine	青
Pallaadium	パラジウム
Hõbe	銀
Kaadmium	カドミウム
Star Trek	スタートレック
Limburgi provints (Holland)	リンブルフ州 (オランダ)
Indium	インジウム
Limburgi provints (Belgia)	リンブルフ州 (ベルギー)
Tina	スズ
Uraan	ウラン
Antimon	アンチモン
Telluur	テルル
Põhja-Brabant	北ブラバント州
Plutoonium	プルトニウム
Jood	ヨウ素
Neptuunium	ネプツニウム
Ksenoon	キセノン
Anime	アニメ
Tseesium	セシウム
Protaktiinium	プロトアクチニウム
Elektrilaeng	電荷
Baarium	バリウム
Lääne-Flandria provints	ウェスト＝フランデレン州
Ida-Flandria	オースト＝フランデレン州
Toorium	トリウム
Antwerpeni provints	アントウェルペン州
Flaami Brabant	フラームス＝ブラバント州
Hafnium	ハフニウム
Aktiinium	アクチニウム
Vallooni Brabant	ブラバン・ワロン州
Tantaal	タンタル
Bill Clinton	ビル・クリントン
Namuri provints	ナミュール州
Luxembourg'i provints	リュクサンブール州
Liège'i provints	リエージュ州
Raadium	ラジウム
Hainaut	エノー州
Iserlohn	イーザーローン
Ahlen	アーレン (ノルトライン＝ヴェストファーレン)
Radoon	ラドン
Lorraine	ロレーヌ地域圏
Alsace	アルザス地域圏
Jean-Philippe Rameau	ジャン＝フィリップ・ラモー
Indira Gandhi	インディラ・ガンディー
Mercurius	メルクリウス
Hector Berlioz	エクトル・ベルリオーズ
Auvergne	オーヴェルニュ地域圏
Busto Arsizio	ブスト・アルシーツィオ
Mumbai	ムンバイ
IAAF	国際陸上競技連盟
Andhra Pradesh	アーンドラ・プラデーシュ州
Arunachal Pradesh	アルナーチャル・プラデーシュ州
Assam	アッサム州
Bihar	ビハール州
Michigan	ミシガン州
Chhattisgarh	チャッティースガル州
Michigani järv	ミシガン湖
Goa osariik	ゴア州
Burgundia	ブルゴーニュ地域圏
Haryana	ハリヤーナー州
Himachal Pradesh	ヒマーチャル・プラデーシュ州
Maurice Ravel	モーリス・ラヴェル
Akvitaania	アキテーヌ地域圏
Jammu ja Kashmir	ジャンムー・カシミール州
Puerto Rico	プエルトリコ
Jharkhand	ジャールカンド州
Karnataka	カルナータカ州
Kerala	ケーララ州
Madhya Pradesh	マディヤ・プラデーシュ州
Usain Bolt	ウサイン・ボルト
Limousin	リムーザン地域圏
Maharashtra	マハーラーシュトラ州
Jean-Baptiste Lully	ジャン＝バティスト・リュリ
Manipur	マニプル州
Schleswig-Holstein	シュレースヴィヒ＝ホルシュタイン州
Meghalaya	メーガーラヤ州
Mecklenburg-Vorpommern	メクレンブルク＝フォアポンメルン州
Alam-Saksi	ニーダーザクセン州
Nordrhein-Westfalen	ノルトライン＝ヴェストファーレン州
Hessen	ヘッセン州
Rheinland-Pfalz	ラインラント＝プファルツ州
Saarimaa	ザールラント州
Saksimaa	ザクセン州
John Lennon	ジョン・レノン
Illinois	イリノイ州
Tüüringi	テューリンゲン州
Saksi-Anhalt	ザクセン＝アンハルト州
Põhja-Dakota	ノースダコタ州
Brandenburg	ブランデンブルク州
Bremeni liidumaa	ブレーメン州
Lombardia	ロンバルディア州
Lõuna-Dakota	サウスダコタ州
Montana	モンタナ州
Wyoming	ワイオミング州
Straight edge	ストレート・エッジ
Piemonte	ピエモンテ州
Jeruusalemm	エルサレム
Giorgio Napolitano	ジョルジョ・ナポリターノ
Idaho	アイダホ州
Valle d'Aosta	ヴァッレ・ダオスタ州
Washingtoni osariik	ワシントン州
Carlo Azeglio Ciampi	カルロ・アツェリオ・チャンピ
Bruce Springsteen	ブルース・スプリングスティーン
Rutherfordium	ラザホージウム
Nevada	ネバダ州
Oscar Luigi Scalfaro	オスカル・ルイージ・スカルファロ
Don	ドン川
Francesco Cossiga	フランチェスコ・コッシガ
Dubnium	ドブニウム
Seaborgium	シーボーギウム
Trentino-Alto Adige	トレンティーノ＝アルト・アディジェ州
India ookean	インド洋
Veneto	ヴェネト州
Kosovo	コソボ
Kariibi meri	カリブ海
Bohrium	ボーリウム
Friuli-Venezia Giulia	フリウリ＝ヴェネツィア・ジュリア州
Hassium	ハッシウム
Ban Ki-moon	潘基文
