افریقہ	アフリカ
ولیم شیکسپیئر	ウィリアム・シェイクスピア
پلاؤ	パラオ
ناورو	ナウル
موزیلا فائرفاکس	Mozilla Firefox
پوٹاشیم	カリウム
زی لینڈ	ゼーラント州
کیلشیم	カルシウム
سیسہ	鉛
جزائر مارشل	マーシャル諸島
کیریباتی	キリバス
منگولیا	モンゴル国
فجی	フィジー
اسکینصر	スカンジウム
وینیزویلا	ベネズエラ
شطرنج	チェス
سگینؤ، مشی گن	サギノー (ミシガン州)
چنگیز خان	チンギス・カン
مینے	メイン州
گھوڑا	ウマ
ایمسٹرڈیم	アムステルダム
اسلحہ	武器
جانور	動物
سرینام	スリナム
پیراگوئے	パラグアイ
گیانا	ガイアナ
فن	芸術
ایکواڈور	エクアドル
رہینیئم	レニウム
کولمبیا	コロンビア
کوبالٹ	コバルト
ٹنگسٹن	タングステン
Nickel	ニッケル
بدھ مت	仏教
بولیویا	ボリビア
Osmium	オスミウム
تانبا	銅
نباتات	植物
سینٹ وینسینٹ و گریناڈائنز	セントビンセント・グレナディーン
جست	亜鉛
نیو ہیمپشائر	ニューハンプシャー州
سینٹ لوسیا	セントルシア
لیونارڈو ڈا ونچی	レオナルド・ダ・ヴィンチ
سینٹ کیٹز و ناویس	セントクリストファー・ネイビス
پھپھوند	菌類
ڈاریو فو	ダリオ・フォ
جمیکا	ジャマイカ
گریناڈا	グレナダ
میساچوسٹس	マサチューセッツ州
گوئٹے مالا	グアテマラ
گوگل کروم	Google Chrome
بہاماس	バハマ
کنیکٹیکٹ	コネチカット州
مرغی	ニワトリ
اینٹیگوا و باربوڈا	アンティグア・バーブーダ
ہوائی	ハワイ州
ہونڈوراس	ホンジュラス
ڈومینیکا	ドミニカ国
جرزی	ジャージー
جمہوریہ ڈومینیکن	ドミニカ共和国
سؤر	ブタ
بحر منجمد شمالی	北極海
ہیٹی	ハイチ
ایل سیلواڈور	エルサルバドル
ایران	イラン
عراق	イラク
الاسکا	アラスカ州
دانائی	知恵
کوسٹاریکا	コスタリカ
اسرائیل	イスラエル
پاناما	パナマ
یمن	イエメン
لوزان	ローザンヌ
حُمہ	ウイルス
اردن	ヨルダン
نکاراگوا	ニカラグア
فلوریڈا	フロリダ州
کرغیزستان	キルギス
ایریزونا	アリゾナ州
کویت	クウェート
لاؤس	ラオス
لبنان	レバノン
اوریگون	オレゴン州
مالدیپ	モルディブ
امریکین	アメリカ州
یوٹاہ	ユタ州
گائے	ウシ
ملائیشیا	マレーシア
میانمار	ミャンマー
نیپال	ネパール
سلطنت عمان	オマーン
پاکستان	パキスタン
جیمز بانڈ	ジェームズ・ボンド
قطر	カタール
ٹینس	テニス
سعودی عرب	サウジアラビア
سری لنکا	スリランカ
جوزف استالن	ヨシフ・スターリン
شام	シリア
افلاطون	プラトン
جوزف برودسکی	ヨシフ・ブロツキー
تاجکستان	タジキスタン
پوکیمون	ポケットモンスター
جمہوریۂ چین	中華民国
یوٹیوب	YouTube
جرمانیئم	ゲルマニウム
ارسطو	アリストテレス
تھائی لینڈ	タイ王国
ریل گاڑی	列車
زرنیخ	ヒ素
مشعہ	ラジオ
ترکمانستان	トルクメニスタン
اباکان	アバカン
Iridium	イリジウム
متحدہ عرب امارات	アラブ首長国連邦
پلاٹینیم	白金
ویتنام	ベトナム
چارلی چیپلن	チャールズ・チャップリン
نووسیبیرسک	ノヴォシビルスク
جنوبی کوریا	大韓民国
دا سمپسنز	ザ・シンプソンズ
یاکاٹرنبرگ	エカテリンブルク
افغانستان	アフガニスタン
گانگنام اسٹائل	江南スタイル
نزہنی نووگورود	ニジニ・ノヴゴロド
جان رونالڈ روئل ٹولکین	J・R・R・トールキン
سمارا، روس	サマーラ
سونا	金
اومسک	オムスク
نہر سوئز	スエズ運河
قازان	カザン
سائنسدان	科学者
بنگلہ دیش	バングラデシュ
فرانز کافکا	フランツ・カフカ
چیلیابنسک	チェリャビンスク
روستوف-نا-دونو	ロストフ・ナ・ドヌ
جارج لوئی بورگیس	ホルヘ・ルイス・ボルヘス
اوفا	ウファ
مالی	マリ共和国
سقراط	ソクラテス
وولگو گراد	ヴォルゴグラード
انگولہ	アンゴラ
پیرم	ペルミ
بھوٹان	ブータン
ٹویٹر	Twitter
کراسنویارسک	クラスノヤルスク
برونائی دار السلام	ブルネイ
تنزانیہ	タンザニア
پارہ	水銀
روآل آمونسن	ロアール・アムンセン
فلپائن	フィリピン
وسطی افریقی جمہوریہ	中央アフリカ共和国
تھیلیئم	タリウム
قطب جنوبی	南極点
قطب شمالی	北極点
آئزک نیوٹن	アイザック・ニュートン
البرٹ آئنسٹائن	アルベルト・アインシュタイン
بسمیتھ	ビスマス
پیلا	黄色
کوانٹم میکانکس	量子力学
ٹوگو	トーゴ
تونس	チュニジア
زیمبیا	ザンビア
زمبابوے	ジンバブエ
بیجنگ	北京市
فہرستوں کی فہرست	一覧の一覧
جنوبی سوڈان	南スーダン
ولادیوستوک	ウラジオストク
تووا	トゥヴァ共和国
بینن	ベナン
بوٹسوانا	ボツワナ
برکینا فاسو	ブルキナファソ
برونڈی	ブルンジ
اتحاد القمری	コモロ
جمہوریہ کانگو	コンゴ共和国
جمہوری جمہوریہ کانگو	コンゴ民主共和国
سان انٹونیو	サンアントニオ
ٹومسک	トムスク
جبوتی	ジブチ
پولونیئم	ポロニウム
بواریا	バイエルン州
استوائی گنی	赤道ギニア
بادن-وورتمبرگ	バーデン＝ヴュルテンベルク州
اریتریا	エリトリア
نئی دہلی	ニューデリー
فیودر دوستوئیفسکی	フョードル・ドストエフスキー
جزیرہ نما کامچاٹکا	カムチャツカ半島
تبلیسی	トビリシ
عیسٹاٹین	アスタチン
گیبون	ガボン
موہن داس گاندھی	マハトマ・ガンディー
کامکس	漫画
گیمبیا	ガンビア
جمہوریہ گنی	ギニア
گنی بساؤ	ギニアビサウ
کوت داوواغ	コートジボワール
کیمرون	カメルーン
کیپ ورڈی	カーボベルデ
لیسوتھو	レソト
لائبیریا	リベリア
لیبیا	リビア
آچن	アーヘン
مڈغاسکر	マダガスカル
ملاوی	マラウイ
شٹوٹگارٹ	シュトゥットガルト
موریتانیہ	モーリタニア
مراکش	モロッコ
موزمبیق	モザンビーク
نمیبیا	ナミビア
نائجر	ニジェール
نائجیریا	ナイジェリア
ڈارون	チャールズ・ダーウィン
یوگنڈا	ウガンダ
روانڈا	ルワンダ
ساؤ ٹومے و پرنسپے	サントメ・プリンシペ
سینیگال	セネガル
سیچیلیس	セーシェル
لنی اس	カール・フォン・リンネ
سیرالیون	シエラレオネ
صومالیہ	ソマリア
جواہر لعل نہرو	ジャワハルラール・ネルー
جولیس سیزر	ガイウス・ユリウス・カエサル
سوڈان	スーダン
سوازی لینڈ	スワジランド
دھنک	虹
ہامبرگ	ハンブルク
استِقلاب	代謝
نریندر مودی	ナレンドラ・モディ
مناعی نظام	免疫系
گجرات (بھارت)	グジャラート州
جھیل انٹاریو	オンタリオ湖
نظریۂ ارتقا	進化
اقوام متحدہ	国際連合
جھیل سپیریئر	スペリオル湖
دانتے الیگیری	ダンテ・アリギエーリ
ارضیات	地質学
احمد آباد	アフマダーバード
جغرافیہ	地理学
قلب	心臓
دماغ	脳
جلد	皮膚
رنگ	色
اسم	名詞
پراگ	プラハ
نیلا	青
چاندی	銀
کیڈمیئم	カドミウム
قلع	スズ
یورینیئم	ウラン
کحل	アンチモン
شمالی برابانٹ	北ブラバント州
پلوٹونیئم	プルトニウム
آیوڈین	ヨウ素
نیپچونیئم	ネプツニウム
زینون	キセノン
اینیمے	アニメ
سیزیئم	セシウム
Protactinium	プロトアクチニウム
برقی بار	電荷
بیریئم	バリウム
Thorium	トリウム
ہفنیئم	ハフニウム
عیکٹنیئم	アクチニウム
Tantalum	タンタル
بل کلنٹن	ビル・クリントン
لکسمبرگ (بیلجیم)	リュクサンブール州
ریڈیم	ラジウム
اہلن	アーレン (ノルトライン＝ヴェストファーレン)
ریڈون	ラドン
اندرا گاندھی	インディラ・ガンディー
ہیکٹر برلیوز	エクトル・ベルリオーズ
جمنگر	ジャームナガル
ممبئی	ムンバイ
آندھرا پردیش	アーンドラ・プラデーシュ州
اروناچل پردیش	アルナーチャル・プラデーシュ州
آسام	アッサム州
بہار (بھارت)	ビハール州
مشی گن	ミシガン州
چھتیس گڑھ	チャッティースガル州
جھیل مشی گن	ミシガン湖
گوا	ゴア州
ہریانہ	ハリヤーナー州
ہماچل پردیش	ヒマーチャル・プラデーシュ州
جموں و کشمیر	ジャンムー・カシミール州
پورٹو ریکو	プエルトリコ
جھاڑکھنڈ	ジャールカンド州
کرناٹک	カルナータカ州
کیرلا	ケーララ州
مدھیہ پردیش	マディヤ・プラデーシュ州
یوسین بولٹ	ウサイン・ボルト
مہاراشٹر	マハーラーシュトラ州
منی پور	マニプル州
شلسویگ-ہولشتائن	シュレースヴィヒ＝ホルシュタイン州
میگھالیہ	メーガーラヤ州
مکلنبرگ-ورپورمرن	メクレンブルク＝フォアポンメルン州
نیدرزاکسن	ニーダーザクセン州
نوردرائن-ویسٹ فالیا	ノルトライン＝ヴェストファーレン州
ہیسے	ヘッセン州
رائنلینڈ-پالاتینات	ラインラント＝プファルツ州
سارلینڈ	ザールラント州
زاکسن	ザクセン州
الینوائے	イリノイ州
تورینگن	テューリンゲン州
زاکسن-آنہالت	ザクセン＝アンハルト州
شمالی ڈکوٹا	ノースダコタ州
برندنبرگ	ブランデンブルク州
برمن (ریاست)	ブレーメン州
لومباردیہ	ロンバルディア州
جنوبی ڈکوٹا	サウスダコタ州
مونٹانا	モンタナ州
وائیومنگ	ワイオミング州
پیعیمونتے	ピエモンテ州
یروشلم	エルサレム
ایڈاہو	アイダホ州
وادی آوستہ	ヴァッレ・ダオスタ州
ریاست واشنگٹن	ワシントン州
ردرفورڈیئم	ラザホージウム
نیواڈا	ネバダ州
ڈبنئیم	ドブニウム
سیبورگئیم	シーボーギウム
ترینتینو جنوبی ٹائرول	トレンティーノ＝アルト・アディジェ州
بحر ہند	インド洋
وینیتو	ヴェネト州
بحیرہ کیریبین	カリブ海
بورئیم	ボーリウム
فریولی وینیزیا جولیا	フリウリ＝ヴェネツィア・ジュリア州
ہاسیئم	ハッシウム
بان کی مون	潘基文
کوفی عنان	コフィー・アナン
لیگوریا	リグーリア州
Meitnerium	マイトネリウム
کرٹ والڈہائیم	クルト・ヴァルトハイム
کولوراڈو	コロラド州
ایمیلیا رومانیا	エミリア＝ロマーニャ州
اوتھاں	ウ・タント
دریائے کولوراڈو	コロラド川
ڈارمسٹادیئم	ダームスタチウム
فریڈرک شوپن	フレデリック・ショパン
روٹجینیم	レントゲニウム
تسکانہ	トスカーナ州
مارکے	マルケ州
امبریا	ウンブリア州
زمرہ:محتویات	Category:主要カテゴリ
لازیو	ラツィオ州
آبروزو	アブルッツォ州
الپس	アルプス山脈
گرونوبل	グルノーブル
پاسکل	ブレーズ・パスカル
برون	ブロン (フランス)
ڈرافٹس	チェッカー
شکاگو, الینوائے	シカゴ
بیٹلز	ビートルズ
کومو	コモ
ماستریخت	マーストリヒト
موسم سرما	冬
بہار	春
موسم گرما	夏
خزاں	秋
صدام حسین	サッダーム・フセイン
اسامہ بن لادن	ウサーマ・ビン・ラーディン
ہسپانوی زبان	スペイン語
مونٹیویڈیو	モンテビデオ
جوہن باخ	ヨハン・ゼバスティアン・バッハ
انتونیو ویوالدی	アントニオ・ヴィヴァルディ
تولیاتی	トリヤッチ
اوپرا	オペラ
فلاڈیلفیا, پنسلوانیا	フィラデルフィア
کولکاتہ	コルカタ
چینائی	チェンナイ
دلی	デリー
ڈھاکہ	ダッカ
بنگلور	バンガロール
مغربی بنگال	西ベンガル州
مکڑی	クモ
مفصلی پایہ	節足動物
حیدرآباد، دکن	ハイデラバード
اسلام آباد	イスラマバード
تری پورہ	トリプラ州
پھل	果実
زر	貨幣
ورجینیا	バージニア州
مغربی ورجینیا	ウェストバージニア州
میٹرہارن	マッターホルン
جھیل ہیورون	ヒューロン湖
نیویارک	ニューヨーク州
سیریئم	セリウム
Praseodymium	プラセオジム
رہوڈ آئی لینڈ	ロードアイランド州
Neodymium	ネオジム
حشرات	昆虫
میری لینڈ	メリーランド州
ڈیلاویئر	デラウェア州
ولادیمیر لینن	ウラジーミル・レーニン
یوروپیئم	ユウロピウム
اوہائیو	オハイオ州
ورجل	ウェルギリウス
نکولو مکیاویلی	ニッコロ・マキャヴェッリ
پنسلوانیا	ペンシルベニア州
بوکاچیو	ジョヴァンニ・ボッカッチョ
لیوگی پیرنڈیلو	ルイジ・ピランデルロ
یوٹرسن	ユーテルゼン
آگسٹس	アウグストゥス
مائیکروسافٹ ونڈوز	Microsoft Windows
نیو جرسی	ニュージャージー州
جبل الطارق	ジブラルタル
نیرو	ネロ
انڈیانا	インディアナ州
نوکیا	ノキア
خودمتحرک	自動車
ٹائٹس	ティトゥス
جووینٹیس	ユヴェントスFC
روجر فیڈرر	ロジャー・フェデラー
جارجیا (امریکی ریاست)	ジョージア州
زغرب	ザグレブ
راجستھان	ラージャスターン州
کمپانیہ	カンパニア州
ٹیکساس	テキサス州
مولیزے	モリーゼ州
تامل ناڈو	タミル・ナードゥ州
پلیہ	プッリャ州
جینوا (اٹلی)	ジェノヴァ
بازیلیکاتا	バジリカータ州
شمالی کیرولینا	ノースカロライナ州
فیلڈ ہاکی	フィールドホッケー
جنوبی کیرولینا	サウスカロライナ州
کلابریا	カラブリア州
صقلیہ	シチリア
منیلا	マニラ
ساردینیا	サルデーニャ
سیبو شہر	セブ
دریائے سین	セーヌ川
داوائو شہر	ダバオ
کویزون سٹی	ケソン
لو مان	ル・マン
کالوکان	カローカン
بورڈو	ボルドー
کوریزون اکینو	コラソン・アキノ
کاویت شہر	カヴィテ
بیونس آئرس	ブエノスアイレス
میکسیکو شہر	メキシコシティ
توکیو	東京都
لا پاز	ラパス
برشلونہ	バルセロナ
انناس	パイナップル
مسیسپی	ミシシッピ州
فرڈیننڈ میگلان	フェルディナンド・マゼラン
دریائے مسیسپی	ミシシッピ川
اتر پردیش	ウッタル・プラデーシュ州
اتراکھنڈ	ウッタラーカンド州
میزورم	ミゾラム州
سکم	シッキム州
پیٹاگونیا	パタゴニア
مکاتی	マカティ
ٹینیسی	テネシー州
رچرڈ واگنر	リヒャルト・ワーグナー
ناگپور	ナーグプル
آبدجان	アビジャン
ابوظہبی (شہر)	アブダビ
آستانہ	アスタナ
نیو میکسیکو	ニューメキシコ州
رمسيس ثانی	ラムセス2世
ایتھنز	アテネ
مینیسوٹا	ミネソタ州
بغداد	バグダード
کراکس	カラカス
متناسق عالمی وقت	協定世界時
وسکونسن	ウィスコンシン州
پونہ	プネー
آئیووا	アイオワ州
نیبراسکا	ネブラスカ州
گوئٹے مالا شہر	グアテマラシティ
کنساس	カンザス州
ہوانا	ハバナ
ہندی زبان	ヒンディー語
مراٹھی زبان	マラーティー語
آواسٹ	Avast!
گنیش	ガネーシャ
مسوری	ミズーリ州
جارج سائمن اوہم	ゲオルク・オーム
لوزیانا	ルイジアナ州
ناگالینڈ	ナガランド州
کینٹکی	ケンタッキー州
آرکنساس	アーカンソー州
نیل آرمسٹرانگ	ニール・アームストロング
اردو	ウルドゥー語
ولنزولا، فلپائن	ヴァレンズエラ
پاسیگ	パシッグ
زامبوانگا شہر	サンボアンガ
ایڈتھ پیاف	エディット・ピアフ
انتیپولو	アンティポロ
تاگیوگ	タギッグ
ایلب	エルベ川
کاگیان دی اورو	カガヤン・デ・オロ
اوکلاہوما	オクラホマ州
دریائے ڈینیوب	ドナウ川
بوتوان	ブトゥアン
بحیرہ شمال	北海
لیگازپی، البائی	レガスピ (フィリピン)
ماسکو اوبلاست	モスクワ州
ایزابیلا، باسیلان	イサベラ (バシラン州)
ہینور	ハノーファー
ڈسلڈورف	デュッセルドルフ
ساربرکن	ザールブリュッケン
میونخ	ミュンヘン
سمارا اوبلاست	サマラ州
والی بال	バレーボール
انسبروک	インスブルック
بریگنز	ブレゲンツ
ویانا	ウィーン
میڈونا	マドンナ (歌手)
کوپن ہیگن	コペンハーゲン
کیلننگراڈ اوبلاست	カリーニングラード州
