Afrika	アフリカ
Wiki	ウィキ
Toronto	トロント
Alabama	アラバマ州
São Paulo	サンパウロ
São Paulo (deelstaat)	サンパウロ州
Quebec	ケベック州
Pizza	ピザ
Wikimedia-stigting	ウィキメディア財団
Jimmy Wales	ジミー・ウェールズ
Duitsland	ドイツ
Wit-Rusland	ベラルーシ
Duits	ドイツ語
Ysland	アイスランド
God	神
Estland	エストニア
David Cameron	デーヴィッド・キャメロン
Saturnus	土星
Saturnus se ringe	土星の環
Sjokolade	チョコレート
Vliegtuig	飛行機
Oorlog	戦争
1 (getal)	1
Stephen Harper	スティーヴン・ハーパー
George W. Bush	ジョージ・W・ブッシュ
Reghoek	長方形
Letland	ラトビア
Oekraïne	ウクライナ
Tsjeggië	チェコ
Slowakye	スロバキア
Slowenië	スロベニア
Vilnius	ヴィリニュス
Moldowa	モルドバ
Roemenië	ルーマニア
Bulgarye	ブルガリア
Rome	ローマ
Republiek van Masedonië	マケドニア共和国
Albanië	アルバニア
Groenland	グリーンランド
Kroasië	クロアチア
Bosnië en Herzegowina	ボスニア・ヘルツェゴビナ
Nuuk	ヌーク
Azerbeidjan	アゼルバイジャン
Andorra	アンドラ
Siprus	キプロス
Georgië	グルジア
Wallonië	ワロン地域
Kasakstan	カザフスタン
Malta	マルタ
Vlaandere	フランドル
Monaco	モナコ
Montenegro	モンテネグロ
Vatikaanstad	バチカン
San Marino	サンマリノ
Brussel	ブリュッセル市
Brusselse Hoofstedelike Gewes	ブリュッセル
Kuba	キューバ
Belize	ベリーズ
Eiffel-toring	エッフェル塔
Barbados	バルバドス
Volkswagen	フォルクスワーゲン
Volkswagen Golf	フォルクスワーゲン・ゴルフ
Intel	インテル
Sleutelbord	キーボード (コンピュータ)
Java (programmeertaal)	Java
Indonesië	インドネシア
QWERTY-sleutelbord	QWERTY配列
Wolfgang Amadeus Mozart	ヴォルフガング・アマデウス・モーツァルト
Ludwig van Beethoven	ルートヴィヒ・ヴァン・ベートーヴェン
Turks	トルコ語
Suid-Afrika	南アフリカ共和国
Linkin Park	リンキン・パーク
Algerië	アルジェリア
Wikisource	ウィキソース
Oesbekistan	ウズベキスタン
Sonnedou	モウセンゴケ属
Poznań	ポズナン
Tasjkent	タシュケント
Warskou	ワルシャワ
Islay	アイラ島
Eurovision-sangfees	ユーロビジョン・ソング・コンテスト
Modena	モデナ
Whiskey	ウイスキー
Wyn	ワイン
Water	水
Konjak	コニャック
Hout	木材
Televisie	テレビ
Geslag	性 (生物学)
Pornografie	ポルノグラフィ
Yslands	アイスランド語
Diego Velázquez	ディエゴ・ベラスケス
Chili	チリ
Jesus van Nasaret	イエス・キリスト
Elvis Presley	エルヴィス・プレスリー
Galileo Galilei	ガリレオ・ガリレイ
Mercurius	水星
Geskiedenis	歴史
Père-Lachaise-begraafplaas	ペール・ラシェーズ墓地
Apple Inc.	アップル インコーポレイテッド
Venus (planeet)	金星
Taal	言語
Liefde	愛
Diktatorskap	独裁政治
Sterrestelsel	銀河
Jupiter (planeet)	木星
Michelle Bachelet	ミシェル・バチェレ
Melkweg	銀河系
Oerknal	ビッグバン
Uranus (planeet)	天王星
Engelse Wikipedia	英語版ウィキペディア
Nicolas Sarkozy	ニコラ・サルコジ
Neptunus (planeet)	海王星
Sterrekunde	天文学
Singapoer	シンガポール
Wetenskap	科学
Pluto (dwergplaneet)	冥王星
Montreal	モントリオール
Vrye sagteware	フリーソフトウェア
Quimper	カンペール
Maria	イエスの母マリア
Lodewyk IX van Frankryk	ルイ9世 (フランス王)
Liechtenstein	リヒテンシュタイン
Sport	スポーツ
Cambridge	ケンブリッジ
Yellowstone Nasionale Park	イエローストーン国立公園
Adolf Hitler	アドルフ・ヒトラー
Facebook	Facebook
WikiLeaks	ウィキリークス
Julian Assange	ジュリアン・アサンジ
Eerste Wêreldoorlog	第一次世界大戦
Tweede Wêreldoorlog	第二次世界大戦
Keulen	ケルン
Wikibooks	ウィキブックス
Wikiquote	ウィキクォート
Wikiversity	ウィキバーシティ
Wikivoyage	ウィキボヤージュ
Wodka	ウォッカ
Ubuntu (Linux)	Ubuntu
Skopje	スコピエ
Gdynia	グディニャ
Linux	Linux
Bob Dylan	ボブ・ディラン
Szczecin	シュチェチン
Wiskunde	数学
U2	U2
Latyn	ラテン語
Bahrein	バーレーン
Armenië	アルメニア
Wigskrif	楔形文字
Higgs-boson	ヒッグス粒子
Serwië	セルビア
Maan	月
Istanboel	イスタンブル
Australië	オーストラリア
Bob Marley	ボブ・マーリー
Carl Sagan	カール・セーガン
Astrobiologie	宇宙生物学
Pioneer-plaat	パイオニア探査機の金属板
Fisika	物理学
Argentinië	アルゼンチン
Telekommunikasie	電気通信
Peru	ペルー
Biologie	生物学
Vreemde vlieënde voorwerp	未確認飛行物体
Noord-Korea	朝鮮民主主義人民共和国
Kambodja	カンボジア
Kuiper-gordel	エッジワース・カイパーベルト
Koran	クルアーン
Dinosourus	恐竜
Dierkunde	動物学
Islam	イスラム教
Ljubljana	リュブリャナ
Plantkunde	植物学
Lech Wałęsa	レフ・ヴァウェンサ
Wiel	車輪
Denis Diderot	ドゥニ・ディドロ
Vrede	平和
Encyclopædia Britannica	ブリタニカ百科事典
Lyon	リヨン
Europese Unie	欧州連合
Rhône-Alpes	ローヌ＝アルプ地域圏
Wêreldwye web	World Wide Web
Vrou	女性
Sofia	ソフィア (ブルガリア)
Akwaduk	水道橋
Poësie	詩
Rekenaarvirus	コンピュータウイルス
Milaan	ミラノ
Turyn	トリノ
Ontlasting	糞
Anus	肛門
Suurlemoen	レモン
Piesang	バナナ
Émile Zola	エミール・ゾラ
666	666年
Blom	花
Wladimir Wisotski	ヴラジーミル・ヴィソツキー
Berg Everest	エベレスト
Anatomie	解剖学
Stad	都市
Napoleon Bonaparte	ナポレオン・ボナパルト
Olympus Mons	オリンポス山 (火星)
Fisiologie	生理学
Ster	恒星
Vesuvius	ヴェスヴィオ
Son	太陽
Louis Pasteur	ルイ・パスツール
Ligjaar	光年
Victor Hugo	ヴィクトル・ユーゴー
Oseanië	オセアニア
Atletiek	陸上競技
Sonnestelsel	太陽系
Oossee	バルト海
Triëst	トリエステ
Vistula	ヴィスワ川
Avenue des Champs-Élysées	シャンゼリゼ通り
Oder	オーデル川
Tand	歯
Waterstof	水素
Helium	ヘリウム
Wikimedia Commons	ウィキメディア・コモンズ
Angela Merkel	アンゲラ・メルケル
Litium	リチウム
Berillium	ベリリウム
Luidspreker	スピーカー
Boek	本
Dag	日
Oos-Timor	東ティモール
Nag	夜
Jaar	年
Eeue	世紀
Łódź	ウッチ
Mont Blanc	モンブラン
Ryn	ライン川
Oslo	オスロ
Bonn	ボン
Katowice	カトヴィツェ
Swartkolk	ブラックホール
Gay	ゲイ
Ceres (dwergplaneet)	ケレス (準惑星)
Lissabon	リスボン
Rzeszów	ジェシュフ
Ichiro Suzuki	イチロー
Haumea	ハウメア (準惑星)
Rhône	ローヌ川
Makemake	マケマケ (準惑星)
Eris (dwergplaneet)	エリス (準惑星)
Doebai (emiraat)	ドバイ
Lionel Messi	リオネル・メッシ
Boor (element)	ホウ素
Nicolaas Copernicus	ニコラウス・コペルニクス
Versailles	ヴェルサイユ
Koolstof	炭素
Wolga	ヴォルガ川
Stikstof	窒素
Suurstof	酸素
FC Internazionale Milano	インテルナツィオナーレ・ミラノ
Planeet	惑星
Cleopatra VII	クレオパトラ7世
Kate Bush	ケイト・ブッシュ
Musiek	音楽
Venesië	ヴェネツィア
Po (rivier)	ポー川
Newarivier	ネヴァ川
Termometer	温度計
Rennes	レンヌ
Lille	リール (フランス)
Moskou	モスクワ
Fluoor	フッ素
Italiaans	イタリア語
Chihuahua (hond)	チワワ
Neon	ネオン
Chihuahua (deelstaat)	チワワ州
Sint Petersburg	サンクトペテルブルク
Tsjad	チャド
Natrium	ナトリウム
Noord	北
Magnesium	マグネシウム
Aluminium	アルミニウム
Nieu-Seeland	ニュージーランド
Suid	南
Indië	インド
Silikon	ケイ素
Tuvalu	ツバル
Fosfor	リン
André-Marie Ampère	アンドレ＝マリ・アンペール
Prosa	散文
Yster	鉄
Tonga	トンガ
Wes	西
Swawel	硫黄
Samoa	サモア
Oos	東
Solomoneilande	ソロモン諸島
Vanuatu	バヌアツ
Molière	モリエール
Chloor	塩素
Bastille (musiekgroep)	バスティル
Delft, Nederland	デルフト
Papoea-Nieu-Guinee	パプアニューギニア
William Shakespeare	ウィリアム・シェイクスピア
Suid-Holland	南ホラント州
Palau	パラオ
Argon	アルゴン
Nauru	ナウル
Mozilla Firefox	Mozilla Firefox
Noord-Holland	北ホラント州
Gefedereerde State van Mikronesië	ミクロネシア連邦
Kalium	カリウム
Zeeland	ゼーラント州
Kalsium	カルシウム
Flevoland	フレヴォラント州
Lood	鉛
Marshalleilande	マーシャル諸島
Kiribati	キリバス
Mongolië	モンゴル国
Fidji	フィジー
Skandium	スカンジウム
Heilbronn	ハイルブロン
Titaan (element)	チタン
Venezuela	ベネズエラ
Skaak	チェス
Saginaw	サギノー (ミシガン州)
Djengis Khan	チンギス・カン
Vanadium	バナジウム
Maine	メイン州
Chroom	クロム
Perd	ウマ
Amsterdam	アムステルダム
Gevegswapen	武器
Dier	動物
Suriname	スリナム
Mangaan	マンガン
Paraguay	パラグアイ
Guyana	ガイアナ
Kuns	芸術
Ecuador	エクアドル
Colombia	コロンビア
Kobalt	コバルト
Wolfram	タングステン
Nikkel	ニッケル
Aarbei	オランダイチゴ属
Boeddhisme	仏教
Groningen (munisipaliteit)	フローニンゲン
Bolivië	ボリビア
Groningen (provinsie)	フローニンゲン州
Koper	銅
Trinidad en Tobago	トリニダード・トバゴ
Plant	植物
St. Vincent en die Grenadines	セントビンセント・グレナディーン
Sink	亜鉛
New Hampshire	ニューハンプシャー州
St. Lucia	セントルシア
Białystok	ビャウィストク
Leonardo da Vinci	レオナルド・ダ・ヴィンチ
St. Kitts en Nevis	セントクリストファー・ネイビス
Swam	菌類
Jamaika	ジャマイカ
Grenada	グレナダ
Friesland	フリースラント州
Massachusetts	マサチューセッツ州
Drenthe	ドレンテ州
Overijssel	オーファーアイセル州
Guatemala	グアテマラ
Gelderland	ヘルダーラント州
Utrecht (provinsie)	ユトレヒト州
Google Chrome	Google Chrome
Bahamas	バハマ
Connecticut	コネチカット州
Hoender	ニワトリ
Antigua en Barbuda	アンティグア・バーブーダ
Hawaii	ハワイ州
Honduras	ホンジュラス
Dominica	ドミニカ国
Jersey	ジャージー
Dominikaanse Republiek	ドミニカ共和国
Vark	ブタ
Arktiese Oseaan	北極海
Haïti	ハイチ
El Salvador	エルサルバドル
Zwolle	ズヴォレ
Iran	イラン
Irak	イラク
Alaska	アラスカ州
Assen	アッセン
Costa Rica	コスタリカ
Israel	イスラエル
Utrecht (munisipaliteit)	ユトレヒト
Panama	パナマ
Jemen	イエメン
Lausanne	ローザンヌ
Virus	ウイルス
Pools	ポーランド語
Jordanië	ヨルダン
Nicaragua	ニカラグア
Florida	フロリダ州
Kirgisië	キルギス
Arizona	アリゾナ州
Koeweit	クウェート
Laos	ラオス
Libanon	レバノン
Oregon	オレゴン州
Maledive	モルディブ
Amerikas	アメリカ州
Utah	ユタ州
Bees	ウシ
Maleisië	マレーシア
Mianmar	ミャンマー
Nepal	ネパール
Oman	オマーン
Pakistan	パキスタン
Katar	カタール
Tennis	テニス
MySQL	MySQL
Saoedi-Arabië	サウジアラビア
Lockheed L-1011 TriStar	ロッキード L-1011 トライスター
Andrei Tarkofski	アンドレイ・タルコフスキー
Sri Lanka	スリランカ
Josef Stalin	ヨシフ・スターリン
Sirië	シリア
Plato	プラトン
Gallium	ガリウム
Tadjikistan	タジキスタン
Pokémon	ポケットモンスター
Republiek van Sjina	中華民国
YouTube	YouTube
Germanium	ゲルマニウム
Aristoteles	アリストテレス
Thailand	タイ王国
Trein	列車
Arseen	ヒ素
Radio	ラジオ
Meryl Streep	メリル・ストリープ
Turkmenistan	トルクメニスタン
Abakan	アバカン
Selenium	セレン
Iridium	イリジウム
Verenigde Arabiese Emirate	アラブ首長国連邦
Broom	臭素
Platinum	白金
Viëtnam	ベトナム
Charlie Chaplin	チャールズ・チャップリン
Nowosibirsk	ノヴォシビルスク
Suid-Korea	大韓民国
Józef Piłsudski	ユゼフ・ピウスツキ
The Simpsons	ザ・シンプソンズ
Jekaterinburg	エカテリンブルク
Kripton	クリプトン
Afghanistan	アフガニスタン
Nizjni Nowgorod	ニジニ・ノヴゴロド
J.R.R. Tolkien	J・R・R・トールキン
Samara	サマーラ
Rubidium	ルビジウム
Goud	金
Omsk	オムスク
Suezkanaal	スエズ運河
Kazan	カザン
Bangladesj	バングラデシュ
Franz Kafka	フランツ・カフカ
Tsjeljabinsk	チェリャビンスク
Rostof aan die Don	ロストフ・ナ・ドヌ
Jorge Luis Borges	ホルヘ・ルイス・ボルヘス
Oefa	ウファ
Mali	マリ共和国
Sokrates	ソクラテス
Wolgograd	ヴォルゴグラード
Angola	アンゴラ
Perm	ペルミ
Bhoetan	ブータン
Twitter	Twitter
Krasnojarsk	クラスノヤルスク
Broenei	ブルネイ
Tanzanië	タンザニア
Kwik	水銀
Roald Amundsen	ロアール・アムンセン
Harry Mulisch	ハリー・ムリシュ
Filippyne	フィリピン
Sentraal-Afrikaanse Republiek	中央アフリカ共和国
Suidpool	南極点
Noordpool	北極点
Isaac Newton	アイザック・ニュートン
OpenStreetMap	オープンストリートマップ
Albert Einstein	アルベルト・アインシュタイン
Stronsium	ストロンチウム
Pedro I van Brasilië	ペドロ1世 (ブラジル皇帝)
Yttrium	イットリウム
Bismut	ビスマス
Geel	黄色
Kwantummeganika	量子力学
Togo	トーゴ
Donald Tusk	ドナルド・トゥスク
Tunisië	チュニジア
Zambië	ザンビア
Zimbabwe	ジンバブエ
Beijing	北京市
Suid-Soedan	南スーダン
Wladiwostok	ウラジオストク
Tiwa	トゥヴァ共和国
Benin	ベナン
Botswana	ボツワナ
Wikinews	ウィキニュース
Burkina Faso	ブルキナファソ
Burundi	ブルンジ
Comore-eilande	コモロ
Republiek van die Kongo	コンゴ共和国
Alkmaar	アルクマール
Ob	オビ川
Demokratiese Republiek van die Kongo	コンゴ民主共和国
San Antonio	サンアントニオ
Djiboeti	ジブチ
Meem	ミーム
Polonium	ポロニウム
Beiere	バイエルン州
Ekwatoriaal-Guinee	赤道ギニア
Baden-Württemberg	バーデン＝ヴュルテンベルク州
Eritrea	エリトリア
Nieu-Delhi	ニューデリー
Almelo	アルメロ
Pous Johannes Paulus II	ヨハネ・パウロ2世 (ローマ教皇)
Fjodor Dostojefski	フョードル・ドストエフスキー
Amersfoort, Nederland	アメルスフォールト
Kamtsjatka-skiereiland	カムチャツカ半島
Tbilisi	トビリシ
Astaat	アスタチン
Gaboen	ガボン
Mahatma Gandhi	マハトマ・ガンディー
Solidarność	独立自主管理労働組合「連帯」
Strokiesverhaal	漫画
Gambië	ガンビア
Guinee	ギニア
Guinee-Bissau	ギニアビサウ
Ivoorkus	コートジボワール
Kameroen	カメルーン
Kaap Verde	カーボベルデ
Lesotho	レソト
Liberië	リベリア
Libië	リビア
Aken	アーヘン
Madagaskar	マダガスカル
Malawi	マラウイ
Stuttgart	シュトゥットガルト
Mauritanië	モーリタニア
Mauritius	モーリシャス
Marokko	モロッコ
Mosambiek	モザンビーク
Namibië	ナミビア
France Prešeren	フランツェ・プレシェーレン
Niger	ニジェール
Nigerië	ナイジェリア
Charles Darwin	チャールズ・ダーウィン
Uganda	ウガンダ
Rwanda	ルワンダ
Sirkonium	ジルコニウム
São Tomé en Príncipe	サントメ・プリンシペ
Karlsruhe	カールスルーエ
Senegal	セネガル
Seychelle	セーシェル
Carolus Linnaeus	カール・フォン・リンネ
Sierra Leone	シエラレオネ
Somalië	ソマリア
Niobium	ニオブ
Julius Caesar	ガイウス・ユリウス・カエサル
Soedan	スーダン
Swaziland	スワジランド
Reënboog	虹
Molibdeen	モリブデン
Tegnesium	テクネチウム
Hamburg	ハンブルク
Ontariomeer	オンタリオ湖
Evolusie	進化
Verenigde Nasies	国際連合
Bowemeer	スペリオル湖
Dante Alighieri	ダンテ・アリギエーリ
Geologie	地質学
Ahmedabad	アフマダーバード
Geografie	地理学
Hart	心臓
Brein	脳
Vel	皮膚
Kleur	色
Selfstandige naamwoord	名詞
Praag	プラハ
Rutenium	ルテニウム
Rodium	ロジウム
Blou	青
Palladium	パラジウム
Silwer	銀
Kadmium	カドミウム
Star Trek	スタートレック
Limburg, Nederland	リンブルフ州 (オランダ)
Indium	インジウム
Limburg, België	リンブルフ州 (ベルギー)
Tin	スズ
Uraan	ウラン
Antimoon	アンチモン
Telluur	テルル
Noord-Brabant	北ブラバント州
Jodium	ヨウ素
Xenon	キセノン
Sesium	セシウム
Elektriese lading	電荷
Barium	バリウム
Wes-Vlaandere	ウェスト＝フランデレン州
Oos-Vlaandere	オースト＝フランデレン州
Antwerpen (provinsie)	アントウェルペン州
Vlaams-Brabant	フラームス＝ブラバント州
Hafnium	ハフニウム
Aktinium	アクチニウム
Waals-Brabant	ブラバン・ワロン州
Tantaal	タンタル
Bill Clinton	ビル・クリントン
Namur (provinsie)	ナミュール州
Luxemburg (provinsie)	リュクサンブール州
Luik (provinsie)	リエージュ州
Radium	ラジウム
Hainaut	エノー州
Iserlohn	イーザーローン
Radon	ラドン
Lotaringe	ロレーヌ地域圏
Elsas	アルザス地域圏
Indira Gandhi	インディラ・ガンディー
Hector Berlioz	エクトル・ベルリオーズ
Auvergne	オーヴェルニュ地域圏
Moembaai	ムンバイ
Internasionale Vereniging van Atletiekfederasies	国際陸上競技連盟
Assam	アッサム州
Bihar	ビハール州
Michigan	ミシガン州
Michiganmeer	ミシガン湖
Goa	ゴア州
Boergondië (gewes)	ブルゴーニュ地域圏
Harjana	ハリヤーナー州
Akwitanië	アキテーヌ地域圏
Puerto Rico	プエルトリコ
Karnataka	カルナータカ州
Kerala	ケーララ州
Limousin	リムーザン地域圏
Manipoer	マニプル州
Sleeswyk-Holstein	シュレースヴィヒ＝ホルシュタイン州
Mecklenburg-Voorpommere	メクレンブルク＝フォアポンメルン州
Nedersakse	ニーダーザクセン州
Noordryn-Wesfale	ノルトライン＝ヴェストファーレン州
Hesse	ヘッセン州
Rynland-Palts	ラインラント＝プファルツ州
Saarland	ザールラント州
Sakse	ザクセン州
John Lennon	ジョン・レノン
Illinois	イリノイ州
Thüringen	テューリンゲン州
Sakse-Anhalt	ザクセン＝アンハルト州
Noord-Dakota	ノースダコタ州
Brandenburg	ブランデンブルク州
Vrye Hansestad Bremen	ブレーメン州
Suid-Dakota	サウスダコタ州
Montana	モンタナ州
Wyoming	ワイオミング州
Piëmont	ピエモンテ州
Jerusalem	エルサレム
Idaho	アイダホ州
Washington (deelstaat)	ワシントン州
Nevada	ネバダ州
Don	ドン川
Trentino-Suid-Tirool	トレンティーノ＝アルト・アディジェ州
Indiese Oseaan	インド洋
Kosowo	コソボ
Karibiese See	カリブ海
Kofi Annan	コフィー・アナン
Ligurië	リグーリア州
Colorado	コロラド州
Emilia-Romagna	エミリア＝ロマーニャ州
Coloradorivier	コロラド川
Frédéric Chopin	フレデリック・ショパン
Konfyt	ジャム
Trygve Lie	トリグブ・リー
Toskane	トスカーナ州
Leonard Cohen	レナード・コーエン
Umbrië	ウンブリア州
Kategorie:Alles	Category:主要カテゴリ
Latium	ラツィオ州
Abruzze	アブルッツォ州
Alpe	アルプス山脈
Karpate	カルパティア山脈
Grenoble	グルノーブル
Blaise Pascal	ブレーズ・パスカル
Dortmund	ドルトムント
Gent	ヘント
Chicago	シカゴ
The Beatles	ビートルズ
Flerovium	フレロビウム
Wageningen	ヴァーヘニンゲン
Ununoctium	ウンウンオクチウム
Maastricht	マーストリヒト
Arnhem	アーネム
Dag-en-nag-ewening	分点
Saddam Hoesein	サッダーム・フセイン
Osama bin Laden	ウサーマ・ビン・ラーディン
Spaans	スペイン語
Friedrich August Hayek	フリードリヒ・ハイエク
Montevideo	モンテビデオ
Johann Sebastian Bach	ヨハン・ゼバスティアン・バッハ
Antonio Vivaldi	アントニオ・ヴィヴァルディ
Pittsburgh	ピッツバーグ
Opera	オペラ
Philadelphia	フィラデルフィア
Kalkutta	コルカタ
Chennai	チェンナイ
Delhi	デリー
Dhaka	ダッカ
Bangalore	バンガロール
Wes-Bengale	西ベンガル州
Spinnekop	クモ
Geleedpotiges	節足動物
Hyderabad, Indië	ハイデラバード
Islamabad	イスラマバード
Tripoera	トリプラ州
Vrug	果実
Kategorie:Porto	Category:ポルト
Aap	サル
Geld	貨幣
Virginië	バージニア州
Wes-Virginië	ウェストバージニア州
Paprika (plant)	トウガラシ
Huronmeer	ヒューロン湖
New York (deelstaat)	ニューヨーク州
Rhode Island	ロードアイランド州
Insek	昆虫
Maryland	メリーランド州
Delaware	デラウェア州
Wladimir Lenin	ウラジーミル・レーニン
Europium	ユウロピウム
Ohio	オハイオ州
Vergilius	ウェルギリウス
Niccolò Machiavelli	ニッコロ・マキャヴェッリ
Pennsilvanië	ペンシルベニア州
Uetersen	ユーテルゼン
Augustus Octavianus	アウグストゥス
Microsoft Windows	Microsoft Windows
Tiberius	ティベリウス
New Jersey	ニュージャージー州
Caligula	カリグラ
Gibraltar	ジブラルタル
Claudius	クラウディウス
Fins	フィンランド語
Nero	ネロ
Galba (keiser)	ガルバ
Indiana	インディアナ州
Nokia	ノキア
Vespasianus	ウェスパシアヌス
Motorvoertuig	自動車
Juventus Football Club	ユヴェントスFC
Domitianus	ドミティアヌス
Trajanus	トラヤヌス
Roger Federer	ロジャー・フェデラー
Hadrianus	ハドリアヌス
Georgia	ジョージア州
Antoninus Pius	アントニヌス・ピウス
Markus Aurelius	マルクス・アウレリウス・アントニヌス
KDE	KDE
Lucius Verus	ルキウス・ウェルス
Commodus	コンモドゥス
Zagreb	ザグレブ
Kampanië	カンパニア州
Texas	テキサス州
Septimius Severus	セプティミウス・セウェルス
Orrel	オルガン
Tamil Nadu	タミル・ナードゥ州
Genua	ジェノヴァ
Noord-Carolina	ノースカロライナ州
Hokkie	フィールドホッケー
Suid-Carolina	サウスカロライナ州
Kalabrië	カラブリア州
Sisilië	シチリア
Manila	マニラ
Sardinië	サルデーニャ
Ferdinand Marcos	フェルディナンド・マルコス
Cebu Stad	セブ
Loire (rivier)	ロワール川
Seine	セーヌ川
Davao Stad	ダバオ
Quezon Stad	ケソン
Le Mans	ル・マン
Caloocan	カローカン
Bordeaux	ボルドー
Buenos Aires	ブエノスアイレス
Meksikostad	メキシコシティ
Tokio	東京都
La Paz	ラパス
Barcelona	バルセロナ
Pynappel	パイナップル
Mississippi	ミシシッピ州
Ferdinand Magellaan	フェルディナンド・マゼラン
Mississippirivier	ミシシッピ川
Oetarpradesj	ウッタル・プラデーシュ州
José Rizal	ホセ・リサール
Swembad	プール
Sikkim	シッキム州
Patagonië	パタゴニア
Tennessee	テネシー州
Richard Wagner	リヒャルト・ワーグナー
Nagpur	ナーグプル
Abidjan	アビジャン
Aboe Dhabi	アブダビ
Astana	アスタナ
Nieu-Meksiko	ニューメキシコ州
Ramses II	ラムセス2世
Athene	アテネ
Minnesota	ミネソタ州
Bagdad	バグダード
Caracas	カラカス
Gekoördineerde Universele Tyd	協定世界時
Wisconsin	ウィスコンシン州
Pune	プネー
Cicero	マルクス・トゥッリウス・キケロ
AC Milan	ACミラン
Iowa	アイオワ州
Nebraska	ネブラスカ州
Guatemala-stad	グアテマラシティ
Simeon	シメオン
Kansas	カンザス州
Havana	ハバナ
Hindi	ヒンディー語
Marathi	マラーティー語
Windows Internet Explorer	Internet Explorer
Sigaret	紙巻きたばこ
Ganesja	ガネーシャ
Missouri	ミズーリ州
Louisiana	ルイジアナ州
Nagaland	ナガランド州
Kentucky	ケンタッキー州
Arkansas	アーカンソー州
Neil Armstrong	ニール・アームストロング
Oerdoe	ウルドゥー語
Édith Piaf	エディット・ピアフ
Elbe	エルベ川
Rijeka	リエカ
Eems	エムス川
Oklahoma	オクラホマ州
Weser	ヴェーザー川
Donau	ドナウ川
Gedig	韻文
Jacques Brel	ジャック・ブレル
Main	マイン川
Neckar	ネッカー川
Havel	ハーフェル川
Noordsee	北海
Skagerrak	スカゲラク海峡
Moskou-oblast	モスクワ州
Kiel, Duitsland	キール (ドイツ)
Schwerin	シュヴェリーン
Potsdam	ポツダム
Hannover	ハノーファー
Düsseldorf	デュッセルドルフ
Mainz	マインツ
Wiesbaden	ヴィースバーデン
Dubrovnik	ドゥブロヴニク
Saarbrücken	ザールブリュッケン
München	ミュンヘン
Samara-oblast	サマラ州
Erfurt	エアフルト
Dresden	ドレスデン
Maagdenburg	マクデブルク
Vlugbal	バレーボール
Innsbruck	インスブルック
Bregenz	ブレゲンツ
Wene	ウィーン
Madonna	マドンナ (歌手)
