Աֆրիկա	アフリカ
Արեգակնային համակարգ	太陽系
Բալթիկ ծով	バルト海
Տրիեստ	トリエステ
Վիսլա	ヴィスワ川
Ջրածին	水素
Փաթի Սմիթ	パティ・スミス
Հելիում	ヘリウム
Դժոխք	地獄
Վիքիպահեստ	ウィキメディア・コモンズ
Անգելա Մերկել	アンゲラ・メルケル
Լիթիում	リチウム
Բերիլիում	ベリリウム
Գիրք	本
Օր	日
Արևելյան Թիմոր	東ティモール
Գիշեր	夜
Տարի	年
Դար	世紀
Լոձ	ウッチ
Մոնբլան	モンブラン
Հռենոս	ライン川
Օսլո	オスロ
Բոն	ボン
Կատովիցե	カトヴィツェ
Սև խոռոչ	ブラックホール
Լուիշ դի Կամոենս	ルイス・デ・カモンイス
1+1 (ֆիլմ)	最強のふたり
Սերես	ケレス (準惑星)
Լիսաբոն	リスボン
Ժեշուվ	ジェシュフ
Հոմեա	ハウメア (準惑星)
Ռոն	ローヌ川
Մակեմակե	マケマケ (準惑星)
Էրիս	エリス (準惑星)
Դուբայի Էմիրություն	ドバイ
Լիոնել Մեսսի	リオネル・メッシ
Պադովա	パドヴァ
Բոր (քիմիական տարր)	ホウ素
Նիկոլայ Կոպեռնիկոս	ニコラウス・コペルニクス
Վերսալ	ヴェルサイユ
Ածխածին	炭素
Ալեսանդրո Դել Պիեռո	アレッサンドロ・デル・ピエロ
Վոլգա (գետ)	ヴォルガ川
Ազոտ	窒素
Թթվածին	酸素
Ինտեր Միլան	インテルナツィオナーレ・ミラノ
Մոլորակ	惑星
Կլեոպատրա	クレオパトラ7世
Երաժշտություն	音楽
Վենետիկ	ヴェネツィア
Նարուտո	NARUTO -ナルト-
Պո (գետ)	ポー川
Նևա (գետ)	ネヴァ川
Ռեն	レンヌ
Լիլ	リール (フランス)
Մոսկվա	モスクワ
Ֆտոր	フッ素
Իտալերեն	イタリア語
Նեոն	ネオン
Սանկտ Պետերբուրգ	サンクトペテルブルク
Չադ	チャド
Նատրիում	ナトリウム
Հյուսիս	北
Մագնեզիում	マグネシウム
Ալյումին	アルミニウム
Նոր Զելանդիա	ニュージーランド
Հարավ	南
Հնդկաստան	インド
Սիլիցիում	ケイ素
Ֆրանսիում	フランシウム
Թուվալու	ツバル
Վան Փիս	ONE PIECE
Ֆոսֆոր	リン
Անդրե Մարի Ամպեր	アンドレ＝マリ・アンペール
Երկաթ	鉄
Տոնգա	トンガ
Արևմուտք	西
Ալեսանդրո Վոլտա	アレッサンドロ・ボルタ
Ծծումբ	硫黄
Սամոա	サモア
Սողոմոնյան Կղզիներ	ソロモン諸島
Վանուատու	バヌアツ
Մոլիեր	モリエール
Քլոր	塩素
Դելֆտ	デルフト
Պապուա Նոր Գվինեա	パプアニューギニア
Ուիլյամ Շեքսպիր	ウィリアム・シェイクスピア
Առակ	寓話
Հարավային Հոլանդիա	南ホラント州
Պալաու	パラオ
Արգոն	アルゴン
Նաուրու	ナウル
Mozilla Firefox	Mozilla Firefox
Հեքիաթ	メルヘン
Հյուսիսային Հոլանդիա	北ホラント州
Միկրոնեզիայի Ֆեդերատիվ Նահանգներ	ミクロネシア連邦
Կալիում	カリウム
Օլիմպիկ Լիոն	オリンピック・リヨン
Զեյլանդ	ゼーラント州
Կալցիում	カルシウム
Ֆլևոլանդ	フレヴォラント州
Կապար	鉛
Մարշալյան կղզիներ	マーシャル諸島
Կիրիբատի	キリバス
Մոնղոլիա	モンゴル国
Ֆիջի	フィジー
Սկանդիում	スカンジウム
Տիտան	チタン
Վենեսուելա	ベネズエラ
Շախմատ	チェス
Չինգիզ խան	チンギス・カン
Վանադիում	バナジウム
Մեն	メイン州
Քրոմ	クロム
Ձի	ウマ
Ամստերդամ	アムステルダム
Զենք	武器
Կենդանիներ	動物
Սուրինամ	スリナム
Մանգան	マンガン
Պարագվայ	パラグアイ
Գայանա	ガイアナ
Արվեստ	芸術
Էկվադոր	エクアドル
Ռենիում	レニウム
Կոլումբիա	コロンビア
Կոբալտ	コバルト
Ժան Ռասին	ジャン・ラシーヌ
Վոլֆրամ	タングステン
Նիկել	ニッケル
Գետնաելակ	オランダイチゴ属
Պիեռ Կոռնեյլ	ピエール・コルネイユ
Բուդդայականություն	仏教
Բոլիվիա	ボリビア
Օսմիում	オスミウム
Խրոնինգեն (մարզ)	フローニンゲン州
Պղինձ	銅
Տրինիդադ և Տոբագո	トリニダード・トバゴ
Պոլ Վեռլեն	ポール・ヴェルレーヌ
Բույսեր	植物
Սենթ Վինսենթ և Գրենադիններ	セントビンセント・グレナディーン
Ցինկ	亜鉛
Նյու Հեմպշիր	ニューハンプシャー州
Սենթ Լյուսիա	セントルシア
Լեոնարդո դա Վինչի	レオナルド・ダ・ヴィンチ
Սենթ Քիթս և Նևիս	セントクリストファー・ネイビス
Սնկեր	菌類
Ճամայկա	ジャマイカ
Ստեֆան Մալարմե	ステファヌ・マラルメ
Գրենադա	グレナダ
Մասսաչուսեթս	マサチューセッツ州
Դրենթե	ドレンテ州
Օվերեյսել	オーファーアイセル州
Գվատեմալա	グアテマラ
Խելդերլանդ	ヘルダーラント州
Ուտրեխտ (համայնք)	ユトレヒト州
Google Chrome	Google Chrome
Բահամյան Կղզիներ	バハマ
Կոնեկտիկուտ	コネチカット州
Անտիգուա և Բարբուդա	アンティグア・バーブーダ
Հավայի	ハワイ州
Հոնդուրաս	ホンジュラス
Դոմինիկա	ドミニカ国
Ջերսի	ジャージー
Դոմինիկյան Հանրապետություն	ドミニカ共和国
Տնային խոզ	ブタ
Հյուսիսային սառուցյալ օվկիանոս	北極海
Հայիթի	ハイチ
Տաումատաուկատանգիինգակոաոաոուտամատեապոկանուենուկիտանատահու	タウマタファカタンギハンガコアウアウオタマテアポカイフェヌアキタナタフ
Սալվադոր	エルサルバドル
Զվոլե	ズヴォレ
Իրան	イラン
Իրաք	イラク
Ալյասկա (նահանգ)	アラスカ州
Ասսեն	アッセン
Կոստա Ռիկա	コスタリカ
Իսրայել	イスラエル
Ուտրեխտ	ユトレヒト
Պանամա	パナマ
Եմեն	イエメン
Լոզան	ローザンヌ
Վիրուսներ	ウイルス
Լեհերեն	ポーランド語
Հորդանան	ヨルダン
Նիկարագուա	ニカラグア
Ֆլորիդա	フロリダ州
Ղրղզստան	キルギス
Արիզոնա	アリゾナ州
Քուվեյթ	クウェート
Լաոս	ラオス
Լիբանան	レバノン
Օրեգոն	オレゴン州
Մալդիվներ	モルディブ
Ամերիկա	アメリカ州
Յուտա	ユタ州
Կով	ウシ
Մալայզիա	マレーシア
Միխայիլ Բուլգակով	ミハイル・ブルガーコフ
Մյանմա	ミャンマー
Նեպալ	ネパール
Անդրեյ Ռուբլյով	アンドレイ・ルブリョフ
Օման	オマーン
Պակիստան	パキスタン
Ջեյմս Բոնդ	ジェームズ・ボンド
Կատար	カタール
Թենիս	テニス
Ֆրանսուա Վիյոն	フランソワ・ヴィヨン
MySQL	MySQL
Սաուդյան Արաբիա	サウジアラビア
Շրի Լանկա	スリランカ
Իոսիֆ Ստալին	ヨシフ・スターリン
Սիրիա	シリア
Պլատոն	プラトン
Գալիում	ガリウム
Իոսիֆ Բրոդսկի	ヨシフ・ブロツキー
Տաջիկստան	タジキスタン
Չինաստանի Հանրապետություն	中華民国
ՅուԹյուբ	YouTube
Գերմանիում	ゲルマニウム
Արիստոտել	アリストテレス
Թաիլանդ	タイ王国
Արսեն	ヒ素
Ռադիո	ラジオ
Մերիլ Սթրիփ	メリル・ストリープ
Թուրքմենստան	トルクメニスタン
Աբական	アバカン
Սելեն	セレン
Իրիդիում	イリジウム
Արաբական Միացյալ Էմիրություններ	アラブ首長国連邦
Բրոմ	臭素
Պլատին	白金
Վիետնամ	ベトナム
Չարլի Չապլին	チャールズ・チャップリン
Նովոսիբիրսկ	ノヴォシビルスク
Կորեայի Հանրապետություն	大韓民国
Սիմփսոններ	ザ・シンプソンズ
Եկատերինբուրգ	エカテリンブルク
Կրիպտոն	クリプトン
Աֆղանստան	アフガニスタン
Gangnam Style	江南スタイル
Ջոն Ռոնալդ Ռուել Տոլկին	J・R・R・トールキン
Սամարա	サマーラ
Ռուբիդիում	ルビジウム
Ոսկի	金
Օմսկ	オムスク
Սուեզի ջրանցք	スエズ運河
Կազան	カザン
Գիտնական	科学者
Բանգլադեշ	バングラデシュ
Բլիչ	BLEACH
Ֆրանց Կաֆկա	フランツ・カフカ
Չելյաբինսկ	チェリャビンスク
Դոնի Ռոստով	ロストフ・ナ・ドヌ
Խորխե Լուիս Բորխես	ホルヘ・ルイス・ボルヘス
Ուֆա	ウファ
Մալի	マリ共和国
Սոկրատես	ソクラテス
Վոլգոգրադ	ヴォルゴグラード
Անգոլա	アンゴラ
Պերմ	ペルミ
Բութան	ブータン
Թվիթթեր	Twitter
Կրասնոյարսկ	クラスノヤルスク
Բրունեյ	ブルネイ
Ալեքսանդր	アレッサンドロ
Տանզանիա	タンザニア
Սնդիկ	水銀
Ռուալ Ամունդսեն	ロアール・アムンセン
Հարի Մուլիշ	ハリー・ムリシュ
Ֆիլիպիններ	フィリピン
Կենտրոնաաֆրիկյան Հանրապետություն	中央アフリカ共和国
Թալիում	タリウム
Հարավային բևեռ	南極点
Հյուսիսային բևեռ	北極点
Իսահակ Նյուտոն	アイザック・ニュートン
Ալբերտ Այնշտայն	アルベルト・アインシュタイン
Ստրոնցիում	ストロンチウム
Թմրամիջոց	麻薬
Իտրիում	イットリウム
Բիսմութ	ビスマス
Քվանտային մեխանիկա	量子力学
Տոգո	トーゴ
Դոնալդ Տուսկ	ドナルド・トゥスク
Թունիս	チュニジア
Ջոն Բարդին	ジョン・バーディーン
Զամբիա	ザンビア
Զիմբաբվե	ジンバブエ
Պեկին	北京市
Հարավային Սուդան	南スーダン
Վլադիվոստոկ	ウラジオストク
Տիվա	トゥヴァ共和国
Բենին	ベナン
Բոտսվանա	ボツワナ
Վիքիլուրեր	ウィキニュース
Բուրկինա Ֆասո	ブルキナファソ
Բուրունդի	ブルンジ
Կոմորյան Կղզիներ	コモロ
Կոնգոյի Հանրապետություն	コンゴ共和国
Ալկմար (համայնք)	アルクマール
Օբ (գետ)	オビ川
Կոնգոյի Դեմոկրատական Հանրապետություն	コンゴ民主共和国
Սան Անտոնիո	サンアントニオ
Տոմսկ	トムスク
Ջիբութի	ジブチ
Պոլոնիում	ポロニウム
Բավարիա	バイエルン州
Հասարակածային Գվինեա	赤道ギニア
Բադեն-Վյուրթեմբերգ	バーデン＝ヴュルテンベルク州
Էրիթրեա	エリトリア
Նյու Դելի	ニューデリー
Ալմելո	アルメロ
Հովհաննես Պողոս II	ヨハネ・パウロ2世 (ローマ教皇)
Ֆեոդոր Դոստոևսկի	フョードル・ドストエフスキー
Ամերսֆորտ	アメルスフォールト
Կամչատկայի թերակղզի	カムチャツカ半島
Թբիլիսի	トビリシ
Անդրեյ Սախարով	アンドレイ・サハロフ
Աստատ	アスタチン
Գաբոն	ガボン
Մահաթմա Գանդի	マハトマ・ガンディー
Կոմիքս	漫画
Գամբիա	ガンビア
Գվինեա	ギニア
Գվինեա Բիսաու	ギニアビサウ
Կոտ դ'Իվուար	コートジボワール
Կամերուն	カメルーン
Կաբո Վերդե	カーボベルデ
Լեսոթո	レソト
Լիբերիա	リベリア
Լիբիա	リビア
Աախեն	アーヘン
Մադագասկար	マダガスカル
Մալավի	マラウイ
Շտուտգարտ	シュトゥットガルト
Մավրիտանիա	モーリタニア
Լեհեր	ポーランド人
Մավրիկիոս	モーリシャス
Մարոկկո	モロッコ
Մոզամբիկ	モザンビーク
Նամիբիա	ナミビア
Նիգեր	ニジェール
Նիգերիա	ナイジェリア
Չարլզ Դարվին	チャールズ・ダーウィン
Ուգանդա	ウガンダ
Ռուանդա	ルワンダ
Ցիրկոնիում	ジルコニウム
Սան Տոմե և Պրինսիպի	サントメ・プリンシペ
Կարլսրուե	カールスルーエ
Սենեգալ	セネガル
Սեյշելյան կղզիներ	セーシェル
Կարլ Լինեյ	カール・フォン・リンネ
Սիերա Լեոնե	シエラレオネ
Սոմալի	ソマリア
Նիոբիում	ニオブ
Ջավահարլալ Ներու	ジャワハルラール・ネルー
Հուլիոս Կեսար	ガイウス・ユリウス・カエサル
Սուդան	スーダン
Սվազիլենդ	スワジランド
Ծիածան	虹
Մոլիբդեն	モリブデン
Տեխնեցիում	テクネチウム
Համբուրգ	ハンブルク
Նյութափոխանակություն	代謝
Նարենդրա Մոդի	ナレンドラ・モディ
Իմուն համակարգ	免疫系
Գուջարաթ	グジャラート州
Օնտարիո լիճ	オンタリオ湖
Էվոլյուցիա	進化
Ալեսանդրո Մանձոնի	アレッサンドロ・マンゾーニ
Միավորված Ազգերի Կազմակերպություն	国際連合
Վերին լիճ	スペリオル湖
Դանթե Ալիգիերի	ダンテ・アリギエーリ
Երկրաբանություն	地質学
Աշխարհագրություն	地理学
Սիրտ	心臓
Գլխուղեղ	脳
Մաշկ	皮膚
Գույն	色
Ամբողջ ծանրությամբ	ブレイキング・バッド
Սալեռնո	サレルノ
Գոյական անուն	名詞
Պրահա	プラハ
Ռութենիում	ルテニウム
Ռոդիում	ロジウム
Պալադիում	パラジウム
Արծաթ	銀
Կադմիում	カドミウム
Լիմբուրխ (Նիդերլանդներ)	リンブルフ州 (オランダ)
Ինդիում	インジウム
Լիմբուրգ (Բելգիայի նահանգ)	リンブルフ州 (ベルギー)
Անագ	スズ
Ուրան (տարր)	ウラン
Ծարիր	アンチモン
Տելուր	テルル
Հյուսիսային Բրաբանդ	北ブラバント州
Պլուտոնիում	プルトニウム
Յոդ	ヨウ素
Նեպտունիում	ネプツニウム
Քսենոն	キセノン
Անիմե	アニメ
Ցեզիում	セシウム
Պրոտակտինիում	プロトアクチニウム
Էլեկտրական լիցք	電荷
Բարիում	バリウム
Արևմտյան Ֆլանդրիա	ウェスト＝フランデレン州
Արևելյան Ֆլանդրիա	オースト＝フランデレン州
Թորիում	トリウム
Անտվերպեն (նահանգ)	アントウェルペン州
Ֆլամանդական Բրաբանտ	フラームス＝ブラバント州
Հաֆնիում	ハフニウム
Ակտինիում	アクチニウム
Վալոնյան Բրաբանտ	ブラバン・ワロン州
Տանտալ	タンタル
Բիլ Քլինթոն	ビル・クリントン
Նամյուր (նահանգ)	ナミュール州
Լյուքսեմբուրգ (նահանգ)	リュクサンブール州
Լիեժ (նահանգ)	リエージュ州
Ռադիում	ラジウム
Էնո	エノー州
Ռադոն	ラドン
Լոթարինգիա	ロレーヌ地域圏
Էլզաս	アルザス地域圏
Ժան Ֆիլիպ Ռամո	ジャン＝フィリップ・ラモー
Ինդիրա Գանդի	インディラ・ガンディー
Հեկտոր Բեռլիոզ	エクトル・ベルリオーズ
Օվերն	オーヴェルニュ地域圏
Մումբայ	ムンバイ
Արունաչալ Պրադեշ	アルナーチャル・プラデーシュ州
Միչիգան	ミシガン州
Միչիգան լիճ	ミシガン湖
Բուրգունդիա	ブルゴーニュ地域圏
Հարյանա	ハリヤーナー州
Հիմաչալ-Պրադեշ	ヒマーチャル・プラデーシュ州
Մորիս Ռավել	モーリス・ラヴェル
Աքվիտանիա (երկրամաս)	アキテーヌ地域圏
Ջամմու և Քաշմիր	ジャンムー・カシミール州
Պուերտո Ռիկո	プエルトリコ
Կառնատակա	カルナータカ州
Կերալա	ケーララ州
Մադհյա Պրադեշ	マディヤ・プラデーシュ州
Լիմուզան	リムーザン地域圏
