非洲	アフリカ
多倫多	トロント
阿拉巴馬州	アラバマ州
聖保羅	サンパウロ
聖保羅州	サンパウロ州
魁北克省	ケベック州
意大利薄餅	ピザ
意式麪	パスタ
維基媒體基金會	ウィキメディア財団
占美威爾斯	ジミー・ウェールズ
德國	ドイツ
白俄羅斯	ベラルーシ
德文	ドイツ語
冰島	アイスランド
上帝	神
愛沙尼亞	エストニア
甘民樂	デーヴィッド・キャメロン
土星	土星
朱古力	チョコレート
車厘子	サクランボ
飛機	飛行機
打仗	戦争
1	1
2	2
3	3
4	4
5	5
0	0
無限大	無限
喬治布殊	ジョージ・W・ブッシュ
拉脫維亞	ラトビア
烏克蘭	ウクライナ
捷克	チェコ
斯洛伐克	スロバキア
斯洛文尼亞	スロベニア
維爾紐斯	ヴィリニュス
摩爾多瓦	モルドバ
羅馬尼亞	ルーマニア
保加利亞	ブルガリア
羅馬	ローマ
馬其頓共和國	マケドニア共和国
阿爾巴尼亞	アルバニア
格陵蘭	グリーンランド
克羅地亞	クロアチア
波斯尼亞	ボスニア・ヘルツェゴビナ
努克	ヌーク
阿塞拜疆	アゼルバイジャン
安道爾	アンドラ
塞浦路斯	キプロス
格魯吉亞	グルジア
哈薩克	カザフスタン
馬耳他	マルタ
摩納哥	モナコ
黑山	モンテネグロ
梵蒂岡	バチカン
聖馬連奴	サンマリノ
布魯塞爾	ブリュッセル市
布魯塞爾首都區	ブリュッセル
古巴	キューバ
伯利茲	ベリーズ
巴黎鐵塔	エッフェル塔
巴巴多斯	バルバドス
勒士啤梨派	Raspberry Pi
福士汽車	フォルクスワーゲン
英特爾	インテル
鍵盤 (電腦)	キーボード (コンピュータ)
Java程式語言	Java
印尼	インドネシア
QWERTY鍵盤	QWERTY配列
莫札特	ヴォルフガング・アマデウス・モーツァルト
貝多芬	ルートヴィヒ・ヴァン・ベートーヴェン
土耳其話	トルコ語
南非共和國	南アフリカ共和国
Linkin Park	リンキン・パーク
阿爾及利亞	アルジェリア
維基文庫	ウィキソース
颶風珊迪	ハリケーン・サンディ
月即別	ウズベキスタン
塔什干	タシュケント
華沙	ワルシャワ
威士忌	ウイスキー
葡萄酒	ワイン
水	水
干邑	コニャック
真皮	皮革
木	木材
電視	テレビ
性	性 (生物学)
鹹濕	ポルノグラフィ
冰島文	アイスランド語
莫奈	クロード・モネ
委拉斯蓋茲	ディエゴ・ベラスケス
智利	チリ
耶穌	イエス・キリスト
皮禮士利	エルヴィス・プレスリー
體罰	体罰
伽利略	ガリレオ・ガリレイ
水星	水星
歷史	歴史
蘋果公司	アップル インコーポレイテッド
金星	金星
語言	言語
愛	愛
專政	独裁政治
星系	銀河
木星	木星
巴切萊特	ミシェル・バチェレ
銀河	銀河系
宇宙大爆炸	ビッグバン
天王星	天王星
英文維基百科	英語版ウィキペディア
薩爾科齊	ニコラ・サルコジ
海王星	海王星
天文	天文学
星架坡	シンガポール
科學	科学
冥王星	冥王星
滿地可	モントリオール
自由軟件	フリーソフトウェア
聖母瑪利亞	イエスの母マリア
列支敦士登	リヒテンシュタイン
運動	スポーツ
劍橋	ケンブリッジ
希特拉	アドルフ・ヒトラー
Facebook	Facebook
WikiLeaks	ウィキリークス
阿桑奇	ジュリアン・アサンジ
第一次世界大戰	第一次世界大戦
第二次世界大戰	第二次世界大戦
第三次世界大戰	第三次世界大戦
古龍 (德國)	ケルン
貪污	汚職
維基書本	ウィキブックス
維基語錄	ウィキクォート
維基學府	ウィキバーシティ
維基遊埠	ウィキボヤージュ
伏特加	ウォッカ
格仔餅	ワッフル
鐘	時計
Ubuntu	Ubuntu
斯科普里	スコピエ
Linux	Linux
數學	数学
拉丁話	ラテン語
巴林	バーレーン
亞美尼亞	アルメニア
楔形字	楔形文字
希格斯玻色子	ヒッグス粒子
塞爾維亞	セルビア
月光	月
伊斯坦堡	イスタンブル
澳洲	オーストラリア
物理	物理学
阿根廷	アルゼンチン
秘魯	ペルー
生物學	生物学
不明飛行物體	未確認飛行物体
朝鮮民主主義人民共和國	朝鮮民主主義人民共和国
柬埔寨	カンボジア
柯伊伯帶	エッジワース・カイパーベルト
可蘭經	クルアーン
恐龍	恐竜
動物學	動物学
回敎	イスラム教
梨	ナシ属
盧布爾雅那	リュブリャナ
植物學	植物学
Lech Wałęsa	レフ・ヴァウェンサ
轆	車輪
狄德羅	ドゥニ・ディドロ
心智	心
和平 (關係)	平和
不列顛百科全書	ブリタニカ百科事典
里昂	リヨン
歐洲聯盟	欧州連合
萬維網	World Wide Web
女人	女性
索菲亞	ソフィア (ブルガリア)
唐吉訶德	ドン・キホーテ
詩	詩
MegaUpload	MEGAUPLOAD
切爾諾貝爾核災	チェルノブイリ原子力発電所事故
米蘭	ミラノ
友情	友情
拖連奴	トリノ
屎	糞
屎窟竉	肛門
胳肋底	腋の下
檸檬	レモン
波德萊爾	シャルル・ボードレール
蕉	バナナ
666年	666年
花	花
Googol	グーゴル
Googolplex	グーゴルプレックス
馬里亞納海溝	マリアナ海溝
珠穆朗瑪峰	エベレスト
解剖學	解剖学
城市	都市
拿破崙	ナポレオン・ボナパルト
Shit	シット
奧林匹斯山 (火星)	オリンポス山 (火星)
恆星	恒星
太陽	太陽
天	空
巴士德	ルイ・パスツール
光年	光年
雨果	ヴィクトル・ユーゴー
大洋洲	オセアニア
田徑	陸上競技
太陽系	太陽系
波羅的海	バルト海
香榭麗舍大道	シャンゼリゼ通り
牙	歯
氫	水素
氦	ヘリウム
地獄	地獄
維基同享	ウィキメディア・コモンズ
默克爾	アンゲラ・メルケル
鋰	リチウム
鈹	ベリリウム
音響喇叭	スピーカー
書	本
日 (曆法)	日
東帝汶	東ティモール
夜晚	夜
年	年
世紀	世紀
白朗峰	モンブラン
萊茵河	ライン川
奧斯陸	オスロ
波恩	ボン
卡托維治	カトヴィツェ
黑洞	ブラックホール
賈梅士	ルイス・デ・カモンイス
基佬	ゲイ
穀神星	ケレス (準惑星)
里斯本	リスボン
妊神星	ハウメア (準惑星)
鳥神星	マケマケ (準惑星)
鬩神星	エリス (準惑星)
杜拜	ドバイ
美斯	リオネル・メッシ
硼	ホウ素
哥白尼	ニコラウス・コペルニクス
碳	炭素
迪比亞路	アレッサンドロ・デル・ピエロ
伏加河	ヴォルガ川
氮	窒素
氧	酸素
國際米蘭	インテルナツィオナーレ・ミラノ
行星	惑星
埃及妖后	クレオパトラ7世
音樂	音楽
威尼斯	ヴェネツィア
火影忍者	NARUTO -ナルト-
波河	ポー川
沙姆沙伊赫	シャルム・エル・シェイク
莫斯科	モスクワ
氟	フッ素
意大利話	イタリア語
芝娃娃	チワワ
氖	ネオン
芝華華州	チワワ州
聖彼得堡	サンクトペテルブルク
乍得	チャド
鈉	ナトリウム
北	北
鎂	マグネシウム
新世紀福音戰士	新世紀エヴァンゲリオン
鋁	アルミニウム
紐西蘭	ニュージーランド
南	南
印度	インド
矽	ケイ素
鈁	フランシウム
圖瓦盧	ツバル
磷	リン
散文	散文
鐵	鉄
湯加	トンガ
西	西
硫	硫黄
薩摩亞	サモア
東	東
所羅門群島	ソロモン諸島
瓦努阿圖	バヌアツ
莫里哀	モリエール
氯	塩素
巴布亞新畿內亞	パプアニューギニア
莎士比亞	ウィリアム・シェイクスピア
帛琉	パラオ
氬	アルゴン
瑙魯	ナウル
Mozilla Firefox	Mozilla Firefox
密克羅尼西亞聯邦	ミクロネシア連邦
鉀	カリウム
鈣	カルシウム
鉛	鉛
馬紹爾群島	マーシャル諸島
基里巴斯	キリバス
蒙古國	モンゴル国
斐濟	フィジー
鈧	スカンジウム
鈦	チタン
委內瑞拉	ベネズエラ
國際象棋	チェス
鐵木真	チンギス・カン
釩	バナジウム
緬因州	メイン州
鉻	クロム
馬	ウマ
阿姆斯特丹	アムステルダム
武器	武器
動物	動物
蘇里南	スリナム
錳	マンガン
巴拉圭	パラグアイ
圭亞那	ガイアナ
藝術	芸術
厄瓜多爾	エクアドル
錸	レニウム
哥倫比亞	コロンビア
鈷	コバルト
鎢	タングステン
鎳	ニッケル
士多啤梨	オランダイチゴ属
佛教	仏教
玻利維亞	ボリビア
鋨	オスミウム
銅	銅
千里達	トリニダード・トバゴ
植物	植物
聖文森特和格林納丁斯	セントビンセント・グレナディーン
鋅	亜鉛
紐咸西州	ニューハンプシャー州
聖盧西亞	セントルシア
達文西	レオナルド・ダ・ヴィンチ
聖傑氏尼維斯	セントクリストファー・ネイビス
真菌	菌類
牙買加	ジャマイカ
格林納達	グレナダ
麻省	マサチューセッツ州
危地馬拉	グアテマラ
Google Chrome	Google Chrome
巴哈馬	バハマ
康湼狄格州	コネチカット州
雞	ニワトリ
安提瓜巴布達	アンティグア・バーブーダ
夏威夷州	ハワイ州
洪都拉斯	ホンジュラス
多米尼克	ドミニカ国
澤西島	ジャージー
多明尼加	ドミニカ共和国
豬	ブタ
北冰洋	北極海
海地	ハイチ
他羽馬他華加坦基很加哥歐歐奧他馬鐵督䈅卜加加皮基馬源加河鍋鹿古波街喴嚕亞其他那他烕	タウマタファカタンギハンガコアウアウオタマテアポカイフェヌアキタナタフ
薩爾瓦多	エルサルバドル
伊朗	イラン
伊拉克	イラク
阿拉斯加州	アラスカ州
哥斯達黎加	コスタリカ
以色列	イスラエル
巴拿馬	パナマ
也門	イエメン
病毒	ウイルス
波蘭文	ポーランド語
約旦	ヨルダン
尼加拉瓜	ニカラグア
佛羅里達州	フロリダ州
吉爾吉斯	キルギス
亞利桑拿州	アリゾナ州
科威特	クウェート
老撾	ラオス
黎巴嫩	レバノン
柯利近省	オレゴン州
馬爾代夫	モルディブ
美洲	アメリカ州
猶他州	ユタ州
牛	ウシ
馬來西亞	マレーシア
緬甸	ミャンマー
尼泊爾	ネパール
阿曼	オマーン
巴基斯坦	パキスタン
占士邦	ジェームズ・ボンド
卡塔爾	カタール
網球	テニス
沙地阿拉伯	サウジアラビア
斯里蘭卡	スリランカ
史太林	ヨシフ・スターリン
敘利亞	シリア
柏拉圖	プラトン
鎵	ガリウム
塔吉克	タジキスタン
寵物小精靈	ポケットモンスター
中華民國	中華民国
YouTube	YouTube
鍺	ゲルマニウム
阿里士多德	アリストテレス
泰國	タイ王国
火車	列車
砷	ヒ素
無線電	ラジオ
梅麗史翠普	メリル・ストリープ
土庫曼	トルクメニスタン
硒	セレン
銥	イリジウム
阿拉伯聯合酋長國	アラブ首長国連邦
溴	臭素
白金	白金
越南	ベトナム
差利	チャールズ・チャップリン
大韓民國	大韓民国
阿森一族	ザ・シンプソンズ
氪	クリプトン
阿富汗	アフガニスタン
江南Style	江南スタイル
J. R. R. Tolkien	J・R・R・トールキン
檸檬水	レモネード
銣	ルビジウム
金	金
蘇彝士運河	スエズ運河
科學家	科学者
孟加拉國	バングラデシュ
卡夫卡	フランツ・カフカ
博爾赫斯	ホルヘ・ルイス・ボルヘス
馬里	マリ共和国
蘇格拉底	ソクラテス
安哥拉	アンゴラ
不丹	ブータン
Twitter	Twitter
汶萊	ブルネイ
坦桑尼亞	タンザニア
水銀	水銀
阿蒙森	ロアール・アムンセン
菲律賓	フィリピン
中非共和國	中央アフリカ共和国
鉈	タリウム
南極	南極点
北極	北極点
牛頓	アイザック・ニュートン
愛因斯坦	アルベルト・アインシュタイン
鍶	ストロンチウム
釔	イットリウム
鉍	ビスマス
黃	黄色
量子力學	量子力学
多哥	トーゴ
突尼西亞	チュニジア
贊比亞	ザンビア
津巴布韋	ジンバブエ
北京	北京市
南蘇丹	南スーダン
海參崴	ウラジオストク
貝寧	ベナン
波茨華拿	ボツワナ
維基新聞	ウィキニュース
布基納法索	ブルキナファソ
布隆迪	ブルンジ
科摩羅	コモロ
剛果	コンゴ共和国
剛果民主共和國	コンゴ民主共和国
聖安東尼奧	サンアントニオ
吉布提	ジブチ
釙	ポロニウム
拜仁	バイエルン州
赤道畿內亞	赤道ギニア
巴登－烏騰堡	バーデン＝ヴュルテンベルク州
厄立特里亞	エリトリア
新德里	ニューデリー
若望保祿二世	ヨハネ・パウロ2世 (ローマ教皇)
杜斯托也夫斯基	フョードル・ドストエフスキー
第比利斯	トビリシ
孲𤘅子	赤ちゃん
砹	アスタチン
加蓬	ガボン
甘地	マハトマ・ガンディー
漫畫	漫画
甘比亞	ガンビア
畿內亞	ギニア
畿內亞比紹	ギニアビサウ
象牙海岸	コートジボワール
喀麥隆	カメルーン
維德角	カーボベルデ
萊索托	レソト
利比利亞	リベリア
利比亞	リビア
阿臣	アーヘン
馬達加斯加	マダガスカル
馬拉維	マラウイ
史特加	シュトゥットガルト
毛里塔尼亞	モーリタニア
毛厘士	モーリシャス
摩洛哥	モロッコ
莫三鼻給	モザンビーク
納米比亞	ナミビア
尼日爾	ニジェール
尼日利亞	ナイジェリア
達爾文	チャールズ・ダーウィン
烏干達	ウガンダ
盧旺達	ルワンダ
鋯	ジルコニウム
聖多美普林西比	サントメ・プリンシペ
卡斯魯亞	カールスルーエ
塞內加爾	セネガル
塞舌爾	セーシェル
林奈	カール・フォン・リンネ
塞拉利昂	シエラレオネ
索馬里	ソマリア
鈮	ニオブ
尼赫魯	ジャワハルラール・ネルー
凱撒	ガイウス・ユリウス・カエサル
蘇丹	スーダン
斯威士蘭	スワジランド
虹	虹
鉬	モリブデン
鎝	テクネチウム
漢堡	ハンブルク
新陳代謝	代謝
莫迪	ナレンドラ・モディ
免疫系統	免疫系
天演	進化
聯合國	国際連合
但丁	ダンテ・アリギエーリ
地質	地質学
地理	地理学
心	心臓
腦	脳
皮	皮膚
色	色
名詞	名詞
布拉格	プラハ
釕	ルテニウム
銠	ロジウム
藍	青
鈀	パラジウム
銀	銀
鎘	カドミウム
星空奇遇記	スタートレック
銦	インジウム
錫	スズ
鈾	ウラン
銻	アンチモン
碲	テルル
鈈	プルトニウム
碘	ヨウ素
錼	ネプツニウム
氙	キセノン
日本動畫	アニメ
銫	セシウム
鏷	プロトアクチニウム
電荷	電荷
鋇	バリウム
釷	トリウム
鉿	ハフニウム
錒	アクチニウム
鉭	タンタル
克林頓	ビル・クリントン
鐳	ラジウム
氡	ラドン
阿爾薩斯大區	アルザス地域圏
Ubn	ウンビニリウム
孟買	ムンバイ
阿魯納恰爾	アルナーチャル・プラデーシュ州
密芝根州	ミシガン州
布爾岡	ブルゴーニュ地域圏
波多黎各	プエルトリコ
呂利	ジャン＝バティスト・リュリ
舒勒斯維－荷斯泰因	シュレースヴィヒ＝ホルシュタイン州
美倫堡－前波瑪恩	メクレンブルク＝フォアポンメルン州
下薩克遜	ニーダーザクセン州
北萊茵－西法倫	ノルトライン＝ヴェストファーレン州
希燊	ヘッセン州
萊茵－普法茨	ラインラント＝プファルツ州
沙亞	ザールラント州
薩克遜	ザクセン州
約翰連儂	ジョン・レノン
伊利諾州	イリノイ州
脫靈根	テューリンゲン州
薩克遜－雁候	ザクセン＝アンハルト州
北得高打省	ノースダコタ州
勃蘭登堡	ブランデンブルク州
不來梅漢莎自由市	ブレーメン州
倫巴第大區	ロンバルディア州
南達科他州	サウスダコタ州
望丹拿省	モンタナ州
懷俄明州	ワイオミング州
直刃族	ストレート・エッジ
耶路撒冷	エルサレム
愛達荷州	アイダホ州
歐斯達山谷大區	ヴァッレ・ダオスタ州
華盛頓州	ワシントン州
鑪	ラザホージウム
內華達州	ネバダ州
𨧀	ドブニウム
𨭎	シーボーギウム
印度洋	インド洋
科索沃	コソボ
加勒比海	カリブ海
𨨏	ボーリウム
𨭆	ハッシウム
潘基文	潘基文
安南	コフィー・アナン
䥑	マイトネリウム
哥羅拉度州	コロラド州
鐽	ダームスタチウム
蕭邦	フレデリック・ショパン
果占	ジャム
錀	レントゲニウム
托斯卡納大區	トスカーナ州
鎶	コペルニシウム
Category:類	Category:主要カテゴリ
拉素	ラツィオ州
阿爾卑斯山	アルプス山脈
布萊士帕斯卡	ブレーズ・パスカル
跳棋	チェッカー
披頭四	ビートルズ
Uut	ウンウントリウム
鈇	フレロビウム
Uup	ウンウンペンチウム
鉝	リバモリウム
Uus	ウンウンセプチウム
Uuo	ウンウンオクチウム
冬天	冬
春天	春
夏天	夏
秋天	秋
薩達姆侯賽因	サッダーム・フセイン
賓拉登	ウサーマ・ビン・ラーディン
西班牙文	スペイン語
蒙特維多	モンテビデオ
巴哈	ヨハン・ゼバスティアン・バッハ
韋華第	アントニオ・ヴィヴァルディ
歌劇	オペラ
費城	フィラデルフィア
架利吉打	コルカタ
德里	デリー
達卡	ダッカ
蠄蟧	クモ
蜘蛛綱	クモ綱
節肢動物	節足動物
伊斯蘭堡	イスラマバード
果	果実
馬騮	サル
錢	貨幣
維珍尼亞州	バージニア州
西維珍尼亞州	ウェストバージニア州
番椒	トウガラシ
紐約州	ニューヨーク州
鈰	セリウム
鐠	プラセオジム
羅德島州	ロードアイランド州
釹	ネオジム
昆蟲	昆虫
馬利蘭州	メリーランド州
特拉華州	デラウェア州
列寧	ウラジーミル・レーニン
銪	ユウロピウム
俄亥俄州	オハイオ州
維吉爾	ウェルギリウス
馬基雅維利	ニッコロ・マキャヴェッリ
賓夕凡尼亞州	ペンシルベニア州
於特森	ユーテルゼン
奧古斯都	アウグストゥス
Microsoft Windows	Microsoft Windows
紐澤西州	ニュージャージー州
直布羅陀	ジブラルタル
芬蘭話	フィンランド語
印第安納州	インディアナ州
諾基亞公司	ノキア
汽車	自動車
祖雲達斯	ユヴェントスFC
圖拉真	トラヤヌス
費達拿	ロジャー・フェデラー
佐治亞州	ジョージア州
薩格勒布	ザグレブ
德薩斯州	テキサス州
熱那亞	ジェノヴァ
北卡羅萊納州	ノースカロライナ州
草地曲棍球	フィールドホッケー
南卡羅萊納州	サウスカロライナ州
西西里	シチリア
馬尼拉	マニラ
薩丁島	サルデーニャ
馬可斯	フェルディナンド・マルコス
阿基諾三世	ベニグノ・アキノ3世
Ubu	ウンビウニウム
宿霧	セブ
塞納河	セーヌ川
布宜諾斯艾利斯	ブエノスアイレス
墨西哥城	メキシコシティ
東京都	東京都
拉巴斯	ラパス
巴薩隆拿	バルセロナ
菠蘿	パイナップル
密西西比州	ミシシッピ州
麥哲倫	フェルディナンド・マゼラン
密西西比河	ミシシッピ川
泳池	プール
錫金	シッキム州
田納西州	テネシー州
華格納	リヒャルト・ワーグナー
阿必尚	アビジャン
阿布扎比	アブダビ
阿斯塔納	アスタナ
新墨西哥州	ニューメキシコ州
雅典	アテネ
迴旋處	ラウンドアバウト
明尼蘇達州	ミネソタ州
巴格達	バグダード
卡拉卡斯	カラカス
世界協調時間	協定世界時
威斯康辛州	ウィスコンシン州
AC米蘭	ACミラン
仙荻廬泊	シンディ・ローパー
埃奧華省	アイオワ州
內布拉斯加州	ネブラスカ州
干沙省	カンザス州
夏灣拿	ハバナ
印地話	ヒンディー語
馬拉地文	マラーティー語
Internet Explorer	Internet Explorer
煙仔	紙巻きたばこ
美疏利省	ミズーリ州
路易斯安那州	ルイジアナ州
肯塔基州	ケンタッキー州
阿肯色州	アーカンソー州
尼爾岩士唐	ニール・アームストロング
烏爾都文	ウルドゥー語
伊蒂琵雅芙	エディット・ピアフ
Françoise Sagan	フランソワーズ・サガン
奧克拉何馬州	オクラホマ州
多瑙河	ドナウ川
韻文	韻文
北海	北海
莫斯科州	モスクワ州
基爾	キール (ドイツ)
舒維蓮	シュヴェリーン
波茨坦	ポツダム
漢諾威	ハノーファー
杜塞爾多夫	デュッセルドルフ
緬恩斯	マインツ
威斯巴登	ヴィースバーデン
沙卜勤	ザールブリュッケン
慕尼黑	ミュンヘン
艾雅福	エアフルト
德累斯頓	ドレスデン
麥德堡	マクデブルク
排球	バレーボール
維也納	ウィーン
麥當娜	マドンナ (歌手)
哥本哈根	コペンハーゲン
斯德哥爾摩	ストックホルム
赫爾辛基	ヘルシンキ
都柏林	ダブリン
雷克雅未克	レイキャヴィーク
塔林	タリン
里加	リガ
路易斯岩士唐	ルイ・アームストロング
布拉迪斯拉發	ブラチスラヴァ
布達佩斯	ブダペスト
格但斯克	グダニスク
法蘭克福	フランクフルト・アム・マイン
鑭	ランタン
鉕	プロメチウム
天文單位	天文単位
釤	サマリウム
釓	ガドリニウム
死亡筆記	DEATH NOTE
施丹	ジネディーヌ・ジダン
鋱	テルビウム
天主敎	カトリシズム
盧森堡城	ルクセンブルク (都市)
鏑	ジスプロシウム
華杜茲	ファドゥーツ
聖經	聖書
鈥	ホルミウム
聖馬連奴城	サンマリノ市
鉺	エルビウム
金邊	プノンペン
銩	ツリウム
胡志明市	ホーチミン市
鐿	イッテルビウム
鑥	ルテチウム
河內	ハノイ
真耶穌教會	真イエス教会
英文	英語
曼谷	バンコク
安道爾城	アンドラ・ラ・ベリャ
吉隆坡	クアラルンプール
臺北市	台北市
鋂	アメリシウム
鋦	キュリウム
同海市	ドンホイ
Concepción	コンセプシオン (チリ)
鉳	バークリウム
鉲	カリホルニウム
外交	外交
博洛尼亞	ボローニャ
鑀	アインスタイニウム
鐨	フェルミウム
卡利亞里	カリャリ
鍆	メンデレビウム
基輔	キエフ
鍩	ノーベリウム
卡坦尼亞	カターニア
安大略省	オンタリオ州
鐒	ローレンシウム
基奧特	オリヴィエ・ジルー
列貝利	フランク・リベリー
拿斯利	サミル・ナスリ
基捷基治	ガエル・クリシー
渥太華	オタワ
艾比度	エリック・アビダル
加拿斯	ウィリアム・ギャラス
沙格拿	バカリ・サニャ
安歷卡	ニコラ・アネルカ
木星嘅衞星	木星の衛星と環
緬尼吐巴	マニトバ州
亞伯達	アルバータ州
諾華斯高沙	ノバスコシア州
埃里溫	エレバン
官士哥窩拿	コィンスコヴォラ
喀土穆	ハルツーム
紐賓士域省	ニューブランズウィック州
土星嘅衞星	土星の衛星と環
卑詩省	ブリティッシュコロンビア州
愛德華王子島	プリンスエドワードアイランド州
2000年	2000年
2003年	2003年
2002年	2002年
2001年	2001年
沙士加芝灣	サスカチュワン州
2012年	2012年
岸本齊史	岸本斉史
2011年	2011年
2010年	2010年
2009年	2009年
二氧化碳	二酸化炭素
2013年	2013年
2014年	2014年
2015年	2015年
紐芬蘭與拉布拉多	ニューファンドランド・ラブラドール州
2008年	2008年
JavaScript	JavaScript
西北地區	ノースウエスト準州
育空地區	ユーコン準州
2004年	2004年
2005年	2005年
龍珠	ドラゴンボール
2006年	2006年
努那活	ヌナブト準州
2007年	2007年
一氧化碳	一酸化炭素
1900年	1900年
1901年	1901年
密特朗	フランソワ・ミッテラン
戴高樂	シャルル・ド・ゴール
1902年	1902年
翡冷翠	フィレンツェ
1903年	1903年
1904年	1904年
1905年	1905年
1907年	1907年
1906年	1906年
HTML5	HTML5
1908年	1908年
1909年	1909年
1992年	1992年
1991年	1991年
1990年	1990年
1993年	1993年
1994年	1994年
1995年	1995年
1996年	1996年
1910年	1910年
1911年	1911年
1912年	1912年
萊比錫	ライプツィヒ
1913年	1913年
1914年	1914年
1915年	1915年
1916年	1916年
1997年	1997年
1998年	1998年
1999年	1999年
1917年	1917年
1918年	1918年
嘢食	食品
蛇	ヘビ
希拉克	ジャック・シラク
光速	光速
口交	オーラルセックス
Favicon	Favicon
海王星嘅衞星	海王星の衛星と環
魁北克市	ケベック・シティー
UTC-12	UTC-12
1月1號	1月1日
1月2號	1月2日
天王星嘅衞星	天王星の衛星と環
UTC-11	UTC-11
1920年	1920年
1月3號	1月3日
1919年	1919年
UTC-10:30	UTC-10:30
1921年	1921年
UTC-10	UTC-10
1922年	1922年
1月4號	1月4日
1923年	1923年
UTC-9:30	UTC-9:30
蘭斯岩士唐	ランス・アームストロング
1924年	1924年
小行星帶	小惑星帯
UTC-9	UTC-9
龐比度	ジョルジュ・ポンピドゥー
WMA	Windows Media Audio
UTC-8:30	UTC-8:30
矮行星	準惑星
1月5號	1月5日
UTC-8	UTC-8
馬模	マルメ
UTC-7	UTC-7
1月6號	1月6日
電子	電子
1月7號	1月7日
1月8號	1月8日
1月9號	1月9日
1月10號	1月10日
1月11號	1月11日
1月12號	1月12日
艾德靈	バズ・オルドリン
1月13號	1月13日
伯明翰	バーミンガム
1月14號	1月14日
1月15號	1月15日
1月16號	1月16日
湯漢斯	トム・ハンクス
1月17號	1月17日
1月18號	1月18日
1月19號	1月19日
1月20號	1月20日
工業革命	産業革命
苯	ベンゼン
1月21號	1月21日
1月22號	1月22日
1月23號	1月23日
羅馬帝國	ローマ帝国
1月24號	1月24日
1月25號	1月25日
明斯克	ミンスク
1月26號	1月26日
微軟	マイクロソフト
1月27號	1月27日
1月28號	1月28日
1月29號	1月29日
1月30號	1月30日
1月31號	1月31日
質子	陽子
12月2號	12月2日
12月1號	12月1日
12月3號	12月3日
12月7號	12月7日
12月5號	12月5日
12月8號	12月8日
12月10號	12月10日
12月6號	12月6日
12月9號	12月9日
12月4號	12月4日
2月1號	2月1日
2月2號	2月2日
氯化鈉	塩化ナトリウム
2月3號	2月3日
庫魯夫市	クルフ
2月4號	2月4日
2月5號	2月5日
2月6號	2月6日
2月7號	2月7日
2月8號	2月8日
2月9號	2月9日
2月10號	2月10日
化學	化学
齊柏林飛船	レッド・ツェッペリン
2月14號	2月14日
2月13號	2月13日
2月15號	2月15日
2月11號	2月11日
2月12號	2月12日
