ʻApelika	アフリカ
ʻEsetonia	エストニア
Makulu	土星
1 (helu)	1
Lakawia	ラトビア
ʻUkelena	ウクライナ
Tiekia	チェコ
Solowakia	スロバキア
Solowenia	スロベニア
Molodowa	モルドバ
Romānia	ルーマニア
Pulukalia	ブルガリア
Loma	ローマ
Repupalika o Masedonia	マケドニア共和国
ʻAlepania	アルバニア
Koloatia	クロアチア
Bosenia me Hesegowina	ボスニア・ヘルツェゴビナ
‘Akepaikana	アゼルバイジャン
ʻAnakola	アンドラ
Kupelo	キプロス
Keokia	グルジア
Kasakana	カザフスタン
Malata	マルタ
Monako	モナコ
Montenegero	モンテネグロ
Wakikana	バチカン
Sana Marino	サンマリノ
‘Inidonesia	インドネシア
Wolfgang Amadeus Mozart	ヴォルフガング・アマデウス・モーツァルト
Ludwig van Beethoven	ルートヴィヒ・ヴァン・ベートーヴェン
‘Alekelia	アルジェリア
Kelewikiona	テレビ
Chile	チリ
Ukaliali‘i	水星
Hōkūloa	金星
Ka‘āwela	木星
Hele‘ekela	天王星
Nepekune	海王星
Kilo hōkū	天文学
Sinapoa	シンガポール
Akeakamai	科学
Likenekaina	リヒテンシュタイン
Makemakika	数学
Baharaina	バーレーン
‘Āmēnia	アルメニア
Seripia	セルビア
‘Aukekulelia	オーストラリア
Kālaikūlohea	物理学
‘Alekina	アルゼンチン
Kālaimeaola	生物学
Kōlea ʻĀkau	朝鮮民主主義人民共和国
Kamabodia	カンボジア
Nalala	恐竜
Hoʻomana Mohameka	イスラム教
Kālailau nahele	植物学
Sofia	ソフィア (ブルガリア)
Kūlanakauhale	都市
Lā	太陽
Kahua o nā hōkū	太陽系
Haikokene	水素
Hiliuma	ヘリウム
Likiuma	リチウム
Beryllium	ベリリウム
Makahiki	年
Oslo	オスロ
Likepona	リスボン
Rhône (kahawai)	ローヌ川
Boron	ホウ素
Kalepona	炭素
Naikokene	窒素
‘Okikene	酸素
Hōkū hele	惑星
Mokekao	モスクワ
Fluorine	フッ素
ʻŌlelo ʻĪkālia	イタリア語
Nīane	ネオン
Sodiuma	ナトリウム
Makanekiuma	マグネシウム
‘Aluminuma	アルミニウム
‘Īnia	インド
Silikone	ケイ素
Pokepola	リン
Sulufura	硫黄
Kolorine	塩素
William Shakespeare	ウィリアム・シェイクスピア
‘Aragona	アルゴン
Potasiuma	カリウム
Kalipuna	カルシウム
Monokolia	モンゴル国
Scandium	スカンジウム
Titanium	チタン
Vanadium	バナジウム
Maine	メイン州
Lio	ウマ
Hoʻomana Buda	仏教
Nū Hamekia	ニューハンプシャー州
Leonardo da Vinci	レオナルド・ダ・ヴィンチ
Makakukeka	マサチューセッツ州
Konekikuka	コネチカット州
Hawai‘i	ハワイ州
Moana ʻĀlika	北極海
Heiti	ハイチ
‘Ilana	イラン
‘Ilaka	イラク
‘Ālaka	アラスカ州
ʻIseraʻela	イスラエル
Panamā	パナマ
Iemene	イエメン
Ioredāne	ヨルダン
Pololika	フロリダ州
Kaikikana	キルギス
‘Alikona	アリゾナ州
Kuete	クウェート
Laosa	ラオス
Lepanona	レバノン
‘Olekona	オレゴン州
Maladiwa	モルディブ
Uka	ユタ州
Malaisia	マレーシア
Puruma	ミャンマー
Nepala	ネパール
ʻOmana	オマーン
Pakitana	パキスタン
Katala	カタール
Saudi ʻAlapia	サウジアラビア
Sililanaka	スリランカ
Suria	シリア
Pokémon	ポケットモンスター
Tailani	タイ王国
Wiekanama	ベトナム
‘Apekanikana	アフガニスタン
Banagaladesa	バングラデシュ
Butana	ブータン
Brunei	ブルネイ
ʻĀina Pilipino	フィリピン
Isaac Newton	アイザック・ニュートン
Albert Einstein	アルベルト・アインシュタイン
Tunisia	チュニジア
Beijing	北京市
Burakina Faso	ブルキナファソ
ʻElikilea	エリトリア
Mauritiusa	モーリシャス
Iulius Caesar	ガイウス・ユリウス・カエサル
Hamepuka	ハンブルク
Huli honua	地質学
Mikikana	ミシガン州
‘Ilinoe	イリノイ州
Tulinia	テューリンゲン州
Kakoka ‘Ākau	ノースダコタ州
Kakoka Hema	サウスダコタ州
Monekana	モンタナ州
Waiomina	ワイオミング州
‘Ikahō	アイダホ州
Wakinekona	ワシントン州
Moana ʻIniana	インド洋
Kololako	コロラド州
ʻAlepa	アルプス山脈
Kikako, ʻIlinoe	シカゴ
‘Ōlelo Sepania	スペイン語
Montevideo	モンテビデオ
Johann Sebastian Bach	ヨハン・ゼバスティアン・バッハ
Wilikinia	バージニア州
Wilikinia Komohana	ウェストバージニア州
Nuioka	ニューヨーク州
Loke ‘Ailana	ロードアイランド州
Melelana	メリーランド州
Kelawea	デラウェア州
‘Ohaio	オハイオ州
Penekelewinia	ペンシルベニア州
Uetersen	ユーテルゼン
Augustus	アウグストゥス
Nū ‘Ieleke	ニュージャージー州
‘Ōlelo Pinilana	フィンランド語
‘Inikiana	インディアナ州
Keokia (‘Amelika Hui Pū ‘ia)	ジョージア州
Kekeka	テキサス州
Kalolaina Hema	サウスカロライナ州
Seine	セーヌ川
Buenos Aires	ブエノスアイレス
Mēkiko D.F.	メキシコシティ
Mikikipi	ミシシッピ州
Kenekī	テネシー州
Nū Mekiko	ニューメキシコ州
‘Akenai	アテネ
Minekoka	ミネソタ州
Wikonekina	ウィスコンシン州
‘Iowa	アイオワ州
Nepalaka	ネブラスカ州
Kanekaka	カンザス州
Mikouli	ミズーリ州
Luikiana	ルイジアナ州
Kenekuke	ケンタッキー州
‘Akanaka	アーカンソー州
‘Okalahoma	オクラホマ州
Makekepuka	マクデブルク
Reykjavík	レイキャヴィーク
Paipala	聖書
Thulium	ツリウム
Ka Ho‘omana Iesū ‘Oia‘i‘o	真イエス教会
‘Ōlelo Pelekania	英語
Đồng Hới	ドンホイ
Concepción, Chile	コンセプシオン (チリ)
Końskowola	コィンスコヴォラ
2000	2000年
2003	2003年
2002	2002年
2001	2001年
2009	2009年
2008	2008年
2004	2004年
2005	2005年
2006	2006年
2007	2007年
Lipekika	ライプツィヒ
1998	1998年
1999	1999年
Kurów	クルフ
Kemika	化学
Makelika	マドリード
Lima	リマ
Santiago de Chile	サンティアゴ (チリ)
Quito	キト
Ankara	アンカラ
Riyadh	リヤド
Kamakeko	ダマスカス
Amman	アンマン
Muscat	マスカット
Wikipedia:Sandbox	Wikipedia:サンドボックス
Wehimala	ヴァイマル
Osasco	オザスコ (サンパウロ州)
Dong Hoi Airport	ドンホイ空港
Curitiba	クリチバ
Zichyújfalu	ズィチウーイファル
Sarah Bernhardt	サラ・ベルナール
Mauna Kana Helena	セント・ヘレンズ山
Mokuhonua	大陸
Kapikala	首都
Monzón	モンソン
Almazán	アルマサン
Puke noi‘i kū‘ikena	百科事典
Ka papa kinohi	メインページ
Vincent van Gogh	フィンセント・ファン・ゴッホ
Frida Kahlo	フリーダ・カーロ
Michelangelo	ミケランジェロ・ブオナローティ
Pablo Picasso	パブロ・ピカソ
Raffael Santi	ラファエロ・サンティ
Rembrandt	レンブラント・ファン・レイン
Frank Lloyd Wright	フランク・ロイド・ライト
Matsuo Bashō	松尾芭蕉
Castille a Leon	カスティーリャ・レオン州
Meka	メッカ
Gabriel García Márquez	ガブリエル・ガルシア＝マルケス
Johann Wolfgang von Goethe	ヨハン・ヴォルフガング・フォン・ゲーテ
Māhele:Candidates for speedy deletion	Category:即時削除対象のページ
Kaumokuʻāina	国
Homer	ホメーロス
Hōʻole Akua	無神論
Kālaikaiaola	生態学
Kālaiʻāina	政治
Aupuni	政府
Qin Shi Huang	始皇帝
Tolstoi	レフ・トルストイ
Moku‘āina	国家
ʻŌlelo Lūkini	ロシア語
‘Ōlelo Pākē	中国語
Nelson Mandela	ネルソン・マンデラ
Makani Pāhili	熱帯低気圧
Moʻokalaleo	文学
Māhele:Palani	Category:フランス
Oboe	オーボエ
ʻOlumepika Kauwela ma 2008	北京オリンピック
Granada	グラナダ
ʻĀtoma	原子
Lāpaki	ウサギ
Mohameka	ムハンマド・イブン＝アブドゥッラーフ
Burgos	ブルゴス
Ronald Reagan	ロナルド・レーガン
‘Ōlelo Zaza	ザザキ語
Māhele:Palakila	Category:ブラジル
Kumumea kemikala	元素
‘Ohe kani	笛
ʻAlea	面積
Hulahula	ダンス
Papa o nā ʻāina	国の一覧
Miranda de Ebro (Burgos)	ミランダ・デ・エブロ
Kuli	ろう者
Ponferrada	ポンフェラーダ
Santander	サンタンデール (スペイン)
Helu piha	整数
‘Ōlelo ‘Alapia	アラビア語
Tiranosauru	ティラノサウルス
Terikeratopa	トリケラトプス
Setegasauru	ステゴサウルス
Barakiosauru	ブラキオサウルス
Welokirapetoa	ヴェロキラプトル
Hae	旗
‘Ulu	パンノキ
Aupuni kiwikā	基礎自治体
Salamanca	サラマンカ
Zamora (España)	サモラ (スペイン)
León (España)	レオン (スペイン)
Anakuhi:Link FA	Template:Link FA
Welemoneka	バーモント州
Houston, Kekeka	ヒューストン
Pēniki	フェニックス (アリゾナ州)
Kakalameko	サクラメント (カリフォルニア州)
Honolulu, Hawaiʻi	ホノルル
Kauoha Hou	新約聖書
Rafael Correa	ラファエル・コレア
Louvre	ルーヴル美術館
‘Ao‘ao Kū‘oko‘a Pokoliko	プエルトリコ独立党
Kalikimaka	クリスマス
Mo‘ai	モアイ
Hoʻolele hualono	ポッドキャスト
Friedrich Schiller	フリードリヒ・フォン・シラー
Jean Auguste Dominique Ingres	ドミニク・アングル
Pule	週
Cervidae	シカ
Pule Alaka‘i A Ka Haku	主の祈り
Musée d'Orsay	オルセー美術館
Mokupuni	島
Moshchena	モシュチェナ
ʻōhiʻa lomi	トマト
Paltoga	パルトガ
Panalā‘au o Quảng Binh	クアンビン省
Bryan Cranston	ブライアン・クランストン
Felidae	ネコ科
Pichilemu	ピチレム
Canidae	イヌ科
Karlstad	カールスタード
Mölnlycke	メンリッケ
Bovidae	ウシ科
Phocidae	アザラシ
ʻAnekelopa	レイヨウ
Cabañas Raras	カバーニャス・ラーラス
Ardón (León)	アルドン
Los Barrios de Luna	ロス・バリオス・デ・ルナ
La Antigua (Sepania)	ラ・アンティグア
Berlanga del Bierzo	ベルランガ・デル・ビエルソ
Otariidae	アシカ科
Pinnipedia	鰭脚類
Zhengzhou	鄭州市
Mīkini helu	計算機
Halakepoka	ハートフォード (コネチカット州)
‘Ōlelo Hawai‘i	ハワイ語
Pea kina	ジャイアントパンダ
Pae moku	多島海
Valparaíso	バルパライソ
‘Ōlelo Sāmoa	サモア語
Marlon Brando	マーロン・ブランド
‘Ōlelo Kahiki	タヒチ語
Wailele ‘o Niakala	ナイアガラの滝
Mošovce	モショヴツェ
Kauō	レイサン島
ʻAperodite	アプロディーテー
Nā mokuʻāina o ʻAmelika Hui	アメリカ合衆国の州
Pauka niho	歯磨剤
Mineapoli	ミネアポリス
Apia	アピア
Brigitte Bardot	ブリジット・バルドー
Arancón	アランコン
'ōlelo toki pona	トキポナ
Paul Gauguin	ポール・ゴーギャン
Teide	テイデ山
Kālaiʻelala	昆虫学
Ágreda	アグレダ
ʻAnekilosauru	アンキロサウルス
Waleluka	セイウチ
Johannes Vermeer	ヨハネス・フェルメール
Teletubbies	テレタビーズ
Kahiki	タヒチ島
Israel Kamakawiwoʻole	イズラエル・カマカヴィヴォオレ
Johnny Cash	ジョニー・キャッシュ
Nanahana	イチョウ
Hesioda	ヘーシオドス
Igüeña	イグエーニャ
Noceda del Bierzo	ノセーダ・デル・ビエルソ
Molinaseca	モリーナセカ
Congosto	コンゴスト
Folgoso de la Ribera	フォルゴーソ・デ・ラ・リベーラ
Sancedo	サンセード
Josepa Samika	ジョセフ・スミス・ジュニア
Pihemanu	ミッドウェー島
Paris Hilton	パリス・ヒルトン
Palapola	放物線
Helu kumu	素数
Palencia	パレンシア県
ʻUkulele	ウクレレ
Hawai‘i (mokupuni)	ハワイ島
Georg Philipp Telemann	ゲオルク・フィリップ・テレマン
ʻUlano	ウーラノス
Coronel Fabriciano	コロネル・ファブリシアーノ
Pamela Anderson	パメラ・アンダーソン
Gema	宝石
Puahōlani	チューリップ
Nikolai Rimsky-Korsakov	ニコライ・リムスキー＝コルサコフ
Donald Sutherland	ドナルド・サザーランド
Peter O'Toole	ピーター・オトゥール
Lili‘uokalani	リリウオカラニ
Joey King	ジョーイ・キング
X-Men	X-メン
Nika	ニュクス
Mauna Kea	マウナ・ケア山
O‘ahu	オアフ島
Quintana del Marco	キンターナ・デル・マルコ
Cea (León)	セア (スペイン)
Cuadros	クアドロス
Rioseco de Tapia	リオセコ・デ・タピア
Santa María de la Isla	サンタ・マリーア・デ・ラ・イスラ
Pozuelo del Páramo	ポスエーロ・デル・パラモ
San Emiliano	サン・エミリアーノ
Sonata No. 8 no Piano (Beethoven)	ピアノソナタ第8番 (ベートーヴェン)
ʻĀpana	ディストリクト
John Singer Sargent	ジョン・シンガー・サージェント
Sesame Street	セサミストリート
Aupuni Mōʻī o Hawaiʻi	ハワイ王国
Mauna Loa	マウナ・ロア山
Pat Hingle	パット・ヒングル
Frans Hals	フランス・ハルス
Pō La‘i Ē	きよしこの夜
Nuʻuhiwa	マルキーズ諸島
Edentata	異節上目
Hualālai	フアラライ山
Christopher Lee	クリストファー・リー
Knoxville, Kenekī	ノックスビル (テネシー州)
Lāna‘i	ラナイ島
Carl Larsson	カール・ラーション
Kīlauea	キラウエア火山
Maui	マウイ島
Māmā	テンポ
Christopher Plummer	クリストファー・プラマー
Mokupuni o Hawai‘i	ハワイ諸島
Ivan Shishkin	イヴァン・シーシキン
Moloka‘i	モロカイ島
Nancy Reagan	ナンシー・レーガン
Almuñécar	アルムニェーカル
Hakakā ‘ole	不殺生
Kaua‘i	カウアイ島
Tigranes II	ティグラネス2世
Georges de La Tour	ジョルジュ・ド・ラ・トゥール
Adour	アドゥール川
Ivan Kramskoi	イワン・クラムスコイ
Motril	モトリル
Roger Ebert	ロジャー・イーバート
John Bauer	ヨン・バウエル
Adolfo Suárez	アドルフォ・スアレス
Thomas Eakins	トマス・エイキンズ
Kamehameha I	カメハメハ1世
Hilo	ヒロ (ハワイ島)
Anggun	アングン
Kaho‘olawe	カホオラウェ島
Kalo	サトイモ
Makua Kamiano	ダミアン神父
Ni‘ihau	ニイハウ島
Guadix	グアディクス
Pete Seeger	ピート・シーガー
Heleuī	ハロウィン
Waikīkī	ワイキキ
Brook Mahealani Lee	ブルック・マヘアラニ・リー
Imelda Marcos	イメルダ・マルコス
Michael Gough	マイケル・ガフ
Peterosauru	プテロダクティルス
Richard Griffiths	リチャード・グリフィス
Donald Pleasence	ドナルド・プレザンス
Andrew Wyeth	アンドリュー・ワイエス
'Imi loa Dora	ドーラといっしょに大冒険
Loja	ロハ (スペイン)
Kamehameha	カメハメハ
Richard Schiff	リチャード・シフ
Pedro de Betancur	ペトロ・ド・ベタンクール
Jeddah	ジッダ
Kamehameha II	カメハメハ2世
Valdefresno	バルデフレスノ
Kamehameha III	カメハメハ3世
Buke a Moramona	モルモン書
Carazo	カラソ県
Astorga	アストルガ
Pōmare IV	ポマレ4世
Alexander ʻIolani Liholiho	カメハメハ4世
Tan Son Nhat International Airport	タンソンニャット国際空港
Medinaceli	メディナセリ
Burgo de Osma-Ciudad de Osma	エル・ブルゴ・デ・オスマ
Baza	バサ
San Vicente del Raspeig	サン・ビセンテ・デル・ラスペイグ
Aranda de Duero (Burgos)	アランダ・デ・ドゥエロ
Māmalahoe	ママラホエ
Nā kiaʻāina o Hawaiʻi	ハワイ州知事
Ka'aahi Thomas	きかんしゃトーマス
Likaono	リュカーオーン
Mauna kai	海山
Las Omañas	ラス・オマーニャス
Huahine	フアヒネ島
Honolulu International Airport	ホノルル国際空港
Efrem Zimbalist, Jr.	エフレム・ジンバリスト・ジュニア
Kailua	カイルア (ハワイ州ホノルル郡)
Līhuʻe	リフエ
Pinos Puente	ピノス・プエンテ
Santa Fe	サンタ・フェ (グラナダ県)
Kailua-Kona	カイルア・コナ
Waipahu	ワイパフ (ハワイ州)
Villamartín de Don Sancho	ビジャマルティン・デ・ドン・サンチョ
Viveiro	ビベイロ
Sobrado	ソブラード (ア・コルーニャ県)
Palapala ‘Āina Honua	世界地図
Hawaiʻi Ponoʻī	ハワイ・ポノイ
Huinakolu Polenekia	ポリネシアン・トライアングル
Reinosa	レイノーサ
Mokupāpapa	クレ環礁
Sila Hawaiʻi	ハワイモンクアザラシ
Cacabelos	カカベーロス
Kaunakakai	カウナカカイ (ハワイ州)
ʻOeneusa	オイネウス
Kaʻū	カウ
Onzonilla	オンソニージャ
Backyardigans	Sing×3♪ぼくら、バックヤーディガンズ!
Ciudad Rodrigo	シウダ・ロドリーゴ
Sahagún	サアグン (スペイン)
Almarza	アルマルサ
Aldealices	アルデアリセス
Aldealafuente	アルデアラフエンテ
Alentisque	アレンティスケ
Adradas	アドラーダス
Abejar	アベハール
Aldealpozo	アルデアルポソ
Alcubilla de Avellaneda	アルクビージャ・デ・アベジャネーダ
Maján	マハン (スペイン)
Castillejo de Robledo	カスティリェホ・デ・ロブレド
Toro (Zamora)	トーロ (スペイン)
Trabadelo	トラバデーロ
Hospital de Órbigo	オスピタル・デ・オルビゴ
Villafranca del Bierzo	ビジャフランカ・デル・ビエルソ
Pōmare II	ポマレ2世
Pōmare I	ポマレ1世
Pōmare III	ポマレ3世
Vega de Valcarce	ベガ・デ・バルカルセ
Val de San Lorenzo	バル・デ・サン・ロレンソ
Insane Clown Posse	インセイン・クラウン・ポッシー
ʻAinaonao	アリクイ
Villamanín	ビジャマニン
Lahaina	ラハイナ
Kahului	カフルイ
Pele	ペレ (ハワイ神話)
Lōʻihi	ロイヒ
Bembibre	ベンビブレ
Wikipedia:Nohona kuhina	Wikipedia:大使館
Kumulipo	クムリポ
Aloha ʻOe	アロハ・オエ
Manuae	マヌアエ島 (リーワード諸島)
Holoikauaua	パールアンドハーミーズ環礁
Cármenes	カルメネス
Cabrillanes	カブリジャーネス
Māhele:Kelemānia	Category:ドイツ
Māhele:ʻAmelika Hui Pū ʻia	Category:アメリカ合衆国
Māhele:Sepania	Category:スペイン
Māhele:Mekiko	Category:メキシコ
Carracedelo	カラセデーロ
Carucedo	カルセード
Corullón	コルジョン
Māhele:Pōlani	Category:ポーランド
Māhele:Wiekanama	Category:ベトナム
Māhele:Hōʻike honua	Category:地理
Māhele:Akeakamai	Category:科学
Kāneʻohe	カネオヘ (ハワイ州)
Care Bears	ケアベア
Hanauma	ハナウマ湾
Vegas del Condado	ベガス・デル・コンダード
Borrenes	ボレーネス
Torre del Bierzo	トーレ・デル・ビエルソ
Vega de Espinareda	ベガ・デ・エスピナレーダ
Barjas	バルハス
Urdiales del Páramo	ウルディアーレス・デル・パラモ
Sena de Luna	セナ・デ・ルナ
Peranzanes	ペランサーネス
Candín (León)	カンディン
La Vecilla	ラ・ベシージャ
Oencia	オエンシア
Moraleja del Vino	モラレッハ・デル・ビーノ
Lubián	ルビアン
Puebla de Sanabria	プエブラ・デ・サナブリア
Lehua	レフア島
Māhele:Disambig	Category:曖昧さ回避
Bochotnica	ボホトニツァ
Sanna Nielsen	サンナ・ニールセン
Nakayama Miki	中山みき
Hōkūleʻa	ホクレア
Conrad Bain	コンラッド・ベイン
Māhele:Nā ‘āinapuni‘ole	Category:大陸
Waimea (Kauaʻi)	ワイメア (カウアイ島)
Anakuhi:Nā hōkū hele o ke kahua o nā hōkū	Template:太陽系
Kula ʻo Punahou	プナホウ・スクール
Mānoa	マノア
Kaʻiulani	カイウラニ
Nainoa Thompson	ナイノア・トンプソン
Anakuhi:WikipediaLang	Template:メインページ/他言語版
Wikipedia:Nā kahu	Wikipedia:管理者
Wikipedia:Nā noi e ho‘oki‘eki‘e	Wikipedia:管理者への立候補
Wikipedia:Lopako	Wikipedia:Bot
‘Aikupika	エジプト
Anakuhi:Lopako	Template:Bot
Kanakā	カナダ
Māhele:Hunakalia	Category:ハンガリー
Māhele:Helene	Category:ギリシャ
Māhele:Solowakia	Category:スロバキア
Māhele:ʻEulopa	Category:ヨーロッパ
Māhele:Wikipedians by language	Category:言語別の利用者
Wikipedia:‘Ōmuku	Wikipedia:スタブ
Sung Jae-gi	成在基
Anakuhi:Softredirect	Template:Softredirect
Anakuhi:Kāpae	Template:即時削除
Māhele:‘Ōlelo	Category:諸言語
Māhele:Wikipikia	Category:ウィキペディア
Wikipedia:Nā a‘o ‘ana laulā	Wikipedia:免責事項
Wikipedia:Manuale Kaila	Wikipedia:スタイルマニュアル
Anakuhi:Navbox	Template:Navbox
Anakuhi:!	Template:!
Anakuhi:Tnavbar	Template:Tnavbar
Anakuhi:Okina	Template:オキナ
Māhele:ʻApelika	Category:アフリカ
Anakuhi:Papela	Template:Babel
Anakuhi:Commons	Template:Commons
Anakuhi:ʻŌmuku	Template:Stub
Anakuhi:User de	Template:User de
Anakuhi:User en	Template:User en
Anakuhi:User fr	Template:User fr
Māhele:ʻĀkia	Category:アジア
Māhele:21st century	Category:21世紀
Māhele:Castille a Leon	Category:カスティーリャ・レオン州
Anakuhi:Mod	Template:Mod
Anakuhi:Aloha	Template:Welcome
Anakuhi:Wikipediasister	Template:WikipediaSister
Anakuhi:Wide image	Template:Wide image
Māhele:Palika	Category:パリ
Māhele:User en	Category:User en
Anakuhi:Navbox/core	Template:Navbox/core
Anakuhi:User ru	Template:User ru
Māhele:Nā hōkū hele o ke kahua o nā hōkū	Category:太陽系の惑星
Anakuhi:User blank	Template:User language
Anakuhi:Ho‘okele nā makahiki	Template:年代ナビ
Anakuhi:Pule	Template:曜日
Anakuhi:Huaʻōlelo puana like	Template:Aimai
Māhele:Aliʻi o Hawai‘i	Category:ハワイ国王
Anakuhi:Nā ‘āinapuni‘ole	Template:大州横
Māhele:User fr	Category:User fr
Māhele:Panalāʻau o Quảng Binh	Category:クアンビン省
Māhele:User de	Category:User de
Māhele:User de-N	Category:User de-N
Māhele:User en-N	Category:User en-N
Māhele:Huli kanaka	Category:社会科学
Māhele:Kahawai o Palani	Category:フランスの河川
Māhele:User ru	Category:User ru
Anakuhi:Sepania	Template:スペインの自治州地図
Māhele:Kahaki‘i	Category:画家
Māhele:Hawai‘i	Category:ハワイ州
Māhele:Kanaka o Hawaiʻi	Category:ハワイ州の人物
Māhele:Panalā‘au o Granada	Category:グラナダ県の自治体
Māhele:Kelewikiona	Category:テレビ
Māhele:Nolewai	Category:ノルウェー
Māhele:Nā moana	Category:大洋
Māhele:Kapikala	Category:首都
Māhele:Honolulu	Category:ホノルル市
Māhele:Panalā‘au o Burgos	Category:ブルゴス県の自治体
Māhele:Panalā‘au o Zamora	Category:サモーラ県の自治体
Trojany	トロヤニ (マゾフシェ県)
Māhele:Panalā‘au o Salamanca	Category:サラマンカ県
Māhele:Haku mele (ho‘okani)	Category:作曲家
Māhele:Oʻahu	Category:オアフ島
Anakuhi:Nā kapikala o nā moku‘āina o ‘Amelika Hui	Template:アメリカ合衆国の州都
Module:Citation/CS1/Whitelist	モジュール:Citation/CS1/Whitelist
Module:Yesno	モジュール:Yesno
Module:Category handler	モジュール:Category handler
Module:Arguments	モジュール:Arguments
Papa nui:NāLoliHou	特別:最近の更新
Module:Citation/CS1	モジュール:Citation/CS1
Module:Citation/CS1/Configuration	モジュール:Citation/CS1/Configuration
Module:Namespace detect	モジュール:Namespace detect
Module:HtmlBuilder	モジュール:HtmlBuilder
Module:Navbar	モジュール:Navbar
Module:Navbox	モジュール:Navbox
Module:Userbox	モジュール:Userbox
