აფრიკა	アフリカ
ეთანოლამიდი	エタノール
ალკოჰოლური სასმელი	酒
ბრაზილია	ブラジル
სპირტი	アルコール
ფრანსუა ოლანდი	フランソワ・オランド
რუსეთი	ロシア
ვეშაპისნაირნი	クジラ目
ოპტიკური ბოჭკო	光ファイバー
იორკშირი	ヨークシャー
კვადრატი	正方形
ზღვა	海
შავი ზღვა	黒海
პი (რიცხვი)	円周率
პი (ასო)	Π
Wiki	ウィキ
ტორონტო	トロント
ალაბამა	アラバマ州
სან-პაულუ	サンパウロ
სან-პაულუს შტატი	サンパウロ州
კვებეკი	ケベック州
პიცა	ピザ
ფონდი ვიკიმედია	ウィキメディア財団
ჯიმი უელსი	ジミー・ウェールズ
გერმანია	ドイツ
ბელარუსი	ベラルーシ
იტალიის ჰიმნი	マメーリの賛歌
გერმანული ენა	ドイツ語
ისლანდია	アイスランド
ღმერთი	神
ესტონეთი	エストニア
დეივიდ კამერონი	デーヴィッド・キャメロン
სატურნი	土星
შოკოლადი	チョコレート
თვითმფრინავი	飛行機
ომი	戦争
ერთი	1
ორი	2
სამი	3
ოთხი	4
ხუთი	5
ნული	0
უსასრულობა	無限
სტივენ ჰარპერი	スティーヴン・ハーパー
ჯორჯ უოლკერ ბუში	ジョージ・W・ブッシュ
მართკუთხედი	長方形
ლატვია	ラトビア
უკრაინა	ウクライナ
ჩეხეთი	チェコ
სლოვაკეთი	スロバキア
სლოვენია	スロベニア
ვილნიუსი	ヴィリニュス
მოლდოვა	モルドバ
რუმინეთი	ルーマニア
ბულგარეთი	ブルガリア
რომი	ローマ
მაკედონია	マケドニア共和国
ალბანეთი	アルバニア
გრენლანდია	グリーンランド
ხორვატია	クロアチア
ბოსნია და ჰერცეგოვინა	ボスニア・ヘルツェゴビナ
ნუუკი	ヌーク
აზერბაიჯანი	アゼルバイジャン
ანდორა	アンドラ
კვიპროსი	キプロス
საქართველო	グルジア
ვალონია	ワロン地域
ყაზახეთი	カザフスタン
მალტა	マルタ
ფლანდრია (ისტორიული ოლქი)	フランドル
მონაკო	モナコ
ჩერნოგორია	モンテネグロ
ვატიკანი	バチカン
სან-მარინო	サンマリノ
ბრიუსელი	ブリュッセル市
ბრიუსელი (რეგიონი)	ブリュッセル
კუბა	キューバ
ბელიზი	ベリーズ
ეიფელის კოშკი	エッフェル塔
ბარბადოსი	バルバドス
Intel	インテル
კომპიუტერის კლავიატურა	キーボード (コンピュータ)
ჯავა (პროგრამირების ენა)	Java
ინდონეზია	インドネシア
ვოლფგანგ ამადეუს მოცარტი	ヴォルフガング・アマデウス・モーツァルト
ლუდვიგ ვან ბეთჰოვენი	ルートヴィヒ・ヴァン・ベートーヴェン
თურქული ენა	トルコ語
სამხრეთ აფრიკის რესპუბლიკა	南アフリカ共和国
ჟან-ფრანსუა შამპოლიონი	ジャン＝フランソワ・シャンポリオン
ლინკინ პარკი	リンキン・パーク
ალჟირი	アルジェリア
ვიკიწყარო	ウィキソース
უზბეკეთი	ウズベキスタン
დროზერა	モウセンゴケ属
პოზნანი	ポズナン
ტაშკენტი	タシュケント
ვარშავა	ワルシャワ
ევროვიზიის სიმღერის კონკურსი	ユーロビジョン・ソング・コンテスト
მოდენა	モデナ
შოტლანდიური ვისკი	ウイスキー
ღვინო	ワイン
წყალი	水
კონიაკი	コニャック
მერქანი	木材
ტური (საფრანგეთი)	トゥール (アンドル＝エ＝ロワール県)
ტელევიზია	テレビ
სქესი	性 (生物学)
პორნოგრაფია	ポルノグラフィ
ისლანდიური ენა	アイスランド語
კლოდ მონე	クロード・モネ
დიეგო ველასკესი	ディエゴ・ベラスケス
ჩილე	チリ
ელ გრეკო	エル・グレコ
იესო ქრისტე	イエス・キリスト
ელვის პრესლი	エルヴィス・プレスリー
სებასტიან პინიერა	セバスティアン・ピニェラ
გალილეო გალილეი	ガリレオ・ガリレイ
მერკური	水星
ისტორია	歴史
პერ-ლაშეზის სასაფლაო	ペール・ラシェーズ墓地
Apple	アップル インコーポレイテッド
ვენერა	金星
ენა	言語
სიყვარული	愛
დიქტატურა	独裁政治
გალაქტიკა	銀河
იუპიტერი	木星
მიშელ ბაჩელეტი	ミシェル・バチェレ
ირმის ნახტომი	銀河系
დიდი აფეთქების თეორია	ビッグバン
ურანი	天王星
ედუარდო ფრეი რუის-ტაგლე	エドゥアルド・フレイ・ルイスタグレ
ბრეტანი (ისტორიული მხარე)	ブルターニュ
ინგლისური ვიკიპედია	英語版ウィキペディア
ნიკოლა სარკოზი	ニコラ・サルコジ
რიკარდო ლაგოსი	リカルド・ラゴス
ნეპტუნი	海王星
ასტრონომია	天文学
სინგაპური	シンガポール
პატრისიო ეილვინი	パトリシオ・エイルウィン
მეცნიერება	科学
კოსმოლოგია	宇宙論
პლუტონი	冥王星
მონრეალი	モントリオール
კემპერი	カンペール
მარიამ ღვთისმშობელი	イエスの母マリア
ლუი IX	ルイ9世 (フランス王)
ლიხტენშტაინი	リヒテンシュタイン
სპორტი	スポーツ
კემბრიჯი	ケンブリッジ
იელოუსტოუნის ეროვნული პარკი	イエローストーン国立公園
ადოლფ ჰიტლერი	アドルフ・ヒトラー
Facebook	Facebook
WikiLeaks	ウィキリークス
ჯულიან ასანჟი	ジュリアン・アサンジ
პირველი მსოფლიო ომი	第一次世界大戦
მეორე მსოფლიო ომი	第二次世界大戦
GitHub	GitHub
კელნი	ケルン
კორუფცია	汚職
ვიკიწიგნები	ウィキブックス
აუგუსტო პინოჩეტი	アウグスト・ピノチェト
ვიკიციტატა	ウィキクォート
ვიკივერსიტეტი	ウィキバーシティ
Wikivoyage	ウィキボヤージュ
არაყი	ウォッカ
საათი	時計
Ubuntu	Ubuntu
სკოპიე	スコピエ
გდინია	グディニャ
Linux	Linux
ბობ დილანი	ボブ・ディラン
შჩეცინი	シュチェチン
მეტროლოგია	計量学
მათემატიკა	数学
U2	U2
ლათინური ენა	ラテン語
ბაჰრეინი	バーレーン
სომხეთი	アルメニア
სოლისებრი დამწერლობა	楔形文字
ჰიგსის ბოზონი	ヒッグス粒子
სერბეთი	セルビア
მთვარე	月
სტამბოლი	イスタンブル
ავსტრალია	オーストラリア
ბობ მარლი	ボブ・マーリー
კარლ სეიგანი	カール・セーガン
ფიზიკა	物理学
არგენტინა	アルゼンチン
ტელეკომუნიკაცია	電気通信
პერუ	ペルー
ბიოლოგია	生物学
ამოუცნობი მფრინავი ობიექტი	未確認飛行物体
კორეის სახალხო დემოკრატიული რესპუბლიკა	朝鮮民主主義人民共和国
კამბოჯა	カンボジア
კოიპერის სარტყელი	エッジワース・カイパーベルト
ყურანი	クルアーン
დინოზავრები	恐竜
ზოოლოგია	動物学
ისლამი	イスラム教
მსხალი	ナシ属
ალექსანდრიის ბიბლიოთეკა	アレクサンドリア図書館
ლიუბლიანა	リュブリャナ
სალვადორ ალიენდე	サルバドール・アジェンデ
ბოტანიკა	植物学
ბუნების ისტორია (პლინიუსი)	博物誌
ლეხ ვალენსა	レフ・ヴァウェンサ
ბორბალი	車輪
დენი დიდრო	ドゥニ・ディドロ
მშვიდობა	平和
ენციკლოპედია ბრიტანიკა	ブリタニカ百科事典
ლიონი	リヨン
ევროპის კავშირი	欧州連合
პლოვდივი	プロヴディフ
ვარსკვლავური ომები	スター・ウォーズ・シリーズ
რონა-ალპები	ローヌ＝アルプ地域圏
ქალი	女性
სოფია	ソフィア (ブルガリア)
აკვედუკი	水道橋
ედუარდო ფრეი მონტალვა	エドゥアルド・フレイ・モンタルバ
დონ კიხოტი	ドン・キホーテ
პოეზია	詩
ჩერნობილის კატასტროფა	チェルノブイリ原子力発電所事故
ღიმილი	微笑み
ჰიროსიმისა და ნაგასაკის ატომური დაბომბვა	日本への原子爆弾投下
მილანი	ミラノ
მეგობრობა	友情
მეხსიერება	記憶
ჟან ნიკოლა არტიურ რემბო	アルチュール・ランボー
ტურინი	トリノ
ყითა ნაწლავი	肛門
ლიმონი	レモン
შარლ ბოდლერი	シャルル・ボードレール
სტენდალი	スタンダール
ემილ ზოლა	エミール・ゾラ
666	666年
ყვავილი	花
მარიანას ღარი	マリアナ海溝
ვლადიმერ ვისოცკი	ヴラジーミル・ヴィソツキー
ევერესტი	エベレスト
ანატომია	解剖学
დიდი ქალაქი	都市
ნაპოლეონ ბონაპარტი	ナポレオン・ボナパルト
ოლიმპი (მარსი)	オリンポス山 (火星)
ფიზიოლოგია	生理学
ვარსკვლავი	恒星
ვეზუვი	ヴェスヴィオ
მზე	太陽
ცა	空
ლუი პასტერი	ルイ・パスツール
სინათლის წელიწადი	光年
ვიქტორ ჰიუგო	ヴィクトル・ユーゴー
ოკეანეთი	オセアニア
ჯუზეპე გარიბალდი	ジュゼッペ・ガリバルディ
ცენზურა	検閲
მზის სისტემა	太陽系
ბალტიის ზღვა	バルト海
ტრიესტი	トリエステ
ვისლა	ヴィスワ川
შანზ-ელიზე	シャンゼリゼ通り
ოდრა	オーデル川
წყალბადი	水素
ჰელიუმი	ヘリウム
ჯოჯოხეთი	地獄
ვიკისაწყობი	ウィキメディア・コモンズ
ანგელა მერკელი	アンゲラ・メルケル
ლითიუმი	リチウム
ბერილიუმი	ベリリウム
წიგნი	本
დღე-ღამე	日
აღმოსავლეთი ტიმორი	東ティモール
წელი	年
საუკუნე	世紀
კარლოს იბანიეს დელ კამპო	カルロス・イバニェス・デル・カンポ
ლოძი	ウッチ
ვილერბანი	ヴィルールバンヌ
მონბლანი	モンブラン
რაინი	ライン川
ოსლო	オスロ
ბონი	ボン
კატოვიცე	カトヴィツェ
შავი ხვრელი	ブラックホール
ლუიშ დი კამოენსი	ルイス・デ・カモンイス
გეი	ゲイ
ხელშეუხებელნი (2011 წლის ფილმი)	最強のふたり
ცერერა	ケレス (準惑星)
ლისაბონი	リスボン
ჰაუმეა	ハウメア (準惑星)
რონა	ローヌ川
მაკემაკე	マケマケ (準惑星)
მაიკლ ბლუმბერგი	マイケル・ブルームバーグ
ერისი	エリス (準惑星)
დუბაის საამირო	ドバイ
ლიონელ მესი	リオネル・メッシ
პადუა	パドヴァ
ბორი	ホウ素
ნიკოლოზ კოპერნიკი	ニコラウス・コペルニクス
ნახშირბადი	炭素
ალესანდრო დელ პიერო	アレッサンドロ・デル・ピエロ
ვოლგა	ヴォルガ川
აზოტი	窒素
ბერგამო	ベルガモ
ჟანგბადი	酸素
ინტერი მილანი (საფეხბურთო კლუბი)	インテルナツィオナーレ・ミラノ
ნილ იანგი	ニール・ヤング
პლანეტა	惑星
კლეოპატრა VII	クレオパトラ7世
კეიტ ბუში	ケイト・ブッシュ
მუსიკა	音楽
ვენეცია	ヴェネツィア
ნარუტო	NARUTO -ナルト-
პო (მდინარე)	ポー川
შარმ-ელ-შეიხი	シャルム・エル・シェイク
ნევა	ネヴァ川
რენი	レンヌ
ლილი	リール (フランス)
მოსკოვი	モスクワ
ფთორი	フッ素
იტალიური ენა	イタリア語
ჩიუაუა (ძაღლი)	チワワ
ნეონი	ネオン
ჩიუაუის შტატი	チワワ州
სანქტ-პეტერბურგი	サンクトペテルブルク
ჩადი	チャド
ნატრიუმი	ナトリウム
ჩრდილოეთი	北
მაგნიუმი	マグネシウム
ალუმინი	アルミニウム
ახალი ზელანდია	ニュージーランド
სამხრეთი	南
ინდოეთი	インド
სილიციუმი	ケイ素
ფრანციუმი	フランシウム
ტუვალუ	ツバル
ფოსფორი	リン
ანდრე მარი ამპერი	アンドレ＝マリ・アンペール
პროზა	散文
რკინა	鉄
ტონგა	トンガ
დასავლეთი	西
ალესანდრო ვოლტა	アレッサンドロ・ボルタ
გოგირდი	硫黄
სამოა	サモア
აღმოსავლეთი	東
სოლომონის კუნძულები	ソロモン諸島
ვანუატუ	バヌアツ
მოლიერი	モリエール
ქლორი	塩素
პაპუა-ახალი გვინეა	パプアニューギニア
უილიამ შექსპირი	ウィリアム・シェイクスピア
სამხრეთი ჰოლანდია	南ホラント州
პალაუ	パラオ
არგონი	アルゴン
ნაურუ	ナウル
Mozilla Firefox	Mozilla Firefox
ზღაპარი	メルヘン
ჩრდილოეთი ჰოლანდია	北ホラント州
მიკრონეზიის ფედერაციული შტატები	ミクロネシア連邦
კალიუმი	カリウム
ოლიმპიკ ლიონი (საფეხბურთო კლუბი)	オリンピック・リヨン
ზელანდიის პროვინცია	ゼーラント州
კალციუმი	カルシウム
ფლევოლანდი	フレヴォラント州
ტყვია	鉛
მარშალის კუნძულები	マーシャル諸島
კირიბატი	キリバス
მონღოლეთი	モンゴル国
ფიჯი	フィジー
სკანდიუმი	スカンジウム
სტივი უანდერი	スティーヴィー・ワンダー
ჰაილბრონი	ハイルブロン
ტიტანი	チタン
ვენესუელა	ベネズエラ
ჭადრაკი	チェス
ჩინგიზ-ყაენი	チンギス・カン
ვანადიუმი	バナジウム
მენის შტატი	メイン州
ქრომი	クロム
ცხენი	ウマ
ამსტერდამი	アムステルダム
იარაღი (სამხედრო)	武器
ცხოველები	動物
სურინამი	スリナム
მანგანუმი	マンガン
პარაგვაი	パラグアイ
გაიანა	ガイアナ
ხელოვნება	芸術
ეკვადორი	エクアドル
რენიუმი	レニウム
კოლუმბია	コロンビア
კობალტი	コバルト
ვოლფრამი	タングステン
ნიკელი	ニッケル
მარწყვი	オランダイチゴ属
პიერ კორნელი	ピエール・コルネイユ
ბუდიზმი	仏教
გრონინგენი	フローニンゲン
ბოლივია	ボリビア
ოსმიუმი	オスミウム
გრონინგენის პროვინცია	フローニンゲン州
სპილენძი	銅
ტრინიდადი და ტობაგო	トリニダード・トバゴ
პოლ ვერლენი	ポール・ヴェルレーヌ
მცენარეები	植物
სენტ-ვინსენტი და გრენადინები	セントビンセント・グレナディーン
თუთია	亜鉛
ნიუ-ჰემფშირი	ニューハンプシャー州
სენტ-ლუსია	セントルシア
ბელოსტოკი	ビャウィストク
ლეონარდო და ვინჩი	レオナルド・ダ・ヴィンチ
სენტ-კიტსი და ნევისი	セントクリストファー・ネイビス
სოკოები	菌類
იამაიკა	ジャマイカ
სტეფან მალარმე	ステファヌ・マラルメ
გრენადა	グレナダ
ფრისლანდია	フリースラント州
მასაჩუსეტსი	マサチューセッツ州
დრენთე	ドレンテ州
ოვერეისელი	オーファーアイセル州
გვატემალა	グアテマラ
გელდერლანდი	ヘルダーラント州
უტრეხტის პროვინცია	ユトレヒト州
Google Chrome	Google Chrome
ბაჰამის კუნძულები	バハマ
კონექტიკუტი	コネチカット州
ქათამი	ニワトリ
ანტიგუა და ბარბუდა	アンティグア・バーブーダ
ჰავაის შტატი	ハワイ州
ჰონდურასი	ホンジュラス
დომინიკა	ドミニカ国
ჯერზი	ジャージー
დომინიკელთა რესპუბლიკა	ドミニカ共和国
ღორი	ブタ
ჩრდილოეთის ყინულოვანი ოკეანე	北極海
ჰაიტი	ハイチ
ტაუმატაუაკატანგიანგაკოაუაუოტამატეატურიპუკაკაპიკიმაუნგაჰორონუკუპოკანუენუაკიტანატაჰუ	タウマタファカタンギハンガコアウアウオタマテアポカイフェヌアキタナタフ
სალვადორი	エルサルバドル
ზვოლე	ズヴォレ
ირანი	イラン
ერაყი	イラク
ალასკა	アラスカ州
კოსტა-რიკა	コスタリカ
ისრაელი	イスラエル
ნოვი-სონჩი	ノヴィ・ソンチ
უტრეხტი	ユトレヒト
პანამა	パナマ
იემენი	イエメン
ლოზანა	ローザンヌ
ვირუსები	ウイルス
პოლონური ენა	ポーランド語
იორდანია	ヨルダン
ნიკარაგუა	ニカラグア
ფლორიდა	フロリダ州
ყირგიზეთი	キルギス
გაბრიელ გონსალეს ვიდელა	ガブリエル・ゴンサレス・ビデラ
არიზონა	アリゾナ州
ქუვეითი	クウェート
ლაოსი	ラオス
ლიბანი	レバノン
ორეგონი	オレゴン州
მალდივის რესპუბლიკა	モルディブ
ამერიკა	アメリカ州
იუტა	ユタ州
მალაიზია	マレーシア
ვალეს კანტონი	ヴァレー州
მიხეილ ბულგაკოვი	ミハイル・ブルガーコフ
მიანმარი	ミャンマー
ნეპალი	ネパール
ანდრია რუბლიოვი	アンドレイ・ルブリョフ
ომანი	オマーン
პაკისტანი	パキスタン
კატარი	カタール
ჩოგბურთი	テニス
ფრანსუა ვიიონი	フランソワ・ヴィヨン
საუდის არაბეთი	サウジアラビア
ანდრეი ტარკოვსკი	アンドレイ・タルコフスキー
შრი-ლანკა	スリランカ
იოსებ სტალინი	ヨシフ・スターリン
სირია	シリア
პლატონი	プラトン
გალიუმი	ガリウム
ტაჯიკეთი	タジキスタン
ტაივანი	中華民国
YouTube	YouTube
გერმანიუმი	ゲルマニウム
არისტოტელე	アリストテレス
ტაილანდი	タイ王国
დარიშხანი	ヒ素
რადიო	ラジオ
მერილ სტრიპი	メリル・ストリープ
თურქმენეთი	トルクメニスタン
სელენიუმი	セレン
ირიდიუმი	イリジウム
არაბთა გაერთიანებული საამიროები	アラブ首長国連邦
ბრომი	臭素
პლატინა	白金
ვიეტნამი	ベトナム
ჩარლზ ჩაპლინი	チャールズ・チャップリン
ნოვოსიბირსკი	ノヴォシビルスク
სამხრეთი კორეა	大韓民国
იუზეფ პილსუდსკი	ユゼフ・ピウスツキ
სიმპსონები	ザ・シンプソンズ
ეკატერინბურგი	エカテリンブルク
კრიპტონი	クリプトン
ავღანეთი	アフガニスタン
Gangnam Style	江南スタイル
ნიჟნი-ნოვგოროდი	ニジニ・ノヴゴロド
ჯონ რონალდ რუელ ტოლკინი	J・R・R・トールキン
სამარა (რუსეთი)	サマーラ
რუბიდიუმი	ルビジウム
ოქრო	金
ომსკი	オムスク
სუეცის არხი	スエズ運河
ყაზანი	カザン
ბანგლადეში	バングラデシュ
ფრანც კაფკა	フランツ・カフカ
ჩელიაბინსკი	チェリャビンスク
დონის როსტოვი	ロストフ・ナ・ドヌ
ხორხე ლუის ბორხესი	ホルヘ・ルイス・ボルヘス
უფა	ウファ
მალი	マリ共和国
სოკრატე	ソクラテス
ვოლგოგრადი	ヴォルゴグラード
ანგოლა	アンゴラ
პერმი	ペルミ
ბჰუტანი	ブータン
Twitter	Twitter
კრასნოიარსკი	クラスノヤルスク
ბრუნეი	ブルネイ
ტანზანია	タンザニア
ვერცხლისწყალი	水銀
რუალ ამუნდსენი	ロアール・アムンセン
ფილიპინები	フィリピン
ცენტრალური აფრიკის რესპუბლიკა	中央アフリカ共和国
უძუმაკი ნარუტო	うずまきナルト
თალიუმი	タリウム
სამხრეთი პოლუსი	南極点
ჩრდილოეთი პოლუსი	北極点
ისააკ ნიუტონი	アイザック・ニュートン
ალბერტ აინშტაინი	アルベルト・アインシュタイン
სტრონციუმი	ストロンチウム
პედრუ I (ბრაზილია)	ペドロ1世 (ブラジル皇帝)
იტრიუმი	イットリウム
ბისმუტი	ビスマス
ყვითელი	黄色
კვანტური მექანიკა	量子力学
ტოგო	トーゴ
დონალდ ტუსკი	ドナルド・トゥスク
ტუნისი	チュニジア
ჯონ ბარდინი	ジョン・バーディーン
ზამბია	ザンビア
ზიმბაბვე	ジンバブエ
პეკინი	北京市
ვიკიპედია:სიების სარჩევი	一覧の一覧
სამხრეთი სუდანი	南スーダン
ვლადივოსტოკი	ウラジオストク
ტუვა	トゥヴァ共和国
ბენინი	ベナン
ბოტსვანა	ボツワナ
ვიკისიახლეები	ウィキニュース
ბურკინა-ფასო	ブルキナファソ
ბურუნდი	ブルンジ
კომორის კუნძულების კავშირი	コモロ
კონგოს რესპუბლიკა	コンゴ共和国
ობი	オビ川
კონგოს დემოკრატიული რესპუბლიკა	コンゴ民主共和国
სან-ანტონიო	サンアントニオ
ჯიბუტი	ジブチ
პოლონიუმი	ポロニウム
ბავარია	バイエルン州
ეკვატორული გვინეა	赤道ギニア
ბადენ-ვიურტემბერგი	バーデン＝ヴュルテンベルク州
ერიტრეა	エリトリア
ნიუ-დელი	ニューデリー
იოანე პავლე II	ヨハネ・パウロ2世 (ローマ教皇)
თედორე დოსტოევსკი	フョードル・ドストエフスキー
ამერსფორტი	アメルスフォールト
კამჩატკის ნახევარკუნძული	カムチャツカ半島
თბილისი	トビリシ
ანდრია სახაროვი	アンドレイ・サハロフ
ასტატი	アスタチン
გაბონი	ガボン
მაჰათმა განდი	マハトマ・ガンディー
ჩუკოტკის ნახევარკუნძული	チュクチ半島
სოლიდარობა (პოლონური პროფკავშირი)	独立自主管理労働組合「連帯」
კომიქსი	漫画
გამბია	ガンビア
გვინეა	ギニア
გვინეა-ბისაუ	ギニアビサウ
კოტ-დ’ივუარი	コートジボワール
კამერუნი	カメルーン
მარიბორი	マリボル
კაბო-ვერდე	カーボベルデ
ცელიე	ツェリェ
ლესოთო	レソト
ლიბერია	リベリア
კოპერი	コペル
ლიბია	リビア
აახენი	アーヘン
ნოვა-გორიცა	ノヴァ・ゴリツァ
მადაგასკარი	マダガスカル
მალავი	マラウイ
კრანი	クラーニ
შტუტგარტი	シュトゥットガルト
ტრიგლავი	トリグラウ山
მავრიტანია	モーリタニア
პოლონელები	ポーランド人
მავრიკი	モーリシャス
მაროკო	モロッコ
მოზამბიკი	モザンビーク
ნამიბია	ナミビア
ნიგერი	ニジェール
ნიგერია	ナイジェリア
ბილი (ქალაქი)	ビール (スイス)
ჩარლზ დარვინი	チャールズ・ダーウィン
უგანდა	ウガンダ
რუანდა	ルワンダ
ცირკონიუმი	ジルコニウム
სან-ტომე და პრინსიპი	サントメ・プリンシペ
კარლსრუე	カールスルーエ
სენეგალი	セネガル
სეიშელის კუნძულები	セーシェル
კარლ ლინე	カール・フォン・リンネ
სიერა-ლეონე	シエラレオネ
სომალი	ソマリア
ნიობიუმი	ニオブ
ჯავაჰარლალ ნერუ	ジャワハルラール・ネルー
იულიუს კეისარი	ガイウス・ユリウス・カエサル
სუდანი	スーダン
სვაზილენდი	スワジランド
ცისარტყელა	虹
მოლიბდენი	モリブデン
ტექნეციუმი	テクネチウム
ჰამბურგი	ハンブルク
მეტაბოლიზმი	代謝
ნარენდრა მოდი	ナレンドラ・モディ
იმუნური სისტემა	免疫系
გუჯარათი	グジャラート州
ონტარიოს ტბა	オンタリオ湖
ევოლუცია	進化
გაერთიანებული ერების ორგანიზაცია	国際連合
ზემო ტბა	スペリオル湖
დანტე ალიგიერი	ダンテ・アリギエーリ
გეოლოგია	地質学
აჰმადაბადი	アフマダーバード
გეოგრაფია	地理学
გული	心臓
თავის ტვინი	脳
კანი	皮膚
ფერი	色
ვარსკვლავური გზა: ორიგინალური სერიალი	宇宙大作戦
სალერნო	サレルノ
არსებითი სახელი	名詞
პრაღა	プラハ
რუთენიუმი	ルテニウム
როდიუმი	ロジウム
ლურჯი	青
პალადიუმი	パラジウム
ვერცხლი	銀
კადმიუმი	カドミウム
ვარსკვლავური გზა	スタートレック
ლიმბურგის პროვინცია (ნიდერლანდი)	リンブルフ州 (オランダ)
ინდიუმი	インジウム
ლიმბურგის პროვინცია	リンブルフ州 (ベルギー)
კალა	スズ
ურანი (ელემენტი)	ウラン
სტიბიუმი	アンチモン
ტელური	テルル
ჩრდილოეთი ბრაბანტი	北ブラバント州
პლუტონიუმი	プルトニウム
იოდი	ヨウ素
ნეპტუნიუმი	ネプツニウム
ქსენონი	キセノン
ანიმე	アニメ
ცეზიუმი	セシウム
პროტაქტინიუმი	プロトアクチニウム
პლანეტების გაერთიანებული ფედერაცია	惑星連邦
მუხტი	電荷
ბარიუმი	バリウム
დასავლეთი ფლანდრია	ウェスト＝フランデレン州
აღმოსავლეთი ფლანდრია	オースト＝フランデレン州
თორიუმი	トリウム
ანტვერპენის პროვინცია	アントウェルペン州
ფლამანდიის ბრაბანტი	フラームス＝ブラバント州
ჰაფნიუმი	ハフニウム
აქტინიუმი	アクチニウム
ვალონიის ბრაბანტი	ブラバン・ワロン州
ტანტალი	タンタル
ბილ კლინტონი	ビル・クリントン
ნამიურის პროვინცია	ナミュール州
ლუქსემბურგის პროვინცია (ბელგია)	リュクサンブール州
ლიეჟის პროვინცია	リエージュ州
რადიუმი	ラジウム
ენოს პროვინცია	エノー州
რადონი	ラドン
ლოთარინგია	ロレーヌ地域圏
ელზასი	アルザス地域圏
ჟან ფილიპ რამო	ジャン＝フィリップ・ラモー
ინდირა განდი	インディラ・ガンディー
მერკური (ღმერთი)	メルクリウス
ჰექტორ ბერლიოზი	エクトル・ベルリオーズ
ოვერნი	オーヴェルニュ地域圏
მუმბაი	ムンバイ
ანდჰრა-პრადეში	アーンドラ・プラデーシュ州
არუნაჩალ-პრადეში	アルナーチャル・プラデーシュ州
ასამის შტატი	アッサム州
