ཨ་ཧྥེ་རི་ཁ།	アフリカ
ཨིན་རྡུ་ནི་ཤིས་ཡ།	インドネシア
ལྷོ་ཨ་ཧྥེ་རི་ཁ།	南アフリカ共和国
ཨཱལ་ཇི་རི་ཡ།	アルジェリア
ཨུ་ཟ་བྷེ་ཁི་སི་ཐན།	ウズベキスタン
ཕྰོ་ཟོ་ནན།	ポズナン
ཐ་ཧྲི་ཀན།	タシュケント
ཝར་སོ།	ワルシャワ
ཆུ།	水
ཆགས།	性 (生物学)
ཆགས་སློང་རྩོམ་རིག	ポルノグラフィ
ཁ་ལའོ་ཊ་མོ་ནེ།	クロード・モネ
ཅི་ལི།	チリ
ཡེ་ཤུ།	イエス・キリスト
ཨེལ་ཝེ་སི་ཕིར་ཟི་ལཱེ།	エルヴィス・プレスリー
གཱ་ལི་ལེའོ་གཱ་ལི་ལེའི།	ガリレオ・ガリレイ
ལྷག་པ།	水星
ལོ་རྒྱུས།	歴史
པ་སངས།	金星
སྐད་རིགས།	言語
བརྩེ་དུང་།	愛
ཕུར་བུ།	木星
སྐར་མ་གནམ་རྒྱལ།	天王星
ནི་ཀོ་ལ་ས་ར་ཀོ་ཟི།	ニコラ・サルコジ
སྐར་མ་མཚོ་རྒྱལ།	海王星
སེང་ག་ཕོར།	シンガポール
ཚན་རིག	科学
མིར་ཡམ །	イエスの母マリア
ལི་ཆེ་ཏན་སཏིན།	リヒテンシュタイン
ལུས་རྩལ།	スポーツ
ཨྰ་སྦྲོལ་ཧྥུ་ཧི་ཐུ་ལུར།	アドルフ・ヒトラー
འཛམ་གླིང་འཁྲུག་ཆེན་དང་པོ།	第一次世界大戦
འཛམ་གླིང་འཁྲུག་ཆེན་གཉིས་པ་	第二次世界大戦
ཧྥུ་ཐ་ཅ་ཨ་རག	ウォッカ
སི་ཀོཔ་ཇི།	スコピエ
རྩིས་རིག	数学
ལ་ཏིན་སྐད།	ラテン語
བྷཧ་རཡིན།	バーレーン
ཨར་མེ་ནི་ཡ།	アルメニア
སེར་བྷི་ཡ།	セルビア
ཟླ་བ།	月
ཨོ་སེ་ཐེ་ལི་ཡ།	オーストラリア
དངོས་ཁམས་རིག་པ་	物理学
ཨར་ཇེན་ཊི་ན།	アルゼンチン
པེ་རུ།	ペルー
སྐྱེ་དངོས་རིག་པ།	生物学
བྱང་ཀོ་རི་ཡ།	朝鮮民主主義人民共和国
ཁམ་པོ་ཛ།	カンボジア
ཁུ་རན་གསུང་རབ།	クルアーン
དབྱི་སི་ལམ་ཆོས་ལུགས།	イスラム教
ལི་པོ་ཡ་ན།	リュブリャナ
རྩི་ཤིང་རིག་པ།	植物学
ལིས་ཆི་ཝེ་ལིས་ས།	レフ・ヴァウェンサ
འཁོར་ལོ།	車輪
༄༅།། རིག་གནས་ཤེས་བྱ་ཀུན་ཁྱབ།	百科全書
ཏེའུ་ཏེ་རོ།	ドゥニ・ディドロ
ཞི་བདེ།	平和
ལི་ཡོང་།	リヨン
བུད་མེད།	女性
སོ་ཧྥི་ཡ།	ソフィア (ブルガリア)
ཐང་རྗི་ཁོཏ།	ドン・キホーテ
སྙན་ངག	詩
མི་ལཱན།	ミラノ
ཁྱིམ་དྲན་སེམས་ནད།	記憶
ཊུ་རིན།	トリノ
ལེ་མོན།	レモン
ངང་ལག	バナナ
མེ་ཏོག	花
ཇོ་མོ་གླང་མ།	エベレスト
གཤག་བཅོས་རིག་པ།	解剖学
གྲོང་ཁྱེར།	都市
ཝེ་སུའུ་ཝེའོ་མེ་རི།	ヴェスヴィオ
ཉི་མ།	太陽
རྒྱ་མཚོ་ཆེན་པོའི་གླིང་ཆེན།	オセアニア
ཉི་མའི་ཁྱིམ་རྒྱུད།	太陽系
ཨན་ཇེ་ལ་མེར་ཁེལ།	アンゲラ・メルケル
ཉིན་མོ།	日
ཤར་ཏིམོར།	東ティモール
དགོང་མོ།	夜
ལོ་	年
རེན་གཙང་པོ།	ライン川
ཨོ་སི་ལོ།	オスロ
བྷོ་ཨིན།	ボン
ནག་ཁུང་།	ブラックホール
ལི་སི་བཱོན།	リスボン
ལུའོ་ནེའུ་གཙང་པོ།	ローヌ川
ཧྥོར་ཅཱ་གཙང་པོ།	ヴォルガ川
གསོ་རླུང་།	酸素
གཡོ་སྐར།	惑星
རོལ་དབྱངས།	音楽
ཝེ་ནེ་ཟི་ཡ།	ヴェネツィア
པོ་གཙང་པོ།	ポー川
མོ་སི་ཁོ།	モスクワ
ཨི་ཏ་ལིའི་སྐད།	イタリア語
སན་པི་ཏི་པོག	サンクトペテルブルク
ཆཱ་ཌ།	チャド
བྱང་ཕྱོགས།	北
ནིའུ་ཛི་ལེན་ཌི།	ニュージーランド
རྒྱ་གར།	インド
ཏུ་ཝ་ལུ།	ツバル
ཚིག་ལྷུག	散文
ཊོང་ག	トンガ
ནུབ་ཕྱོགས།	西
ས་མོའ།	サモア
ཤར་ཕྱོགས།	東
སོ་ལོ་མོན་གླིང་ཕྲན་ཚོ་ཁག	ソロモン諸島
ཝ་ནུའ་ཏུ།	バヌアツ
མོའོ་ལིས་ཨེར།	モリエール
པ་པུ་འ་ནིའུ་གི་ནེ།	パプアニューギニア
ཞེ་ཁུ་སི་པེར།	ウィリアム・シェイクスピア
པ་ལའུ།	パラオ
ནའུ་རུ།	ナウル
མའི་ཀོ་རོ་ནེ་ཤི་ཡ། (རྒྱལ་ཁབ།)	ミクロネシア連邦
མར་ཤལ་གླིང་ཕྲན་རྒྱལ་ཁབ།	マーシャル諸島
ཀི་རི་བ་ཏི།	キリバス
སོག་ཡུལ།	モンゴル国
ཧྥི་ཇི།	フィジー
ཝེ་ནེ་ཟུའེ་ལ།	ベネズエラ
རྒྱལ་སྤྱིའི་མིག་མངས།	チェス
རྟ།	ウマ
ཨེམ་སི་ཊར་ཌམ།	アムステルダム
མཚོན་ཆ།	武器
སུ་རི་ནེམ།	スリナム
པ་ར་གུ་ཡེ།	パラグアイ
གུ་ཡ་ན།	ガイアナ
སྒྱུ་རྩལ།	芸術
ཨེ་ཁོའོ་ཌོར།	エクアドル
ཁོ་ལོམ་བི་ཡ།	コロンビア
ནང་བསྟན།	仏教
བྷོ་ལི་ཝི་ཡ།	ボリビア
ཏྲི་ནི་ཌད་དང་ཏྲོ་བེ་གོ	トリニダード・トバゴ
སེན་ཊི་བིན་སེན་ཊི་དང་གི་རི་ན་ཌིན་སི།	セントビンセント・グレナディーン
ནེའུ་ཧམ་ཕུ་ཤར།	ニューハンプシャー州
སེན་ཊ་ལུ་ཤི་ཡ།	セントルシア
ལེ་ཨོ་ན་ཏོ་ཏ་ཧྥིན་ཆི།	レオナルド・ダ・ヴィンチ
སེན་ཊི་ཀི་ཊི་སི་དང་ནེ་བི་སི།	セントクリストファー・ネイビス
ཇ་མའི་ཀ	ジャマイカ
གི་རི་ན་ཌ། (རྒྱལ་ཁབ།)	グレナダ
གུ་ཝེ་ཐི་མ་ལ།	グアテマラ
བ་ཧ་མཱ་སི།	バハマ
བྱ་ཏེ་	ニワトリ
ཨེན་ཊི་གུའ་དང་བར་བུ་ཌ།	アンティグア・バーブーダ
ཧ་ཝ་ཡི།	ハワイ州
ཧོང་དུ་ར་སི།	ホンジュラス
ཌོ་མི་ནི་ཀ	ドミニカ国
ཌོ་མི་ནི་ཀན་སྤྱི་མཐུན་རྒྱལ་ཁབ།	ドミニカ共和国
ཕག་པ།	ブタ
ཧའི་ཏི།	ハイチ
ཨིལ་སལ་ཝ་ཌོར།	エルサルバドル
ཡི་ལང་།	イラン
ཡི་ལའ་ཁོ།	イラク
ཁོ་ས་ཏ་རི་ཁ	コスタリカ
ཨི་སི་ར་ཨེལ།	イスラエル
པ་ན་མ།	パナマ
ཡེ་མེན།	イエメン
ཕོ་ལན་སྐད།	ポーランド語
རྗོར་ཌན།	ヨルダン
ནི་ཀ་ར་གུ་ཝ།	ニカラグア
ཧྥོ་ལོ་རི་ཌ།	フロリダ州
ཀེ་རེ་གེཛུ་སུཏེན།	キルギス
ཨྰ་རི་ཟོ་ནྰ།	アリゾナ州
ཁུ་ཝི་ཐི།	クウェート
ལའོ་སུ།	ラオス
ལེ་པ་ནོན།	レバノン
མལ་དི་ཝེསུ།	モルディブ
ཨ་མེ་རི་ཁ་གླིང་ཆེན།	アメリカ州
ཡུ་ཊ།	ユタ州
གླང་གོག་	ウシ
མ་ལ་ཤི་ཡ།	マレーシア
བྷར་མ།	ミャンマー
བལ་ཡུལ།	ネパール
ཨོ་མན།	オマーン
པ་ཀི་སི་ཐན	パキスタン
ཁ་ཏར།	カタール
ཏན་ནེ་སི་སྤོ་ལོ།	テニス
སའུ་དི་ཨ་ར་པི་ཡ།	サウジアラビア
སེང་ག་གླིང་།	スリランカ
སི་རི་ཡ།	シリア
ཕི་ལ་ཐོན།	プラトン
ཐ་ཇི་ཁེ་སི་ཏན།	タジキスタン
ཐའེ་ཝན།	中華民国
ཐའི་ལེན།	タイ王国
མེ་འཁོར།	列車
ཏུརཀ་མེ་ནི་སུཏན།	トルクメニスタン
ཡི་ནེ་ཁྲེ་ཀྲི་ཨ་རབ་ཨེ་མེ་རེ་ཁྲི།	アラブ首長国連邦
ཝི་ཏི་ནམ།	ベトナム
ཤར་ལི་ཤ་པི་ལིན།	チャールズ・チャップリン
ལྷོ་ཀོ་རི་ཡ།	大韓民国
སིམ་བུ་སན།	ザ・シンプソンズ
ཨ་ཧྥུའུ་རྒན་སི་ཐན།	アフガニスタン
བྷང་ལ་རྡེ་ཤུ།	バングラデシュ
མ་ལི།	マリ共和国
ཨང་གོ་ལ།	アンゴラ
འབྲུག་ཡུལ།	ブータン
བྷི་རུ་ནི།	ブルネイ
ཏན་ཛ་ནི་ཡ།	タンザニア
ཧྥི་ལི་པིན།	フィリピン
དབུས་ཨ་ཧྥེ་རི་ཁན་རི་པཔ་ལིཀ།	中央アフリカ共和国
སེར་པོ།	黄色
ཊོ་གོ	トーゴ
ཏུ་ནི་ཤི་ཡ།	チュニジア
ཛམ་བི་ཡ།	ザンビア
ཛིམ་བབ་ཝི།	ジンバブエ
པེ་ཅིང་གྲོང་ཁྱེར།	北京市
བེ་ནིན།	ベナン
བྷོ་ཙི་ཝ་ན།	ボツワナ
བུར་ཀི་ན་ཕ་སོ།	ブルキナファソ
བུ་རུན་ཌི།	ブルンジ
ཁོ་མོ་རོ་སུ།	コモロ
ཀོང་གོ་སྤྱི་མཐུན་རྒྱལ་ཁབ།	コンゴ共和国
ཀོང་གོ་མི་དམངས་དམངས་གཙོ།	コンゴ民主共和国
ཇི་བའོ་ཊི།	ジブチ
ཨི་ཁུའ་ཊོ་རལ་གི་ནེ།	赤道ギニア
ཨི་རི་ཏྲའ།	エリトリア
ནེའུ་དིལ་ལི།	ニューデリー
ཁྲེ་བྷི་ལི་སི།	トビリシ
གེ་བོན།	ガボン
གེམ་བྷི་ཡ།	ガンビア
གི་ནེ།	ギニア
གི་ནེ་-བི་སའོ།	ギニアビサウ
ཀོ་ཊི་ཌི་ཨའི་བོ་རི།	コートジボワール
ཁམ་མུ་རོན།	カメルーン
ཁེབ་ཝར་ཌི།	カーボベルデ
ལི་སོ་ཐོ།	レソト
ལི་བེ་རི་ཡ།	リベリア
ལི་པི་ཡ།	リビア
མ་ད་གཱ་སི་ཀར།	マダガスカル
མ་ལ་ཝི།	マラウイ
མའུ་རི་ཏ་ནི་ཡ།	モーリタニア
མའུ་རི་ཊིའུ་སུ།	モーリシャス
མོ་རོ་ཁོ།	モロッコ
མོ་ཛམ་བིཀ།	モザンビーク
ན་མི་བྷི་ཡ།	ナミビア
ནི་ཇར།	ニジェール
ནི་ཇི་རི་ཡ།	ナイジェリア
ཨུ་གན་ད།	ウガンダ
རུ་ཝན་ཌ།	ルワンダ
སའོ་ཊོ་མེ་དང་པི་རིན་སི་པ།	サントメ・プリンシペ
སི་ནི་གཱལ།	セネガル
སེ་ཞེལ།	セーシェル
སི་ར་ལེ་ཨོན།	シエラレオネ
སོ་མ་ལི།	ソマリア
ཡིའུ་ལི་ཝུའུ་སི་ཁའེ་ས།	ガイウス・ユリウス・カエサル
སུའུ་ཏན།	スーダン
སུ་ཝ་ཛི་ལནཌ།	スワジランド
འཇའ།	虹
གྷུ་ཇ་རཱཏ།	グジャラート州
མཉམ་འབྲེལ་རྒྱལ་ཚོགས།	国際連合
ཏན་ཐེ།	ダンテ・アリギエーリ
ས་ཁམས་རིག་པ།	地理学
པུ་ལ་ཁེ།	プラハ
སྔོན་པོ།	青
འབོམ་སྦེ	ムンバイ
ཨཱན་དྷ་ར་མངའ་སྡེ།	アーンドラ・プラデーシュ州
ཨ་རུ་ནཱ་ཅལ་མངའ་སྡེ།	アルナーチャル・プラデーシュ州
ཨཱསཱམ།	アッサム州
སྦི་ཧཱར།	ビハール州
མི་ཅི་གྷན།	ミシガン州
ཆར་ཊི་སི་གྷར།	チャッティースガル州
གྷོའ།	ゴア州
ཧ་རི་ཡཱ་ཎཱ།	ハリヤーナー州
ཧི་མ་ཅལ་མངའ་སྡེ།	ヒマーチャル・プラデーシュ州
ཇ་མུ་དང་ཀ་ཤི་མིར།	ジャンムー・カシミール州
རྗར་ཁན་ཌི།	ジャールカンド州
ཁར་ན་ཀྲ་ཁཱ།	カルナータカ州
ཀེ་ར་ལཱ།	ケーララ州
མཱ་ནི་པུར།	マニプル州
མོན་ཏཱ་ན།	モンタナ州
ཝ་ཡོ་མིང་།	ワイオミング州
ཇེ་རུ་ས་ལེམ།	エルサレム
ཝ་ཤིན་ཏྲོན། (རྒྱལ་ཁབ།)	ワシントン州
ནེ་བ་ད།	ネバダ州
ཏོན་གཙང་པོ།	ドン川
ཝེ་ནེ་ཏོ།	ヴェネト州
ཁོ་སོ་ཝོ།	コソボ
ཁོ་ལོ་ར་ཌོ།	コロラド州
ཁོ་ལོ་ར་ཌོ་གཙང་པོ།	コロラド川
Category:རིགས།	Category:主要カテゴリ
ཕི་ལེ་ཟི་ཕ་སི་ཁལ།	ブレーズ・パスカル
མཆོང་སྒྲིག་མིག་མངས།	チェッカー
དགུན་ཁ།	冬
དཔྱིད།	春
དབྱར་ཁ།	夏
སྟོན་ཁ།	秋
སེ་པན་སྐད།	スペイン語
མཱོན་ཊི་ཝི་ཌོ།	モンテビデオ
ཀ་ལི་ཀུ་ཏ	コルカタ
དྷ་ཁ།	ダッカ
ཨི་སི་ལམ་བོ།	イスラマバード
ཤིང་ཏོག	果実
སྤྲེའུ།	サル
དངུལ་ལོར།	貨幣
ཝིར་ཇི་ནི་ཡ།	バージニア州
མ་རིས་ལེན་ཌ།	メリーランド州
དྷེའི་ལ་ཝར།	デラウェア州
ལེ་ཉིན།	ウラジーミル・レーニン
ཨོ་ཧེའོ།	オハイオ州
བིར་སྒྲེལ།	ウェルギリウス
ཕེན་སུལ་ཝེ་ནའི་ཡ།	ペンシルベニア州
པོ་ཅ་ཆུའུ།	ジョヴァンニ・ボッカッチョ
ཨའོ་ཀུའུ་སི་ཏུའུ།	アウグストゥス
ནེའུ་ཇེར་སས།	ニュージャージー州
ཨིན་ཌི་ཡཱ་ན།	インディアナ州
འཇོར་ཇི་ཡ། (ཨ་མེ་རི་ཁ།)	ジョージア州
མར་ཁུའུ་སེ་ཨའུ་རེ་ལིའུ་སེ།	マルクス・アウレリウス・アントニヌス
ཛག་རེབ།	ザグレブ
ཋེག་ཟ་སི།	テキサス州
ཏཱ་མིལ་ན་ཌུ།	タミル・ナードゥ州
ཁ་རོ་ལི་ན་ལྷོ་ཕྱོགས།	サウスカロライナ州
སི་ཅི་ལི་ཡ།	シチリア
མ་ནི་ལ།	マニラ
ལུའུ་ཝར་གཙང་པོ།	ロワール川
སེ་ན་གཙང་པོ།	セーヌ川
པུ་ཨེ་ནོ་སི་ཨས་རི་སི།	ブエノスアイレス
མེག་སི་ཀོ་གྲོང་།	メキシコシティ
ཐོ་ཁེ་ཡོ།	東京都
བྷར་སེ་ལོ་ནཱ།	バルセロナ
ཐང་འབྲས།	パイナップル
མི་སི་སི་ཕི།	ミシシッピ州
མི་སི་སི་ཕི་གཙང་པོ།	ミシシッピ川
འབྲས་ལྗོངས།	シッキム州
ཐེན་ནེ་སི།	テネシー州
ཨ་པོའུ་དྷ་པེ།	アブダビ
ཨ་སི་ཐ་ན།	アスタナ
མེག་སི་ཀོ་གསར་མ།	ニューメキシコ州
ཨ་ཐེན།	アテネ
པ་ག་ཏ	バグダード
ཁ་ར་ཁ་སི	カラカス
ཝིས་སི་ཁོན་སིན།	ウィスコンシン州
ཡོ་བ།	アイオワ州
གུ་ཝེ་ཐི་མ་ལ་གྲོང་ཁྱེར།	グアテマラシティ
ཁན་སཱ་སི།	カンザス州
ཧ་ཝན	ハバナ
རྒྱ་གར་སྐད།	ヒンディー語
ཤོག་དྲིལ་དུ་བ།	紙巻きたばこ
ཚོགས་བདག	ガネーシャ
ལུའི་ཟི་ཨཱན་ནཱ།	ルイジアナ州
ཨར་ཁན་སཱ་སི།	アーカンソー州
ཕའི་ཆིའུ་སྤོ་ལོ།	バレーボール
ཝི་ཨེ་ན།	ウィーン
ཁོ་ཕེན་ཧ་ཀེན།	コペンハーゲン
སི་ཏོག་ཧོ་ལིམ།	ストックホルム
ཧེལ་སིན་ཀི།	ヘルシンキ
དུབ་ལིན།	ダブリン
རེཀ་ཇ་བིཀ།	レイキャヴィーク
ཏཱལ་་ལིན།	タリン
རི་ག	リガ
བ་ར་ཏིསི་ལ་བ།	ブラチスラヴァ
བུ་ད་ཕེ་སིད།	ブダペスト
ལུ་སེམ་བའུརག (གྲོང་རྡལ།)	ルクセンブルク (都市)
བ་དུ་ཛི།	ファドゥーツ
གསུང་རབ།	聖書
སན་མ་རི་ནོ། (གྲོང་རྡལ།)	サンマリノ市
ཕོམ་ཕེན།	プノンペン
ཧོ་ཀྲི་མིན་གྲོང་ཁྱེར།	ホーチミン市
ཧེ་ནོ།	ハノイ
སྟོན་པ་ཡེ་ཤུའི་ཆོས་ཚོགས།	真イエス教会
དབྱིན་ཇིའི་སྐད།	英語
པན་ཀོག	バンコク
ཨན་ཌོར་ར་གྲོང་ཁྱེར།	アンドラ・ラ・ベリャ
ཁལ་ལུང་ཕུ།	クアラルンプール
ཐའེ་པེ	台北市
ཕྱི་འབྲིལ།	外交
ཀིབ།	キエフ
ཨོ་ཏ་ཝ།	オタワ
ཡེ་རེ་ཝན།	エレバン
ཏ་རེ་སི་ས་ལམ།	ダルエスサラーム
ཁར་ཏུམ།	ハルツーム
༢༠༠༩	2009年
ཝེ་རོ་ན།	ヴェローナ
ཧྥུ་ལོ་རོན་ཟིའུ་ཡ།	フィレンツェ
ཨེ་ཏི་མོན་ཐོན།	エドモントン
སྦྲུལ།	ヘビ
ཁ་ཐོག་གི་ཆགས་སྦྱོར།	オーラルセックス
ཁོའོ་ལུ་ཧྲི།	コリューシュ
ལུའོ་མུའུ་ལུའོ་སི་དང་རུའེ་མོ་སི།	ロームルスとレムス
ཞི་པི་ཨ་ཨ་ཧྥེ་རི་ཁ་ནུའོ་སི།	スキピオ・アフリカヌス
མིན་སིཀ།	ミンスク
རྫས་འགྱུར་རིག་པ།	化学
༡༩༨༩	1989年
༡༩༨༡	1981年
མོ་ག་དི་ཤུ།	モガディシュ
ན་སའོ། (བ་ཧ་མཱ་སི།)	ナッソー
ས་ནཱ།	サナア
ཐ་ར་ཝ།	タラワ
རྐང་རྩེད་སྤོ་ལོ།	サッカー
ཡཱ་ཁོ་དང་ཝེ་ལེམ་.ཀོ་ལིམ།	グリム兄弟
མ་ད་རིད།	マドリード
ཁོལ་ཁོལ་ཁུ་ནག	コカ・コーラ
མའེ་ཁོའོ་ཅས་ཁ་ཤུན།	マイケル・ジャクソン
ཚད་རིམས།	インフルエンザ
པོ་གོ་ཏ	ボゴタ
པུ་རུ་ཟི་ལི་ཡ།	ブラジリア
ལི་མ།	リマ
སཱན་ཏི་ཡ་གོ (ཅི་ལི།)	サンティアゴ (チリ)
ཁེ་ཐོ།	キト
སུ་ཁུ་རེ།	スクレ (ボリビア)
བ་ཕྱུགས་	乳牛
ཨ་སུན་སི་འན།	アスンシオン
ར་མ།	ヤギ
ཝེ་ཧི་ས་ཡེ་ཕོ་བྲང་།	ヴェルサイユ宮殿
རང་དབང་།	自由
པེ་ར་མེ་རི་བོ།	パラマリボ
ཀ་ཏ་མན་ཏུ།	カトマンズ
པེར་མོ་ཕན།	ベルモパン
སན་ཇོ་སེ། (ཁོ་ས་ཏ་རི་ཁ།)	サンホセ (コスタリカ)
སན་སལ་ཝ་ཌོར།	サンサルバドル
ཁན་པེ་ར།	キャンベラ
སིད་ནེ།	シドニー
ལྗང་ཁུ།	緑
མེར་བུན	メルボルン
དམར་པོ།	赤
ཨ་ཝེ་རོང་།	アヴェロン県
ཐེ་གུ་སི་གེ་པ།	テグシガルパ
མ་ན་གུ་འ།	マナグア
པ་ན་མ། (གྲོང་རྡལ།)	パナマ市
ཁོང་ཀོ་གཙང་པོ།	コンゴ川
ར་བ་ཐེ།	ラバト
ཨཱལ་ཇི་ཡར་སི།	アルジェ
ཊུ་ནིསི།	チュニス
ཐི་རི་ཕོ་ལི	トリポリ
ཇི་བའོ་ཊི། (གྲོང་རྡལ།)	ジブチ市
ཏེ་ཧི་རན།	テヘラン
ཨ་ཌི་སི་ཨ་བ་བ།	アディスアベバ
ཊ་ཁར་ཏ།	ジャカルタ
ཨན་ཁ་ར།	アンカラ
ཨཱ་སི་མི་ར།	アスマラ
ཇ་མི་ན།	ンジャメナ
ནི་ཡ་མེ།	ニアメ
ནའུ་ཀ་ཅོ་ཊི།	ヌアクショット
རིས་ཡག	リヤド
བ་མ་ཀོ།	バマコ
བེལ་གེ་རེ་ཌི།	ベオグラード
ཌ་ཀར།	ダカール
བཱན་ཇཱུ་ལ།	バンジュール
ཀོ་ནཀ་རི།	コナクリ
བི་སའོ།	ビサウ
Category:སྒྲོམ་གཞི།	Category:ウィキペディアのテンプレート
མོང་རོ་ཝི་ཡ།	モンロビア
ཕུ་ར་ཡ།	プライア
ཇ་ཝ།	ジャワ島
ཨ་ཁ་ར།	アクラ
དྷ་མ་སི་ཁོ་སི།	ダマスカス
ཡམ་སོ་ཁེ་རོ།	ヤムスクロ
