អាហ្វ្រិក	アフリカ
អាហ្វ្រិកខាងត្បូង	南アフリカ共和国
ប្រវត្តិសង្ខេប ក្រុមតន្រ្តី រ៉ុក linkin park	リンキン・パーク
ប្រទេសអាល់ហ្សេរី	アルジェリア
ស្រា	ワイン
ទឹក	水
ទូរទស្សន៏	テレビ
ភាសាអាយឡែន	アイスランド語
ឈីលី	チリ
ព្រះយេស៊ូវ គ្រីស្ទ	イエス・キリスト
ភពពុធ	水星
ប្រវត្តិសាស្ត្រ	歴史
ភពសុក្រ	金星
ភាសា	言語
ភពព្រហស្បតិ៍	木星
ភពអ៊ុយរ៉ានុស	天王星
វិគីភីឌាភាសាអង់គ្លេស	英語版ウィキペディア
ភពណិបទូន	海王星
សិង្ហបុរី	シンガポール
ភ្លុយតុង	冥王星
ហ្វេសប៊ុក	Facebook
សង្គ្រាមលោកលើកទីមួយ	第一次世界大戦
សង្គ្រាមលោកលើកទី២	第二次世界大戦
ទំព័រគំរូ:Corruption	汚職
Ubuntu	Ubuntu
លីនុច	Linux
គណិតវិទ្យា	数学
បារ៉ែន	バーレーン
ព្រះចន្ទ	月
អូស្ត្រាលី	オーストラリア
រូបវិទ្យា	物理学
ជីវវិទ្យា	生物学
កូរ៉េខាងជើង	朝鮮民主主義人民共和国
ព្រះរាជាណាចក្រកម្ពុជា	カンボジア
ឌីណូស័រ	恐竜
សាសនាឥស្លាម	イスラム教
សេរីភាព	平和
សហភាពអឺរ៉ុប	欧州連合
ចេក	バナナ
ណាប៉ូលេអុងបូណាប៉ារត៍	ナポレオン・ボナパルト
ព្រះអាទិត្យ	太陽
ឆ្នាំពន្លឺ	光年
អូសេអានី	オセアニア
ប្រព័ន្ធព្រះអាទិត្យ	太陽系
អុីដ្រូសែន	水素
ទីម័រខាងកើត	東ティモール
ម៉ុង ប្លុង	モンブラン
សឺរេស	ケレス (準惑星)
អៀរីស	エリス (準惑星)
ភព	惑星
តន្ត្រី	音楽
ភាសាអ៊ីតាលី	イタリア語
អាលុយមីញ៉ូម	アルミニウム
នូវែលសេឡង់	ニュージーランド
ឥណ្ឌា	インド
អង់ដ្រេ ម៉ារី អំពែរ	アンドレ＝マリ・アンペール
វីលីម ហ្សេកស្ពែរ	ウィリアム・シェイクスピア
ប៉ាឡាវ	パラオ
ម៉ុងហ្គោលី	モンゴル国
ជេនហ្គិស ខាន់	チンギス・カン
កូឡុំប៊ី	コロンビア
ព្រះពុទ្ធសាសនា	仏教
ហ្គាតេម៉ាឡា	グアテマラ
មហាសមុទ្រអាកទិក	北極海
អ៊ីរ៉ង់	イラン
ភាសាប៉ូឡូញ	ポーランド語
ហ្សកដង់	ヨルダン
កៀហ៊្សីស៊ីស្ថាន	キルギス
គុយវ៉ែត	クウェート
ឡាវ	ラオス
លីបង់	レバノン
ទ្វីបអាមេរិក	アメリカ州
ម៉ាឡេស៊ី	マレーシア
មីយ៉ាន់ម៉ា	ミャンマー
នេប៉ាល់	ネパール
ប៉ាគីស្ថាន	パキスタン
MySQL	MySQL
អារ៉ាប៊ីសាអូឌីត	サウジアラビア
ស្រីលង្កា	スリランカ
ផ្លាតូ	プラトン
តាជីគីស្ថាន	タジキスタン
YouTube	YouTube
អារីស្តូត	アリストテレス
ថៃ	タイ王国
វិទ្យុ	ラジオ
តួរមិនីស្ថាន	トルクメニスタン
វៀតណាម	ベトナム
កូរ៉េខាងត្បូង	大韓民国
សាធារណរដ្ឋឥស្លាមអាហ្វហ្កានីស្ថាន	アフガニスタン
ព្រែកជីកស៊ុយអែស	スエズ運河
បង់ក្លាដែស្ស	バングラデシュ
សូក្រាត	ソクラテス
ធ្វិតថឺរ	Twitter
ប៊្រុយណេ	ブルネイ
ហ្វីលីពីន	フィリピン
អ៊ីសាក់ ញូតុន	アイザック・ニュートン
OpenStreetMap	オープンストリートマップ
អាល់បឺត អែងស្តែង	アルベルト・アインシュタイン
ប្រទេសហ្សំប៊ី	ザンビア
ប៉េកាំង	北京市
មហាត្មះគន្ធី	マハトマ・ガンディー
ឆាលែស ដាវីន	チャールズ・ダーウィン
ជូលីស៍ សេសារ	ガイウス・ユリウス・カエサル
ឥន្ទធនូ	虹
អង្គការសហប្រជាជាតិ	国際連合
ភូមិវិទ្យា	地理学
ទីក្រុងប្រាក	プラハ
បន្ទុកអគ្គីសនី	電荷
ខេត្តជើងភ្នំ (ប្រទេសអ៊ីតាលី)	ピエモンテ州
មហាសមុទ្រឥណ្ឌា	インド洋
អូសាម៉ា ប៊ីន ឡាឌែន	ウサーマ・ビン・ラーディン
ភាសាអេស្ប៉ាញ	スペイン語
ភីឡាដេលផ្យា	フィラデルフィア
ញូវយ៉ក	ニューヨーク州
វ្លាឌីមៀរ អ៊ីលីច លេនីន	ウラジーミル・レーニン
អូហ្គុសទុស	アウグストゥス
លោកកៃយុសសេសារ	カリグラ
ត្រាហ្សាន	トラヤヌス
Kde	KDE
កូរ៉ាស៊ូន អាគីណូ	コラソン・アキノ
ទីក្រុងតូខ្យូ	東京都
ហ្វឺឌីណាន់ដ៏ ម៉ាហ្សេឡង់	フェルディナンド・マゼラン
ស៊ីសេរ៉ូ	マルクス・トゥッリウス・キケロ
ភ្នំពេញ	プノンペン
ទីក្រុងព្រៃនគរ	ホーチミン市
ទីក្រុងហានូយ	ハノイ
គ្រិស្តសាសនា	真イエス教会
ភាសាអង់គ្លេស	英語
គូឡាឡាំពួ	クアラルンプール
២០០១	2001年
JavaScript	JavaScript
HTML5	HTML5
ល្បឿនពន្លឺ	光速
JPEG	JPEG
អេឡិចត្រុង	電子
ចក្រភព រ៉ូម	ローマ帝国
Microsoft	マイクロソフト
គីមីវិទ្យា	化学
ស៊ីទ្រុងជ្រូក	C Sharp
បេណេឌីកទី១៦	ベネディクト16世 (ローマ教皇)
៧ កក្កដា	7月7日
បាល់ទាត់	サッカー
ទីក្រុងបូកូតា	ボゴタ
ថ្ងៃទី៣១ខែធ្នូ	12月31日
រិសថា	ベスタ (小惑星)
ស៊ីដនីយ៏	シドニー
ភ្លើង	火
ខ្យល់	地球の大気
កោះស៊ូម៉ាត្រា	スマトラ島
ចាការតា	ジャカルタ
ចំណាត់ថ្នាក់ក្រុម:Wikipedia templates	Category:ウィキペディアのテンプレート
កោះជ្វា	ジャワ島
ចំណាត់ថ្នាក់ក្រុម:ចំណាត់ថ្នាក់ក្រុមនៃទំព័រគំរូវិគីភីឌា	Category:分野別テンプレート
កាលីម៉ាន់តាន់	カリマンタン
ខេត្តបន្ទាយមានជ័យ	バンテイメンチェイ州
វិគីភីឌា:ប្រអប់ខ្សាច់	Wikipedia:サンドボックス
អាកាសយានដ្ឋាន ដុង ហ៊យ	ドンホイ空港
អាន់ ហ្វ្រែង	アンネ・フランク
ខុង ជឺ	孔子
ម៉ារីលីន ម៉ុនរ៉ូ	マリリン・モンロー
ចំណាត់ថ្នាក់ក្រុម:គណិតវិទ្យា	Category:数学
ទំព័រគំរូ:ទិន្នន័យប្រទេស អ៊ីរ៉ង់	Template:Country data Iran
ចំណាត់ថ្នាក់ក្រុម:ប្រវត្តិសាស្ត្រខ្មែរ	Category:カンボジアの歴史
ចំណាត់ថ្នាក់ក្រុម:ប្រវត្តិសាស្រ្តសិង្ហបុរី	Category:シンガポールの歴史
សមុទ្រ មេឌីទែរ៉ានេ	地中海
វីនដូអេច	Microsoft Windows 8
ទំព័រគំរូ:ប្រទេសនៅទ្វីបអាស៊ី	Template:アジア
ទំព័រគំរូ:Agree	Template:賛成
ទន្លេហ្គារ៉ូន	ガロンヌ川
ស៊ីតថល	シアトル
ជញ្ជាំង ប៊ែរឡាំង	ベルリンの壁
ស្រូវ	米
ទំព័រគំរូ:Lang-tr	Template:Lang-tr
ទំព័រគំរូ:ផតថល	Template:ウィキポータルリンク
ទំព័រគំរូ:តំបន់នៃពិភពលោក	Template:世界の地理
ប៊ីល ហ្គេត	ビル・ゲイツ
ភាសាជប៉ុន	日本語
ប្រជុំវីជ្ជា	百科事典
ឌីវីឌី	DVD
ទំព័រដើម	メインページ
Central processing unit	CPU
រេស៊ីស្ទ័រ	抵抗器
កីឡាអូឡាំពិក	近代オリンピック
សមុទ្រ កាសព្យែន	カスピ海
ឈី ហ្គីវ៉ារ៉ា	チェ・ゲバラ
ទីក្រុងកាបូល	カーブル
ហ្គ្រាប្រីអ៊ែល ហ្រ្គារ៉ាស្សៀ ម៉ារ៉ាហ្គេស	ガブリエル・ガルシア＝マルケス
ទស្សនវិជ្ជា	哲学
ចំណាត់ថ្នាក់ក្រុម:លុប	Category:即時削除対象のページ
លិទ្ធិកុម្មុយនិស្ត	共産主義
ហ៊ីលឡារី រូដហេម គ្លីនតុន	ヒラリー・クリントン
Boeing 737	ボーイング737
អាហារនៅប្រទេសបារំាង និង របៀបធ្វើ	フランス料理
មណ្ឌលម៉ាញេតូ	磁気圏
UTC+7	UTC+7
ភាសាកាតាឡាន	カタルーニャ語
បណ្ណាល័យ	図書館
នីល ហេនរីក ដេវីដ ប៊័រ	ニールス・ボーア
និវេសនវិទ្យា	生態学
ក្លឹបបាល់ទាត់បារសេឡូណា	FCバルセロナ
នយោបាយ	政治
ធនាគារពិភពលោក	世界銀行
ប្រជាធិបតេយ្យ	民主主義
អង្គការសន្ធិសញ្ញាអាត្លង់ទិកខាងជើង	北大西洋条約機構
ម៉ារី ស្កូដូស្កា គុយរី	マリ・キュリー
រង្វាន់ណូបែល	ノーベル賞
មជ្ឈិមបូព៌ា	中東
រាជវង្សហាន	漢
ប្រទេស	国家
គ្រឹស្តុបផើ កូឡំបូស (Christopher Columbus)	クリストファー・コロンブス
ព្រែកជីកប៉ាណាម៉ា	パナマ運河
មហាសមុទ្រខាងត្បូង	南極海
ត្រីផ្សោតនៅកម្ពុជា	イルカ
ក្មេង	子供
លេអុនហាដ អយល័រ	レオンハルト・オイラー
ណាប៉ូលេអុងទី៣	ナポレオン3世
ភាសារុស្ស៊ី	ロシア語
ល្វី ដ៏អស្ចារ្យ	ルイ14世 (フランス王)
សមាគមប្រជាជាតិអាស៊ីអាគ្នេយ៍	東南アジア諸国連合
ប្រវត្តិសាស្ត្របារាំង	フランスの歴史
តុលាការយុត្តិធម៌អន្តរជាតិ	国際司法裁判所
យូណេស្កូ	国際連合教育科学文化機関
អង្គការសុខភាពពិភពលោក	世界保健機関
អង្គការពាណិជ្ជកម្មពិភពលោក	世界貿易機関
ភាសាចិន	中国語
ធម្មជាតិ	自然
ឈាម	血液
រញ្ជួយផែនដី	地震
សមុទ្រឡាប់តែវ	ラプテフ海
ភ្លើងចរាចរ	信号機
ម៉ាទីន ឡូតធឺរ ឃីង	マーティン・ルーサー・キング・ジュニア
ត្រីកោណមាត្រ	三角法
ធរណីមាត្រ	幾何学
វេយ្យាករណ៍	文法
សេដ្ឋកិច្ច	経済学
អក្សរក្រិច	ギリシア文字
អក្សរឡាតាំង	ラテン文字
រឿងមហាភារតយុទ្ធ	マハーバーラタ
ការិយាល័យសហព័ន្ធស៊ើបអង្កេត	連邦捜査局
វីយោឡុង	ヴァイオリン
ឃឹម	ツィンバロム
អេឡិចសាន់ដឺ ដឹ ហ្គារ៉ែត	アレクサンドロス3世
សង្គម	社会
ការអប់រំ	教育
មនុស្សប្រុស	男性
វិគីភីឌាភាសាអេស៉្បាញ	スペイン語版ウィキペディア
សិទ្ធិមនុស្ស	人権
ទាសភាព	奴隷
សង្គ្រាមស៊ីវិល	内戦
ភ្នំ	山
ហុងកុង	香港
សង្គ្រាមត្រជាក់	冷戦
សេអ៊ូល	ソウル特別市
សង្គ្រាមវៀតណាម	ベトナム戦争
ម៉ៃឃើល ហ្វារ៉ាដេយ	マイケル・ファラデー
អង់រីកូ ហ្វែរមី	エンリコ・フェルミ
ភាសាអ៊ុយក្រែន	ウクライナ語
HTML	HyperText Markup Language
ច្យូហានេស គូទេនបឺគ	ヨハネス・グーテンベルク
ភាសាដាណឺម៉ាក	デンマーク語
ភាសាអេស្តូនី	エストニア語
ហិណ្ឌូសាសនា	ヒンドゥー教
ភាសាពែក	ペルシア語
សាសនា	宗教
ភាសាកូរ៉េ	朝鮮語
ភាសាខ្មែរ	クメール語
ហ្រ្គេតស៊ីងមួន	ジークムント・フロイト
ភាសាថៃ	タイ語
ភាសាម៉ាឡេ	マレー語
ភាសាឥណ្ឌូនេស៊ី	インドネシア語
ភាសាហេប្រ៊ូ	ヘブライ語
ចន ឡុក	ジョン・ロック
ថ្លើម	肝臓
ចិត្តវិទ្យា	心理学
មហាសមុទ្រ	大洋
ពុទ្ធប្រវត្តិសង្ខេប	釈迦
ចរិយាមារយាទ	倫理学
សារជីវកម្មផ្សព្វផ្សាយព័ត៌មានរបស់ចក្រភពអង់គ្លេស(BBC)	英国放送協会
ក្លិបបាល់ទាត់ឆេលស៊ី	チェルシーFC
គ្រោងឆ្អឹងមនុស្ស	ヒトの骨格
ក (អវយវៈ)	首
រាជវង្សថាង	唐
John F. Kennedy	ジョン・F・ケネディ
LibreOffice	LibreOffice
ផ្លូវរូងដីក្រោមសមុទ្រ	英仏海峡トンネル
តារាងខួបនៃធាតុគីមី	周期表
ប្រូម៉ាស	チーズ
ទំពាំងបាយជូរ	ブドウ
បន្លែ	野菜
បច្ចេកវិទ្យា	テクノロジー
វិស្វកម្ម	工学
ទំនាក់ទំនង	コミュニケーション
វិជ្ជាជីវៈខាងសារព័ត៌មាន	報道
កាសែត	新聞
ទូរស័ព្ទ	電話機
វប្បធម៌	文化
សំស្ក្រឹត	サンスクリット
ប្រដាប់របត់ឈាម	循環器
The Guardian	ガーディアン
សមីការឌីផេរ៉ង់ស្យែល	微分方程式
មៃក្រូសូហ្វអ៊ិសេល	Microsoft Excel
មុំ	角度
សំទុះ	加速度
ព្រះសិវៈ	シヴァ
ព្រះវិស្ណុ	ヴィシュヌ
Local Area Network	Local Area Network
Wide Area Network	Wide Area Network
ព្រះព្រហ្ម	ブラフマー
កម្លាំង	力
អេឡិចត្រូម៉ាញ៉េទិច	電磁気学
កសិកម្ម	農業
សំលៀកបំពាក់	被服
ល្បឿន	速度
ក្រដាស	紙
សុញ្ញកាស	真空
ស៊ីនេម៉ាទិច	運動学
ក្រលាផ្ទៃ	面積
ទ្រឹស្តីបទពីតាករ	ピタゴラスの定理
ចំនួនកុំផ្លិច	複素数
Cristiano Ronaldo	クリスティアーノ・ロナウド
អ្នកថតរូប	写真
ល្ខោន	演劇
គ្រឿងអេឡិចត្រូនិច	電子部品
ព័ត៌មានវិទ្យា	情報技術
អាស៊ីអាគ្នេយ៍	東南アジア
ក្រុងសៀមរាប	シェムリアップ
បញ្ជីរាយនាម ប្រទេស	国の一覧
វិគីភីឌាភាសាព័រទុយហ្គាល់	ポルトガル語版ウィキペディア
ប្រដាប់រំលាយអាហារ	消化
កីឡាចាក់សាប	フェンシング
រោគផ្ដាសាយធម្មតា	風邪
រោគសរសៃប្រសាទ	精神障害
ប្រតិទិន ក្រេកូរី	グレゴリオ暦
សុខភាព	健康
ជម្ងឺរលាកទងសួត	肺炎
ជំងឺអេដស៍	後天性免疫不全症候群
កូដ QR	QRコード
ជំងឺទឹកនោមផ្អែម	糖尿病
ទំព័រគំរូ:Location map Belgium	Template:Location map Belgium
ទំព័រគំរូ:Location map Croatia	Template:Location map Croatia
ទំព័រគំរូ:Location map Ukraine	Template:Location map Ukraine
ទំព័រគំរូ:Location map Burma	Template:Location map Burma
ទំព័រគំរូ:Location map Philippines	Template:Location map Philippines
ទំព័រគំរូ:Location map Vietnam	Template:Location map Vietnam
ទំព័រគំរូ:Location map Cambodia	Template:Location map Cambodia
ទំព័រគំរូ:Location map Thailand	Template:Location map Thailand
ទំព័រគំរូ:Location map Indonesia	Template:Location map Indonesia
ទំព័រគំរូ:Location map Australia	Template:Location map Australia
ញូតុន	ニュートン
ចក្រភព អូតូម៉ង់	オスマン帝国
ម៉ាស៊ីនចំហេះក្នុង	内燃機関
ក្បាច់គិតលេខ	アバカス
វឺតប្រែស	WordPress
Joomla!	Joomla!
ដើមដូង	ココナッツ
ភាសាណាវ៉ាថ្ល៍	ナワトル語
ភាសាម៉ាយ៉ាយូកាតិក	ユカテコ語
អែនជេលីណា ចូលី	アンジェリーナ・ジョリー
អ៊ីលដឺហ្រ្វែន	イル＝ド＝フランス地域圏
ភាសាអារ៉ាប់	アラビア語
Thanksgiving	感謝祭
តំបន់ឃ្ជឺស្សឺ	九州
តំបន់ស៊ីកុគឹ	四国
នាយករដ្ឋមន្ត្រី	首相
ទង់ជាតិ	旗
ខ្មៅដៃ	鉛筆
សហភាពសូវៀត	ソビエト連邦
ចំណុចរលាយ	融点
កាមេរ៉ា	カメラ
កម្មវិធីទូរទស្សន៍	テレビ番組
ខេត្តខាហ្គុស៊ីម៉ា	鹿児島県
ភាសាស៊ី	C言語
ម៉ង់តេរីយើ	シャルル・ド・モンテスキュー
វិគីភីឌា:អត្ថបទពិសេស	Wikipedia:秀逸な記事
ទំព័រគំរូ:Link FA	Template:Link FA
ពិភពលោក	世界
ឈូក	ハス
ឡងប៊ិច (កាលីផ្វនញ៉ា)	ロングビーチ (カリフォルニア州)
រង្វង់	円 (数学)
ប្លង់	平面
វិគីភីឌាភាសាកូរ៉េ	朝鮮語版ウィキペディア
ទៀបកោះម៉ាឡេ	マレー半島
អេប៉ុងហ្ស៍ (ពពុះទឹក)	海綿動物
មធ្យមនព្វន្ធ	算術平均
World Cup	FIFAワールドカップ
សម្ដេចប៉ាប	教皇
IATA	国際航空運送協会
បុណ្យណូអែល	クリスマス
ត្រីកោណ	三角形
អ្នកប្រើប្រាស់:អេង ឡុង/សង្គមវិទ្យាមូលដ្ឋាន	社会学
សញ្ញាសំលេងអន្តរជាតិ	国際音声記号
តៃវ៉ាន់	台湾
Friedrich Schiller	フリードリヒ・フォン・シラー
ជំនឿបាហៃ	バハーイー教
១	1年
អាប្រាហាម ម៉ាស្លូ	アブラハム・マズロー
ខ្ទឹមស	ニンニク
អ៊ូលេនបាធរ	ウランバートル
កោះ	島
ភាសាផ្លូវការ	公用語
ខ្សែអេក្វាទ័រ	赤道
ទិស	方位
លេខអាតូម	原子番号
អាល់ហ្វ្រិដ ណូបែល	アルフレッド・ノーベル
សម្ដេចប៉ាប យូហាន ទី២៣	ヨハネ23世 (ローマ教皇)
កិរិយាសព្ទ	動詞
ទីតានិច	タイタニック (客船)
សត្វឆ្អឹងកង	脊椎動物
បាគូ	ヤツガシラ
អំពែរ	アンペア
ISO 3166-1	ISO 3166-1
១ មុនគ.ស	紀元前1年
ម៉ែត្រការ៉េ	平方メートル
ជំនួយ:Interlanguage links	プランクトン
សហស្សវត្សរ៍ទី២	2千年紀
ខេត្តកំពង់គោ	ロンアン省
ទ្រឹស្តីបទទ្វេធា	二項定理
សមុទ្រជប៉ុន	日本海
អាស៊ីខាងកើត	東アジア
អាមេរិក កណ្ដាល	中央アメリカ
គ្រីស្ទអឌែលហ្វៀន	キリスト・アデルフィアン派
បរិមាត្រ	周長
ចក្រភព អូទ្រីស-ហុងគ្រី	オーストリア＝ハンガリー帝国
បណ្ណាល័យជាតិ	公共図書館
ផាយថុន	Python
អានន្ទ	阿難
អាស៊ីហ្គេមឆ្នាំ១៩៥១	1951年アジア競技大会
បាកាន	バガン
ចិន	中国
សំទុះទំនាញដី	重力加速度
ច្បាប់ធម្មតា	コモン・ロー
អ្នកម្តាយ តេរេសា​ (Mother Teresa)	マザー・テレサ
ប្លូក	ブログ
រោគគ្រុនចាញ់	デング熱
ដុល្លារហុងកុង	香港ドル
Xian JH-7	JH-7 (航空機)
ខ្សែបណ្ដោយ	子午線
ខេត្តឃ្លាំង	ソクチャン省
ខេត្តទឹកខ្មៅ	カマウ省
សមុទ្រខារ៉ា	カラ海
ផ្លេតបន្ទោរ	雷
កំរងកោះ	多島海
តួប្រុស	俳優
អំបូរភាសាយូតូអាហ្សតិក	ユト・アステカ語族
ចាស្ទីន ពីពេ្រ	ジャスティン・ビーバー
ក្រុម​ភាសា​ថៃកៈដៃ	タイ・カダイ語族
ចក្រភព រុស្ស៊ី	ロシア帝国
មឞវជ	モショヴツェ
បេណាហ្សៀរ ប៊ូតូ	ベーナズィール・ブットー
ស៊ីឌី	コンパクトディスク
ឧទ្ធម្ភាគចក្រ	ヘリコプター
គុណនាម	形容詞
វីតាមីន	ビタミン
វែបសាយ	ウェブサイト
តំបន់ហុកកៃដូ	北海道
រូបមន្តសមមូលម៉ាស់-ថាមពល	E=mc²
សមុទ្រ អារ៉ាល់	アラル海
ហូ ជីមិញ	ホー・チ・ミン
ម៉ាក ហ្សុកឃឺបឺក	マーク・ザッカーバーグ
ប្រតិកម្មគីមី	化学反応
ខេត្តក្រមួនស	キエンザン省
ខេត្តមាត់ជ្រូក	アンザン省
ខេត្តរោងដំរី	タイニン省
ខេត្តព្រះត្រពាំង	チャーヴィン省
Binomial nomenclature	学名
ខេត្តពលលាវ	バクリエウ省
ខេត្តផ្សារដែក	ドンタップ省
វ៉ែសបែង	ヨルダン川西岸地区
ភាសាបាលី	パーリ語
គេហទំព័រ	ウェブページ
ចតុកោណ	四角形
ឈិន ឡុង	ジャッキー・チェン
ទិវាកុមារអន្តរជាតិ	子供の日
Yahoo!	Yahoo!
បន្ទាត់	直線
ហ្មរិឩពឡ	マリウポリ
G8	主要国首脳会議
អង្កត់ផ្ចិត	径
គ្រូបង្រៀន	教員
ស្នាដៃនៃបុព្វបុរសខ្មែរ	筆記
ស្ដេចប៉ាប យ៉ូហាន ប៉ូលទី១	ヨハネ・パウロ1世 (ローマ教皇)
ណៃពិដោ	ネピドー
ISO 4217	ISO 4217
ព្យែរ គុយរី	ピエール・キュリー
ក្រុមប្រឹក្សាសន្តិសុខ អង្គការសហប្រជាជាតិ	国際連合安全保障理事会
ពហុកោណ	多角形
ទិវានៃក្ដីស្រលាញ់	バレンタインデー
ហ្គូហ្គល	市場
សមុទ្រចិនខាងត្បូង	南シナ海
និវេសនប្រព័ន្ធ	生態系
សមុទ្រលឿង	黄海
យ៉ាំងហ្គូន	ヤンゴン
សូរព្យញ្ជនៈ	子音
ច្បាប់ចលនារបស់ញូតុន	ニュートン力学
ឈូងសមុទ្របេងហ្គាល់	ベンガル湾
ទិវានារីអន្តរជាតិ	国際女性デー
.jp	.jp
ភ្នំហ្វឹជី	富士山
ប៉ុលពត	ポル・ポト
Xian H-6	H-6 (航空機)
Chengdu J-7	J-7 (航空機)
Shenyang J-8	J-8 (航空機)
ភ្នំភ្លើង អ៊ីស៊ាឡឺក	エイヤフィヤトラヨークトル
ម៉ាក្រូសេដ្ឋកិច្ច	マクロ経済学
Harbin SH-5	SH-5 (航空機)
ដីជ្រោយហ្គាស្សា	ガザ地区
​វិទ្យុ​ស្ទូឌីយោ 54 បណ្តាញ	Radio Studio 54 Network
អេលីប	楕円
វិទ្យុអាស៊ីសេរី	ラジオ・フリー・アジア
សមាគមន៍សារព័ត៌មាន	AP通信
អធិដ្ឋាន	祈り
គណៈកម្មាធិការអូឡាំពិកអន្តរជាតិ	国際オリンピック委員会
Skype	Skype
.kh	.kh
ចតុកោណស្មើ	菱形
ទន្លេមេគង្គ	メコン川
មេកានិច	力学
វិចិត្រសាលវលញ្ឆករប្រទេស	国章の一覧
ហែងរីហ ហឺត	ハインリヒ・ヘルツ
អង់រី បិកកឺរ៉ែល	アンリ・ベクレル
ទស្សនាវដ្ដី	雑誌
សមីការដឺក្រេទី២	二次方程式
រូពីឥណ្ឌូនេស៊ី	ルピア
សមុទ្រអុកហុតស្គ៍	オホーツク海
ចិត្តវិភាគ	精神分析学
ខ្មែរម៉ាស្ទើ	ウェブマスター
.kr	.kr
URL	Uniform Resource Locator
ក្រុមបាល់ទាត់ជម្រើសជាតិ អេស្ប៉ាញ	サッカースペイン代表
Google Earth	Google Earth
ប៊ែនហាដ រីម៉ាន	ベルンハルト・リーマン
កោន	円錐
អាតុល	環礁
ទិន្នន័យ	データ
ខ្លែង	凧
ស្ថាបត្យករ	建築士
មហាអំណាច អាប់ស៊ីស	枢軸国
វិគីភីឌា:FAQ	Wikipedia:FAQ
.th	.th
ចក្រភព អាល្លឺម៉ង់	ドイツ帝国
ក្រុមបាល់ទាត់ជម្រើសជាតិ អាល្លឺម៉ង់	サッカードイツ代表
ហេរី ផោតធ័រ និង សិលាទេព	ハリー・ポッターと賢者の石
អង្គការ Creative Commons	クリエイティブ・コモンズ
ឥណ្ឌូចិន	インドシナ半島
ប្រាសាទអង្គរវត្ត	アンコール・ワット
ទ្រឹស្ដីរ៉ឺឡាទីវីតេ	相対性理論
ប្រុស	オス
Toulon	トゥーロン
ប៉ាស្កាល់	パスカル
ទ្រឹស្ដីល្បែង	ゲーム理論
នីតិរដ្ឋ	法の支配
សមុទ្រចិនខាងកើត	東シナ海
ខ្នុរ	パラミツ
ប្រលេឡូក្រាម	平行四辺形
ប្រាសាទព្រះវិហារ	プレアヴィヒア寺院
ចតុកោណព្នាយ	台形
