Afirik	アフリカ
Catégorie:User sk	Category:User sk
Catégorie:User eo	Category:User eo
Catégorie:User fr	Category:User fr
Catégorie:User ja	Category:User ja
Catégorie:User lt	Category:User lt
Catégorie:User mk	Category:User mk
Catégorie:User pt	Category:User pt
Catégorie:User sv	Category:User sv
Catégorie:User it-3	Category:User it-3
Catégorie:User ar-3	Category:User ar-3
Catégorie:User cs-1	Category:User cs-1
Catégorie:User da-1	Category:User da-1
Catégorie:User mk-1	Category:User mk-1
Catégorie:User nl-1	Category:User nl-1
Catégorie:User ar-4	Category:User ar-4
Catégorie:User be-2	Category:User be-2
Catégorie:User da-2	Category:User da-2
Catégorie:User fr-2	Category:User fr-2
Catégorie:User nl-2	Category:User nl-2
Catégorie:User tr-2	Category:User tr-2
Catégorie:User ar-2	Category:User ar-2
Catégorie:User fr-N	Category:User fr-N
Catégorie:User lt-N	Category:User lt-N
Catégorie:User no-N	Category:User no-N
Catégorie:User ru-N	Category:User ru-N
Catégorie:User af	Category:User af
Catégorie:User af-1	Category:User af-1
Catégorie:User als	Category:User als
Catégorie:User als-1	Category:User als-1
Catégorie:User ar	Category:User ar
Catégorie:User ast	Category:User ast
Catégorie:User ast-1	Category:User ast-1
Catégorie:User az-N	Category:User az-N
Catégorie:User bar	Category:User bar
Catégorie:User bar-1	Category:User bar-1
Catégorie:User bg	Category:User bg
Catégorie:User bg-1	Category:User bg-1
Catégorie:User ca	Category:User ca
Catégorie:User ca-1	Category:User ca-1
Catégorie:User cs	Category:User cs
Catégorie:User da	Category:User da
Catégorie:User sk-N	Category:User sk-N
Catégorie:User de	Category:User de
Catégorie:User de-2	Category:User de-2
Catégorie:User de-3	Category:User de-3
Catégorie:User de-N	Category:User de-N
Catégorie:User en-3	Category:User en-3
Catégorie:User en-N	Category:User en-N
Catégorie:User eo-1	Category:User eo-1
Catégorie:User eo-3	Category:User eo-3
Catégorie:User eo-N	Category:User eo-N
Catégorie:User es	Category:User es
Catégorie:User es-1	Category:User es-1
Catégorie:User es-2	Category:User es-2
Catégorie:User es-4	Category:User es-4
Catégorie:User es-N	Category:User es-N
Catégorie:User hr-1	Category:User hr-1
Catégorie:User pl-N	Category:User pl-N
Catégorie:User it	Category:User it
Catégorie:User it-1	Category:User it-1
Catégorie:User ja-1	Category:User ja-1
Catégorie:User ru-1	Category:User ru-1
Modèle:User sv-1	Template:User sv-1
Catégorie:Njuɓɓudi naangeyankoori	Category:太陽系
Modèle:User cs	Template:User cs
Modèle:User ru-2	Template:User ru-2
Modèle:User ko-3	Template:User ko-3
Catégorie:User pt-N	Category:User pt-N
Catégorie:User ru	Category:User ru
Catégorie:User ru-2	Category:User ru-2
Catégorie:User ru-4	Category:User ru-4
Catégorie:User sr	Category:User sr
Catégorie:User sr-1	Category:User sr-1
Catégorie:User sv-1	Category:User sv-1
Catégorie:User sv-3	Category:User sv-3
Catégorie:User tr	Category:User tr
Catégorie:User tr-N	Category:User tr-N
Catégorie:User uk-4	Category:User uk-4
Catégorie:User vi	Category:User vi
Catégorie:User vi-N	Category:User vi-N
Modèle:User sv-3	Template:User sv-3
Catégorie:Gine	Category:ギニア
Catégorie:Maali	Category:マリ共和国
Catégorie:Muritani	Category:モーリタニア
Modèle:User ko	Template:User ko
Modèle:User mk-1	Template:User mk-1
Modèle:User no-1	Template:User no-1
Modèle:User pt	Template:User pt
Modèle:User ru-1	Template:User ru-1
Modèle:User sr-1	Template:User sr-1
Modèle:User uk-4	Template:User uk-4
Modèle:User zh-1	Template:User zh-1
Modèle:User zh-2	Template:User zh-2
Modèle:User zh-3	Template:User zh-3
Catégorie:Senegal	Category:セネガル
Catégorie:User nl	Category:User nl
Catégorie:User no-1	Category:User no-1
Catégorie:User no-2	Category:User no-2
Catégorie:User no	Category:User no
Catégorie:User zh-1	Category:User zh-1
Catégorie:User zh-2	Category:User zh-2
Catégorie:East Timor	Category:東ティモール
Catégorie:Dabbaji	Category:動物
Catégorie:Ndenndaandi	Category:共和国
Catégorie:Alqur'aana	Category:クルアーン
Catégorie:User pl	Category:User pl
Trojany	トロヤニ (マゾフシェ県)
Kappe	ヤム
Modèle:User ia	Template:User ia
Modèle:User et	Template:User et
Modèle:User vi	Template:User vi
Catégorie:User en-1	Category:User en-1
Catégorie:User de-1	Category:User de-1
Catégorie:User da-N	Category:User da-N
Modèle:User ru-3	Template:User ru-3
Modèle:User li	Template:User li
Modèle:User hi	Template:User hi
Wikipedia:Proposed deletions	Wikipedia:提案削除
Spécial:Modifications récentes	特別:最近の更新
Catégorie:User ja-4	Category:User ja-4
