Afrig	アフリカ
Ciipër	キプロス
Jeoorji	グルジア
Kasakistaan	カザフスタン
Malt	マルタ
Monaako	モナコ
Montenegro	モンテネグロ
Watikaa	バチカン
San Marino	サンマリノ
Burusel	ブリュッセル市
Kubaa	キューバ
Beliis	ベリーズ
Barbados	バルバドス
Endoneesi	インドネシア
Afrig gu Bëj-saalum	南アフリカ共和国
Alseeri	アルジェリア
Usbekistaan	ウズベキスタン
Warsaw	ワルシャワ
Ndox	水
Sili	チリ
Yéesu-kristaa	イエス・キリスト
Merkuur	水星
Taariix	歴史
Weenus	金星
Kàllaama	言語
Yupiter	木星
Uraanus	天王星
Neptuun	海王星
Saytubiddiw	天文学
Singapoor	シンガポール
Xam-xam	科学
Pluton	冥王星
Liechtenstein	リヒテンシュタイン
Xareb Àdduna bu Njëkk	第一次世界大戦
Ñaareelu Xareb Àdduna	第二次世界大戦
Skopje	スコピエ
Linux	Linux
Xayma	数学
Bahrayni	バーレーン
Armeeni	アルメニア
Seerbi	セルビア
Óstraali	オーストラリア
Jëmm	物理学
Arsantin	アルゼンチン
Peru	ペルー
Kore gu Bëj-gànnaar	朝鮮民主主義人民共和国
Kamboodi	カンボジア
Alxuraan	クルアーン
Lislaam	イスラム教
Jubaljana	リュブリャナ
Jimbulang bu waa-Brëtaañ	ブリタニカ百科事典
World Wide Web	World Wide Web
Jigéen	女性
Sofiya	ソフィア (ブルガリア)
Jant	太陽
Asamaan	空
Oseyaani	オセアニア
Nosteg jant	太陽系
Bés	日
Timoor gu Penku	東ティモール
Guddi	夜
At	年
Oslo	オスロ
Lisbon	リスボン
Way	音楽
Mosku	モスクワ
Cadd	チャド
Seland-Gu-Bees	ニュージーランド
End	インド
Tuvalu	ツバル
Tonga	トンガ
Samowaa	サモア
Duni Solomon	ソロモン諸島
Wanuatu	バヌアツ
Papuwaasi-Gine-Gu-Bees	パプアニューギニア
Palau	パラオ
Nauru	ナウル
Réew yu Bennoo yu Mikronesi	ミクロネシア連邦
Duni Marshall	マーシャル諸島
Kiribati	キリバス
Mongoli	モンゴル国
Fiiji	フィジー
Benesuwela	ベネズエラ
Amsterdam	アムステルダム
Rab	動物
Surinaam	スリナム
Paraguwaay	パラグアイ
Guyaana	ガイアナ
Fànn	芸術
Ekwadoor	エクアドル
Koloombi	コロンビア
Boliibi	ボリビア
Tirinidaad ak Tobaago	トリニダード・トバゴ
Gàncax	植物
Saint Vincent and the Grenadines	セントビンセント・グレナディーン
Saint Lucia	セントルシア
Saint Kitts and Nevis	セントクリストファー・ネイビス
Jamayka	ジャマイカ
Grenada	グレナダ
Guwaatemala	グアテマラ
Bahamas	バハマ
Ganaar	ニワトリ
Antigua ak Barbuda	アンティグア・バーブーダ
Onduras	ホンジュラス
Dominika	ドミニカ国
Réewum Dominik	ドミニカ共和国
Mbaam	ブタ
Mbàmbulaan gu Bëj-gànnaar	北極海
Ayiti	ハイチ
Salbadoor	エルサルバドル
Iraan	イラン
Iraak	イラク
Kosta Riika	コスタリカ
Israayil	イスラエル
Panamaa	パナマ
Yaman	イエメン
Jordaani	ヨルダン
Nikaraaguwa	ニカラグア
Kirgistaan	キルギス
Kowet	クウェート
Réewum Lawos	ラオス
Libaa	レバノン
Maldiif	モルディブ
Aamerig	アメリカ州
Maleesi	マレーシア
Miyanmaar	ミャンマー
Nepaal	ネパール
Omaan	オマーン
Pakistaan	パキスタン
Kataar	カタール
Araabi Sawdit	サウジアラビア
Siri Laanka	スリランカ
Siri	シリア
Tajikistaan	タジキスタン
Taaywaan	中華民国
Taaylaand	タイ王国
Ceññeer-mbej	ラジオ
Turkumenistaan	トルクメニスタン
Imaaraat yu Araab yu Bennoo yi	アラブ首長国連邦
Wiyetnaam	ベトナム
Kore gu Bëj-saalum	大韓民国
Afganistaan	アフガニスタン
Banglaades	バングラデシュ
Mali	マリ共和国
Angolaa	アンゴラ
Butaan	ブータン
Tansani	タンザニア
Filipiin	フィリピン
Réewum Diggu Afrig	中央アフリカ共和国
Dottub Bëj-saalum	南極点
Dottub Bëj-gànnaar	北極点
Albert Einstein	アルベルト・アインシュタイン
Mboq	黄色
Togóo	トーゴ
Tiniisi	チュニジア
Saambi	ザンビア
Simbaawee	ジンバブエ
Bene	ベナン
Botswana	ボツワナ
Burkinaa Faaso	ブルキナファソ
Buruundi	ブルンジ
Komoor	コモロ
Kongóo-Brasaawiil	コンゴ共和国
Kongóo-Kinshasa	コンゴ民主共和国
Jibuti	ジブチ
Gineg yamoo	赤道ギニア
Eritere	エリトリア
Tibilisi	トビリシ
Gaboŋ	ガボン
Gàmbi	ガンビア
Gine	ギニア
Gine Bisaawóo	ギニアビサウ
Kodiwaar	コートジボワール
Kamerun	カメルーン
Kap Weert	カーボベルデ
Lesoto	レソト
Libeeria	リベリア
Libi	リビア
Madagaskaar	マダガスカル
Malawi	マラウイ
Gànnaar	モーリタニア
Móoris	モーリシャス
Marok	モロッコ
Mosambik	モザンビーク
Namibi	ナミビア
Niseer	ニジェール
Charles Darwin	チャールズ・ダーウィン
Ugandaa	ウガンダ
Ruwandaa	ルワンダ
Saw Tome ak Preesip	サントメ・プリンシペ
Senegaal	セネガル
Seysel	セーシェル
Siraa Leyoon	シエラレオネ
Somali	ソマリア
Julius Caesar	ガイウス・ユリウス・カエサル
Sudaan	スーダン
Suwaasilaand	スワジランド
Kureelu Mbootayu Xeet yi	国際連合
Melosuuf	地理学
Melo	色
Prag	プラハ
Baxa	青
Yanu mbëj	電荷
Poortorikoo	プエルトリコ
Mbàmbulaanug End	インド洋
Wàll:Xët wu njëkk	Category:主要カテゴリ
Golo	サル
Koppar	貨幣
Gunóor	昆虫
Niccolò Machiavelli	ニッコロ・マキャヴェッリ
Uetersen	ユーテルゼン
Jibraltaar	ジブラルタル
Sagreb	ザグレブ
Astana	アスタナ
Aten	アテネ
Bagdad	バグダード
Caracas	カラカス
Wiyen	ウィーン
Kopenagen	コペンハーゲン
Stokolm	ストックホルム
Elsinki	ヘルシンキ
Dublin	ダブリン
Reykjawik	レイキャヴィーク
Talin	タリン
Riga	リガ
Baratislawa	ブラチスラヴァ
Budapest	ブダペスト
Luksambuur (péy)	ルクセンブルク (都市)
Wadus	ファドゥーツ
Biibël	聖書
San Marino (péy)	サンマリノ市
Ho Chi Minh City	ホーチミン市
Jàngu Yéesu bu Dëggu bi	真イエス教会
Wu-angalteer	英語
Andorra la Vella	アンドラ・ラ・ベリャ
Đồng Hới	ドンホイ
Concepción (Ciili)	コンセプシオン (チリ)
Kiyew	キエフ
Końskowola	コィンスコヴォラ
Xartum	ハルツーム
Sharles Degóol	シャルル・ド・ゴール
Mbëjfepp	電子
Minsk	ミンスク
Feppsaal	陽子
Kurów	クルフ
Feppmaandu	中性子
Mogadisu	モガディシュ
Football	サッカー
Madrid	マドリード
Wert	緑
Xonq	赤
Safara	火
Lourdes	ルルド
Niiruw jant	星雲説
Rabat	ラバト
Alse	アルジェ
Dexub Senegaal	セネガル川
Tunis	チュニス
Tripoli (Libi)	トリポリ
Jibuti (dëkk)	ジブチ市
Addis-Abeba	アディスアベバ
Ankara	アンカラ
Asmara	アスマラ
Njamena	ンジャメナ
Nouakchott	ヌアクショット
Belgrad	ベオグラード
Ndakaaru	ダカール
Banjul	バンジュール
Wàll:Royuwaay	Category:ウィキペディアのテンプレート
Praia	プライア
Guyaana gu Faraas	フランス領ギアナ
Amman	アンマン
Yaunde	ヤウンデ
Malabo	マラボ
Libarwil	リーブルヴィル
Bangi	バンギ
Kinshasa	キンシャサ
Brasawil	ブラザヴィル
Bujumbura	ブジュンブラ
Kigali	キガリ
Dodoma	ドドマ
Nairobi	ナイロビ
Lilongwe	リロングウェ
Lusaka	ルサカ
Maputo	マプト
Kampala	カンパラ
Luanda	ルアンダ
Moroni	モロニ
Antananariwo	アンタナナリボ
Arare	ハラレ
Wiktoria (Seysel)	ヴィクトリア (セーシェル)
Kër	家屋
Lonkoyoon	地図
Dex	川
Osasco	オザスコ (サンパウロ州)
Curitiba	クリチバ
Sowwu Afrig	西アフリカ
Confucius	孔子
Corbin Bleu	コービン・ブルー
Wàll:Xayma	Category:数学
Duni Faarow	フェロー諸島
Géej gu Diggu	地中海
Gox	大陸
Monzón	モンソン
Weer	月 (暦)
Mustafa Kemal Atatürk	ムスタファ・ケマル・アタテュルク
Almazán	アルマサン
Jimbulang	百科事典
Xët wu njëkk	メインページ
Dëgërlukaay	抵抗器
Fattalukaay(mbëj)	コンデンサ
Xiirtalukaay	インダクタ
Tugalasi	ユーラシア大陸
Babilon	バビロン
Dunu Aland	オーランド諸島
Betleyem	ベツレヘム
Duni Kanaari	カナリア諸島
Xeltu	哲学
Rap	ラップ
Hebe Camargo	ヘーペ・カマルゴ
Sahara gu Sowwu	西サハラ
Atali	アンタルヤ
Wàll:Saytubiddiw	Category:天文学
Saara	サハラ砂漠
Niels Bohr	ニールス・ボーア
Politig	政治
Qin Shi Huang	始皇帝
Penku gu Diggu	中東
Réew	国家
Mbàmbulaan gu Bëj-saalum	南極海
Bët	目
Ñay	ゾウ
Melentaan	アリ
Simili	分
Taariixu Itaali	イタリアの歴史
Mburu	パン
Kiswahili	スワヒリ語
Dereet	血液
Toulouse	トゥールーズ
Xam-xamu suuf si ak jawwu ji	地球科学
Doj	岩石
Jawwu ji	大気圏
Koom-koom	経済学
Yewwute gu ndefar	産業
Wàll:Bulgaari	Category:ブルガリア
Njàngat	文学
Wàll:Faraas	Category:フランス
Wàll:Woy	Category:音楽
Wàll:Njàngat	Category:文学
.ac	.ac
Xay	文明
Gόor	男性
Tangor	山
Yay	砂漠
Ooŋ Koŋ	香港
HTML	HyperText Markup Language
Xarefulwoon	原子
Nosteg doxiin	オペレーティングシステム
Baku	バクー
Mbàmbulaan	大洋
Budda	釈迦
Premier League	プレミアリーグ
Mohammed	ムハンマド・イブン＝アブドゥッラーフ
Dunu Falkland	フォークランド諸島
Ronald Reagan	ロナルド・レーガン
Gordon Brown	ゴードン・ブラウン
Wàll:Benesuwela	Category:ベネズエラ
Pitax	ハト科
Garab	木
Wuutuloxo	機械
Xibaar	情報
Paj	医学
Saarayego	サラエヴォ
Wàll:Breesil	Category:ブラジル
Wàll:Romaani	Category:ルーマニア
Xeet	元素
Kàttan	エネルギー
Hip-hop	ヒップホップ・ミュージック
Mbëjbijjaakon	電磁気学
Toolu bijjaakon	磁場
Dooley ñoddi	重力
Bijjaan	磁石
Yolaakon	液体
Féex	真空
Yaatuwaay	面積
Saa	秒
Cuub	絵画
Nataal	写真
Yatt	彫刻
Mbëjfeppal	電子機器
Dawaanu mbëj	電流
Baraay	周波数
Soppalikaay	変圧器
Xaralay xibaar ak jokkoo	情報技術
Duni Virgin (us)	アメリカ領ヴァージン諸島
Bëj-saalum-penku Asi	東南アジア
Limu réewi àdduna bi	国の一覧
Njëkk-taariix	先史時代
Réewum ñaari dex yi	メソポタミア
Las Palmasu Kanaari gu Mag	ラス・パルマス・デ・グラン・カナリア
Arminaat	暦
Xarey jóoñe	十字軍
Mbëj	電気
Montserrat	モントセラト
Ndajem Berlin	ベルリン会議 (アフリカ分割)
Adiratig	アドリア海
Ngiste	光学
Makaaw	マカオ
Soviet Yi Benno	ソビエト連邦
Queen	クイーン (バンド)
Royuwaay:Lien AdQ	Template:Link FA
Àdduna	世界
Wikipedia:Pénc mi	Wikipedia:井戸端
Guam	グアム
Samoa gu Aamerig	アメリカ領サモア
Northern Mariana Islands	北マリアナ諸島
United States Minor Outlying Islands	合衆国領有小離島
Guwaadalup	グアドループ
Martinik	マルティニーク
Mayoot	マヨット
Reiñõo	レユニオン
Turks and Caicos Islands	タークス・カイコス諸島
Manchester United	マンチェスター・ユナイテッドFC
Juróom ñent	9
Bien Hoa	ビエンホア
Nha Trang	ニャチャン
Rafael Correa	ラファエル・コレア
Bukarest	ブカレスト
Louvre	ルーヴル美術館
Kureelu tembte bu Poortorikoo	プエルトリコ独立党
Tirana	ティラナ
Nowel	クリスマス
Breinigerberg	ブライニガーベルク
Ségg	トラ
Kisinawu	キシナウ
Xam-xamu nosukaay	計算機科学
Şalom	シャーローム (週刊紙)
Aruba	アルバ
Juróom ñaar	7
Juróom ñett	8
Ayubés	週
Ngéej	湖
Jeexiituwaay bu Orsay	オルセー美術館
Dunu Buwet	ブーベ島
Dun	島
Juróom benn	6
Moshchena	モシュチェナ
Paltoga	パルトガ
Yamoo	赤道
Mérida, Benesuwela	メリダ (ベネズエラ)
Podgorika	ポドゴリツァ
Baatukaay	辞典
Bermuda	バミューダ諸島
Palestiin	パレスチナ
Waleta	バレッタ
Fukk	10
Tene	チーター
Looy	フクロウ目
Angila	アンギラ
Waxtu	時間 (単位)
Pichilemu	ピチレム
Duni Virgin (angalteer)	イギリス領ヴァージン諸島
Phan Thiet	ファンティエット
Goxub Dottub Bëj-gànnaar	北極
Ngóora (jëmm)	仕事率
Ndëgërlu gu mbëj	電気抵抗
Dendu mbëj	電圧
Niccolò Cusano University	ニコラウス・クザーヌス大学
Mbëjtekkaaral	静電気学
Anet	イノンド
Dunu Kook	クック諸島
Penku Asi	東アジア
Diggu Asi	中央アジア
Bëj-gànnaaru Afrig	北アフリカ
Bëj-saalumu Afrig	南部アフリカ
Penku Afrig	東アフリカ
Diggu Afrig	中部アフリカ
Bëj-saalumu Tugal	南ヨーロッパ
Penku Tugal	東ヨーロッパ
Bëj-gànnaaru Tugal	北ヨーロッパ
Sowwu Tugal	西ヨーロッパ
Afritugalasi	アフロ・ユーラシア大陸
Diggu Aamerig	中央アメリカ
Maghreb	マグリブ
Weeri wolof	ヒジュラ暦
Ecser	エチェル
Akas	アハズ
Polineesi gu Faraas	フランス領ポリネシア
Dunu Norfolk	ノーフォーク島
Dunu Christmas	クリスマス島 (オーストラリア)
Arabi	アラビア半島
Paaka	ナイフ
Pullaar	フラニ語
Kaledooni-Gu-Bees	ニューカレドニア
Way-dëkk	人口
Niwe	ニウエ
Tus-wu-gaar	緯度
Wolof (làkk)	ウォロフ語
Gëstubiddiw	占星術
Seent Eleen	セントヘレナ
Saint Pierre ak Miquelon	サンピエール島・ミクロン島
Njëkk-xaymà	国際電話番号の一覧
Tequixquiac	テキシキアック
Jeoorji gu Bëj-saalum ak Duni Islaand yi Bëj-saalum	サウスジョージア・サウスサンドウィッチ諸島
Dalub web	ウェブサイト
Araab	アラブ人
Wallis ak Futuna	ウォリス・フツナ
Pitkeern	ピトケアン諸島
Ne-ne	物質
Al Bayda	アルバイダ
Gaal	ボート
Polineesi	ポリネシア
Dunu Kokos	ココス諸島
Thanh Hoa	タインホア
Siligo	シーリゴ
Tus-wu-taxaw	経度
Dàngin	ゴリラ
Ben Tre	ベンチェ
Xëtu web	ウェブページ
Tokelau	トケラウ
Tembte	独立
Melaneesi	メラネシア
Téeméer	100
Campora San Giovanni	カンポラ・サン・ジョヴァンニ
Besançon	ブザンソン
Jinax	ハツカネズミ属
Suraas	オレンジ色
Artemis	アルテミス
Esaas	ガソリン
Radio Studio 54 Network	Radio Studio 54 Network
Tëriinuw nosukaay	プログラム (コンピュータ)
Jëf ya	使徒言行録
Bejjenu Afrig	アフリカの角
Fatt-jawwu	対流圏
Al Pacino	アル・パチーノ
Doolerandu	力学
Sinemaa	映画館
Jum	ロケット
Daawuda	ダビデ
Seere	シャハーダ
Liggéey (jëmm)	仕事 (物理学)
Penku gu Sori	極東
Gëwéel	熱帯
Junni	1000
Xaralaymbëj	電気工学
Waañ	台所
Andare	アンデレ
Bartelemi	バルトロマイ
Alex Ferguson	アレックス・ファーガソン
The Doors	ドアーズ
Toolu mbëj	電場
Kàttanug imbiku	運動エネルギー
Mbootaayu Réewi Jullit yi	イスラム協力機構
Penku gu Jege	近東
Royuwaay:Bokktekki	語義の曖昧性解消
Almasi bi	メシア
Bànni Israyil	イスラエル (民族)
Aaroona	アロン
Anas	アンナス
Jàngoroy Ebola	エボラ出血熱
Locri	ロクリ
Wàll:Filmi	Category:映画作品
Aset	皿
Truong Tan Sang	チュオン・タン・サン
Duran Duran	デュラン・デュラン
Safaanukaay	オルタネーター
Ron-goxu End	インド亜大陸
Diiwaani dott	極圏
Sahel	サヘル
Aadama	アダム
Doxalukaay bu mbëj	電動機
Ametist	アメシスト
Coronel Fabriciano	コロネル・ファブリシアーノ
Junj	シンボル
1 Korent	コリントの信徒への手紙一
Furset	フォーク (食器)
Kuddu	スプーン
Royan	ロワイヤン
Lepton	レプトン (素粒子)
Bundesliga	サッカー・ブンデスリーガ (ドイツ)
Dencukaay	ファイル (コンピュータ)
Cosaan	伝統
Jéeri ji	リソスフェア
Lëkkalekaay	ハイパーリンク
Nukleon	核子
Beril	緑柱石
Xarey àdduna	世界大戦
Abdulaay Wàdd	アブドゥライ・ワッド
Dëgërluwiin	電気抵抗率
Yolom-jawwu	成層圏
Dawaan bu safaanu	交流
Disc jockey	ディスクジョッキー
2 Piyeer	ペトロの手紙二
Heard Island and McDonald Islands	ハード島とマクドナルド諸島
IMMAGINE&POESIA	IMMAGINE&POESIA
Jurukaayu mbëj	発電機
Ndombo gu mbëj	電気回路
Mamudsu	マムズ
Afrig gu bëj-saalumu-Sahara	サブサハラアフリカ
Sawara	燃焼
Raaya wu Senegaal	セネガルの国旗
Albaatar	アラバスター
Leopool Sedaar Sengoor	レオポール・セダール・サンゴール
Dóox	公爵領
Bennoo gu Almaañ	ドイツ統一
Dawaan bu wéy	直流
Digg bu mbëj	発電所
Kom-kom	経済
Pachuca de Soto	パチューカ
Iyon-jawwu	電離層
Break dancing	ブレイクダンス
Biti-jawwu	外気圏
Asot	アシュドッド
Amiin	アーメン
Amos	アモス書
Bunt: taariix	Portal:歴史
Ponki Lislaam	五行 (イスラム教)
Toolu mbëjbijjaakon	電磁場
Xiirtalu	インダクタンス
Mbëjbijjaan	電磁石
ASP.NET	ASP.NET
Diiwaanu Ndar	サンルイ州
Ayóoba	ヨブ
Aakimoo jawwu ji	宇宙開発
Dalu Archimède	アルキメデスの原理
Imbraatóor gu Mali	マリ帝国
Barnabas	バルナバ
Armagedon	ハルマゲドン
Njël	天体の出没
Ancos ci Siri	アンティオキア
Areyopas	アレオパゴス会議
Beelsebul	ベルゼブブ
Pël	フラニ族
Imbraatóor gu Songaay	ソンガイ帝国
Vesoul	ヴズール
Akayi	アカエア
Alisa	エリシャ
Imbraatóor gu Gana	ガーナ王国
Kàttanug mbëj	電力量
Doxalukaay bu demandoodi	誘導電動機
Duusub sin	正弦波
Sudaan (diiwaan)	歴史的スーダン
Njeexitu joule	ジュールの法則
Yuusu Nduur	ユッスー・ンドゥール
Bowas	ボアズ
Ajara	ハガル
Wolof (askan)	ウォロフ族
Amfipolis	アンフィポリス
Turu Way-Dëkk	住民の呼称
Baraxlu	シャアバーン
Sao Tome (dun)	サントメ島
Haj	ハッジ
Beer	ゴレ島
Mboolaay	社会 (曖昧さ回避)
Ndar	サン＝ルイ (セネガル)
Yoonu Eŋaca	エグナティア街道
Abadon	アバドン
Luga	ルーガ (都市)
Wommat wu mbëj	コンダクタンス
Asaf	アサ (ユダ王)
Barabas	バラバ
Agaripa	アグリッパ2世
Amon	アモン (ユダ王)
Ousmane Sembène	センベーヌ・ウスマン
Abiyatar	アビアタル
Akilas	シノペのアキラ
Aristobul	アリストブロス1世
Agabus	アガボ
Aloos	沈香
Bitini	ビテュニア
Xaaju kol-kol	地球の半球
Yolet	菫色
Fatik	ファティック
Ben-yamin	ベニヤミン
Berenis	ベレニケ (アグリッパ1世の娘)
Aristàrk	アリスタルコ
Saamóori Ture	サモリ・トゥーレ
Planoise	プラノワーズ
Diggi-gàmmu	サファル
Betsayda	ベツサイダ
Bisub Tabaski	イード・アル＝アドハー
Dalmasi	ダルマチア
Max	シロアリ
Balaam	バラム
Diiwaanu Séeju	セディウ州
Baal	バアル
Cees	ティエス
Tuubaa	トゥーバ (セネガル)
Taariixu Aamerig	アメリカ大陸史
Diiwaanu Luga	ルーガ州
Diiwaanu Koldaa	コルダ州
Séeréer	セレール族
Tundi Senegaal	セネガルの県
Jolof	ジョロフ王国
Melosuufug Afrig	アフリカの地理
Barag	バラク (士師)
Beliyar	ベリアル
Mandinke	マンディンカ族
Diiwaanu Siggcoor	ジガンショール州
Awa	イヴ
Betani	ベタニア
Kaasamaas	カザマンス
Swalbard ak Jan Mayen	スヴァールバル諸島およびヤンマイエン島
Limub njiiti Senegaal yil	セネガルの大統領
Doxalukaay bu demandoo	同期電動機
Diiwaani Senegaal	セネガルの州
Diiwaanu Kawlax	カオラック州
Kawlak	カオラック (セネガル)
Diiwaanu Cees	ティエス州
Diiwaanu Tambaakundaa	タンバクンダ州
Nosteg galag	租税法
Diiwaanu Njaaréem	ジュルベル州
Diiwaanu Ndakaaru	ダカール州
Diiwaanu Maatam	マタム州
Diiwaanu Fatik	ファティック州
Xiirtalug mbëjbijjaakon	電磁誘導
Tëngéej	リュフィスク
Mbuur	ンブール
Diiwaanu Kéedugu	ケドゥグ州
Diiwaanu Kafrin	カフリン州
Catir	ティアティラ
Joolaa (askan)	ジョラ族
Djibril Dio Mambéty	ジブリル・ジオップ・マンベティ
Màkkaanum mbëjfeppal	メールアドレス
Bowanerses	イエスが使った言語
Wàll:Gόor	Category:男性
Wàll:Almaañ	Category:ドイツ
Wàll:Itaali	Category:イタリア
Wàll:Riisi	Category:ロシア
Wàll:Kanadaa	Category:カナダ
Wàll:Nguur-Yu-Bennoo	Category:イギリス
Wàll:Ispaañ	Category:スペイン
Wàll:Sapoŋ	Category:日本
Wàll:Óstraali	Category:オーストラリア
Wàll:Meksik	Category:メキシコ
Wàll:End	Category:インド
Wàll:Araabi Sawdit	Category:サウジアラビア
Wàll:Israayil	Category:イスラエル
Wàll:Watikaa	Category:バチカン
Wàll:Tirki	Category:トルコ
Wàll:Afrig gu Bëj-saalum	Category:南アフリカ共和国
Wàll:Isipt	Category:エジプト
Wàll:Iraan	Category:イラン
Wàll:Arsantin	Category:アルゼンチン
Balag	バラク (モアブ王)
Wàll:Afganistaan	Category:アフガニスタン
Wàll:Alseeri	Category:アルジェリア
Wàll:Banglaades	Category:バングラデシュ
Wàll:Kubaa	Category:キューバ
Wàll:Ecoopi	Category:エチオピア
Wàll:Endoneesi	Category:インドネシア
Wàll:Iraak	Category:イラク
Wàll:Niseeria	Category:ナイジェリア
Wàll:Poloñ	Category:ポーランド
Wàll:Portugaal	Category:ポルトガル
Wàll:Kore gu Bëj-saalum	Category:大韓民国
Wàll:Sudaan	Category:スーダン
Wàll:Suwis	Category:スイス
Wàll:Tansani	Category:タンザニア
Wàll:Ukreen	Category:ウクライナ
Wàll:Wiyetnaam	Category:ベトナム
Wàll:Picc	Category:鳥類
Wàll:Gàncax	Category:植物
Wàll:Jëmm	Category:物理学
Wàll:Taariix	Category:歴史
Wàll:Melosuuf	Category:地理
Wàll:Diine	Category:宗教
Wàll:Sport	Category:スポーツ
Wàll:Xam-xam	Category:科学
Wàll:Sinemaa	Category:映画
Wàll:Suuf	Category:地球
Wàll:Xibaar	Category:情報
Siin-Saalum	シヌ＝サルーム
Aana	アンナ (預言者)
Aser	アシェル
Mori	ニシイタチウオ
Tamxarit	ムハッラム
Wàll:Xeltu	Category:哲学
Wàll:Lislaam	Category:イスラム教
Tunduw Ndakaaru	ダカール県
Mohammad Mousavi	モハンマド・ムーサビ
Benedicta Boccoli	ベネディクタ・ボッコーリ
Wàll:Junj	Category:スタブ
Wàll:Gox yi	Category:大陸
Bunt:Melosuuf	Portal:地理学
Mikroneesi	ミクロネシア
Royuwaay:M	Template:Tl
Royuwaay:Yeneenlàkk	Template:メインページ/他言語版
Wàll:Réew	Category:国
Wàll:Koom-koom	Category:経済学
Wikipedia:Yorkat	Wikipedia:管理者
Wàll:Kasakistaan	Category:カザフスタン
Wikipedia:Bureaucrats	Wikipedia:ビューロクラット
Wikipedia:Bot	Wikipedia:Bot
Wàll:Paj	Category:医学
Wàll:Politig	Category:政治
Wàll:Fànn	Category:芸術
Isipt	エジプト
Royuwaay:Bot	Template:Bot
Kanadaa	カナダ
Wàll:Beljik	Category:ベルギー
Wàll:Ciipër	Category:キプロス
Wàll:Réewum Cek	Category:チェコ
Wàll:Danmaark	Category:デンマーク
Wàll:Estooni	Category:エストニア
Wàll:Finlaand	Category:フィンランド
Wàll:Girees	Category:ギリシャ
Wàll:Letóoni	Category:ラトビア
Wàll:Islaand	Category:アイスランド
Wàll:Luksambuur	Category:ルクセンブルク
Wàll:Lituwaani	Category:リトアニア
Wàll:Malt	Category:マルタ
Wàll:Suweed	Category:スウェーデン
Wàll:Eslowaaki	Category:スロバキア
Wàll:Esloweeni	Category:スロベニア
Bunt: Xarala	Portal:自然科学
Wàll:Tugal	Category:ヨーロッパ
Wommatiinu mbëj	電気伝導率
Wàll:Waa-wikipedia ci làkk-ak-làkk	Category:言語別の利用者
Sung Jae-gi	成在基
Royuwaay:Softredirect	Template:Softredirect
Royuwaay:Far	Template:即時削除
Wàll:Xarala	Category:技術
Wàll:Làkk	Category:諸言語
Wàll:Arminaat	Category:暦法
Wàll:Wikipedia	Category:ウィキペディア
Royuwaay:!	Template:!
Wàll:Afrig	Category:アフリカ
Wàll:Sulet	Category:7月
Wàll:Suwe	Category:6月
