阿非利加洲	アフリカ
鍺	ゲルマニウム
泰國	タイ王国
砒	ヒ素
硒	セレン
溴	臭素
鉑	白金
越南	ベトナム
大韓民國	大韓民国
氪	クリプトン
阿富汗	アフガニスタン
江南風	江南スタイル
銣	ルビジウム
金	金
蘇彝士運河	スエズ運河
孟加拉國	バングラデシュ
蘇格拉底	ソクラテス
安哥拉	アンゴラ
不丹	ブータン
汶萊	ブルネイ
汞	水銀
菲律賓	フィリピン
中非	中央アフリカ共和国
鉈	タリウム
南極	南極点
北極	北極点
牛頓	アイザック・ニュートン
鍶	ストロンチウム
釔	イットリウム
鉍	ビスマス
尚比亞	ザンビア
津巴布韋	ジンバブエ
北京市	北京市
南蘇丹	南スーダン
海參崴	ウラジオストク
波札那	ボツワナ
剛果民主共和國	コンゴ民主共和国
吉布提	ジブチ
加蓬	ガボン
甘地	マハトマ・ガンディー
利比亞	リビア
馬達加斯加	マダガスカル
摩洛哥	モロッコ
莫桑比克	モザンビーク
納米比亞	ナミビア
尼日利亞	ナイジェリア
烏干達	ウガンダ
索馬里	ソマリア
凱撒	ガイウス・ユリウス・カエサル
蘇丹	スーダン
斯威士蘭	スワジランド
鍀	テクネチウム
天演	進化
聯合國	国際連合
地理學	地理学
腦	脳
布拉格	プラハ
銀	銀
錫	スズ
鈾	ウラン
鈈	プルトニウム
碘	ヨウ素
氙	キセノン
銫	セシウム
鐳	ラジウム
氡	ラドン
賈坎德邦	ジャールカンド州
耶路撒冷	エルサレム
印度洋	インド洋
科索沃	コソボ
蕭邦	フレデリック・ショパン
Category:類	Category:主要カテゴリ
帕斯卡	ブレーズ・パスカル
冬	冬
春	春
夏	夏
秋	秋
薩達姆·海珊	サッダーム・フセイン
拉登	ウサーマ・ビン・ラーディン
西班牙語	スペイン語
巴赫	ヨハン・ゼバスティアン・バッハ
泉幣	貨幣
奧古斯都	アウグストゥス
諾基亞	ノキア
德克薩斯州	テキサス州
布宜諾斯艾利斯	ブエノスアイレス
東京都	東京都
密西西比河	ミシシッピ川
錫金	シッキム州
尼爾杭思朗	ニール・アームストロング
斯德哥爾摩	ストックホルム
墓誌	エピタフ
里加	リガ
聖經	聖書
金邊	プノンペン
真耶穌教會	真イエス教会
英語	英語
曼谷	バンコク
臺北市	台北市
鎇	アメリシウム
康賽普西翁	コンセプシオン (チリ)
緬尼托巴	マニトバ州
孔斯科沃拉	コィンスコヴォラ
公元二千年	2000年
二〇〇三年	2003年
二〇〇二年	2002年
二〇〇一年	2001年
二〇一二年	2012年
二〇一一年	2011年
二〇一〇年	2010年
二〇〇九年	2009年
二氧化碳	二酸化炭素
二〇一三年	2013年
二〇一四年	2014年
二〇一五年	2015年
二〇〇八年	2008年
二〇〇四年	2004年
二〇〇五年	2005年
二〇〇六年	2006年
二〇〇七年	2007年
一氧化碳	一酸化炭素
戴高樂	シャルル・ド・ゴール
一九九二年	1992年
一九九一年	1991年
一九九〇年	1990年
一九九三年	1993年
一九九四年	1994年
一九九五年	1995年
一九九六年	1996年
可縮放矢量圖形	Scalable Vector Graphics
萊比錫	ライプツィヒ
一九九七年	1997年
一九九八年	1998年
一九九九年	1999年
食物	食品
光速	光速
公曆一月一日	1月1日
公曆一月二日	1月2日
公曆一月三日	1月3日
公曆一月四日	1月4日
矮行星	準惑星
公曆一月五日	1月5日
公曆一月六日	1月6日
電子	電子
公曆一月七日	1月7日
公曆一月八日	1月8日
公曆一月九日	1月9日
公曆一月十日	1月10日
公曆一月十一日	1月11日
公曆一月十二日	1月12日
公曆一月十三日	1月13日
公曆一月十四日	1月14日
公曆一月十五日	1月15日
工業革命	産業革命
苯	ベンゼン
微軟	マイクロソフト
質子	陽子
庫魯夫	クルフ
公曆二月五日	2月5日
公曆二月八日	2月8日
化學	化学
中子	中性子
公曆二月廿九日	2月29日
公曆三月十四日	3月14日
一九八九年	1989年
一九八八年	1988年
一九八七年	1987年
一九八六年	1986年
一九八五年	1985年
一九八四年	1984年
一九八三年	1983年
一九八二年	1982年
一九八一年	1981年
一九八〇年	1980年
一九七〇年	1970年
一九七一年	1971年
一九七二年	1972年
一九七三年	1973年
一九七四年	1974年
一九七五年	1975年
一九七六年	1976年
一九七七年	1977年
一九七八年	1978年
一九七九年	1979年
一九六九年	1969年
公曆四月五日	4月5日
衛星	衛星
公曆五月四日	5月4日
土衛六	タイタン (衛星)
一九六八年	1968年
一九六七年	1967年
一九六六年	1966年
一九六五年	1965年
一九六四年	1964年
公曆六月廿日	6月20日
公曆七月廿三日	7月23日
足球	サッカー
一九六三年	1963年
一九六二年	1962年
公曆九月十日	9月10日
公曆十二月卅一日	12月31日
公曆十月十日	10月10日
灶神星	ベスタ (小惑星)
查理曼	カール大帝
木衛一	イオ (衛星)
木衛四	カリスト (衛星)
木衛二	エウロパ (衛星)
木衛三	ガニメデ (衛星)
火	火
新南威爾士州	ニューサウスウェールズ州
土衛二	エンケラドゥス (衛星)
天衛三	チタニア (衛星)
海衛一	トリトン (衛星)
雅加達	ジャカルタ
一九六一年	1961年
Category:模板	Category:ウィキペディアのテンプレート
一九六〇年	1960年
小行星	小惑星
日食	日食
二進制	二進法
阿斯圖里亞斯	アストゥリアス州
維基大典:沙盒	Wikipedia:サンドボックス
卡爾梅克共和國	カルムイク共和国
代數學	代数学
地圖	地図
阿拉貢自治區	アラゴン州
前卅三年	紀元前33年
硫酸	硫酸
同海機場	ドンホイ空港
Category:大韓民國紀事	Category:韓国の歴史
Category:日本史	Category:日本の歴史
伯力	ハバロフスク
Category:越南史	Category:ベトナムの歴史
孔子	孔子
莎拉伯恩哈特	サラ・ベルナール
Category:伊拉克史	Category:イラクの歴史
南加州大学	南カリフォルニア大学
Category:數學	Category:数学
Category:蒙古史	Category:モンゴルの歴史
Category:人造語言	Category:人工言語
文藝復興	ルネサンス
歐元	ユーロ
美金	アメリカ合衆国ドル
地中海	地中海
遼	遼
杭州市	杭州市
基督教	キリスト教
Template:亞洲	Template:アジア
Template:然也	Template:賛成
金朝	金 (王朝)
金章宗	章宗 (金)
柏林圍牆	ベルリンの壁
稻	米
大陸	大陸
京	首都
Template:門	Template:ウィキポータルリンク
一九四八年	1948年
艾爾瑪善鎮	アルマサン
黃現璠	黄現ハン
一九四五年	1945年
一九五八年	1958年
日語	日本語
百科全書	百科事典
維基大典:卷首	メインページ
一九五九年	1959年
Template:正典	Template:Good article
電晶體	トランジスタ
棒球	野球
奧林匹克運動會	近代オリンピック
長江	長江
喜瑪拉雅山	ヒマラヤ山脈
落磯山	ロッキー山脈
韃靼斯坦共和國	タタールスタン共和国
一二六三年	1263年
古斯巴達	スパルタ
埃斯特雷馬杜拉	エストレマドゥーラ州
安達盧西亞	アンダルシア州
麥加	メッカ
毛澤東	毛沢東
西安市	西安市
拉薩市	ラサ市
哲學	哲学
Category:速刪候	Category:即時削除対象のページ
茶	茶
馬可·波羅	マルコ・ポーロ
一三六三年	1363年
共產主義	共産主義
一三六八年	1368年
迦太基	カルタゴ
大英博物館	大英博物館
巴拉頓湖	バラトン湖
蒙庇利埃	モンペリエ
Category:天文	Category:天文学
吉他	ギター
同性戀	同性愛
漢堡包	ハンバーガー
夸克	クォーク
高斯	カール・フリードリヒ・ガウス
一六四四年	1644年
一六四五年	1645年
Category:恒星	Category:恒星
李白	李白
伽羅華	エヴァリスト・ガロア
政府	政府
秦始皇帝	始皇帝
秦二世皇帝	胡亥
秦王子嬰	子嬰
中東	中東
漢	漢
漢太祖高皇帝	劉邦
漢孝惠皇帝	恵帝 (漢)
漢少帝恭	少帝恭
漢少帝弘	少帝弘
漢太宗孝文皇帝	文帝 (漢)
漢孝景皇帝	景帝 (漢)
漢世宗孝武皇帝	武帝 (漢)
聖女貞德	ジャンヌ・ダルク
漢孝昭皇帝	昭帝 (漢)
漢廢帝昌邑王	劉賀
漢中宗孝宣皇帝	宣帝 (漢)
漢孝元皇帝	元帝 (漢)
漢孝成皇帝	成帝 (漢)
漢孝哀皇帝	哀帝 (漢)
漢孝平皇帝	平帝 (漢)
漢孺子嬰	孺子嬰
王莽	王莽
意理	イデオロギー
帝國主義	帝国主義
漢更始帝	更始帝
漢世祖光武皇帝	光武帝
共和	共和制
漢顯宗孝明皇帝	明帝 (漢)
國	国家
漢肅宗孝章皇帝	章帝
漢孝和皇帝	和帝 (漢)
漢孝殤皇帝	殤帝 (漢)
漢孝安皇帝	安帝 (漢)
漢少帝懿	少帝懿
漢孝順皇帝	順帝 (漢)
漢孝沖皇帝	冲帝
漢孝質皇帝	質帝
漢孝桓皇帝	桓帝 (漢)
漢孝靈皇帝	霊帝 (漢)
漢少帝辯	少帝弁
元	元 (王朝)
漢孝獻皇帝	献帝 (漢)
德意志第三帝國	ナチス・ドイツ
哥倫布	クリストファー・コロンブス
庫克船長	ジェームズ・クック
科爾蒂斯	エルナン・コルテス
鄭和	鄭和
大堡礁	グレート・バリア・リーフ
巴拿馬運河	パナマ運河
晉	晋 (王朝)
黃河	黄河
晉武帝	司馬炎
司馬倫	司馬倫
晉元帝	元帝 (東晋)
隋	隋
西夏	西夏
脫氧核酸	デオキシリボ核酸
夏仁宗	仁宗 (西夏)
趙宋	宋 (王朝)
宋太祖	趙匡胤
宋徽宗	徽宗
宋高宗	高宗 (宋)
宋孝宗	孝宗 (宋)
宋光宗	光宗 (宋)
宋寧宗	寧宗 (宋)
宋理宗	理宗
宋度宗	度宗
宋恭帝	恭帝 (宋)
宋端宗	端宗 (宋)
宋帝昺	祥興帝
歐拉	レオンハルト・オイラー
一七七四年	1774年
一七七五年	1775年
一七七六年	1776年
一八六六年	1866年
一八六七年	1867年
一八六八年	1868年
晝	朝
拿破崙二世	ナポレオン2世
砒霜	三酸化二ヒ素
法律	法 (法学)
一七九四年	1794年
世界人權宣言	世界人権宣言
一七九五年	1795年
一七九六年	1796年
漢語	中国語
細胞	細胞
全球暖化	地球温暖化
禪宗	禅
鼠標	マウス (コンピュータ)
聖奧思定	アウグスティヌス
精靈	フェアリー
朊	タンパク質
理則	論理学
龍捲風	竜巻
幾何	幾何学
語法	文法
熱帶氣旋	熱帯低気圧
計學	経済学
語言學	言語学
文字	文字
阿拉伯字	アラビア文字
漢字	漢字
西里爾字母	キリル文字
孫子兵法	孫子 (書物)
Category:音樂	Category:音楽
紅樓夢	紅楼夢
Category:法國史	Category:フランスの歴史
哈利波特	ハリー・ポッターシリーズ
放手銃	オナニー
法文維基大典	フランス語版ウィキペディア
死刑	死刑
人權	人権
乳	乳
山	山
沙漠	砂漠
孫文	孫文
薩拉丁	サラーフッディーン
阿育王	アショーカ王
阿克巴大帝	アクバル
香港	香港
元天順帝	アリギバ
韓戰	朝鮮戦争
南北戰爭	南北戦争
首爾特別市	ソウル特別市
上海市	上海市
清	清
越戰	ベトナム戦争
歐几里得	エウクレイデス
巴斯克語	バスク語
星座	星座
拉脫維亞語	ラトビア語
原子	原子
宗教	宗教
朝鮮語	朝鮮語
笛卡兒	ルネ・デカルト
官話	官話
越南語	ベトナム語
猶太教	ユダヤ教
老子	老子
電鼠	ピカチュウ
尼采	フリードリヒ・ニーチェ
司馬遷	司馬遷
斯密亞丹	アダム・スミス
朱熹	朱子
廷巴克圖	トンブクトゥ
洋	大洋
阿奎那	トマス・アクィナス
英王維多利亞	ヴィクトリア (イギリス女王)
釋迦牟尼	釈迦
馬丁·路德	マルティン・ルター
儒家	儒教
腹	腹
陰脈	静脈
福克蘭群島	フォークランド諸島
陽脈	動脈
唐	唐
威爾斯王妃黛安娜	ダイアナ (プリンセス・オブ・ウェールズ)
唐高祖	李淵
唐太宗	太宗 (唐)
唐玄宗	玄宗 (唐)
唐德宗	徳宗 (唐)
唐順宗	順宗 (唐)
唐憲宗	憲宗 (唐)
唐敬宗	敬宗
唐宣宗	宣宗 (唐)
小學	小学校
明	明
明太祖	朱元璋
明惠宗	建文帝
明成祖	永楽帝
明仁宗	洪熙帝
明宣宗	宣徳帝
明英宗	英宗 (明)
明代宗	景泰帝
明憲宗	成化帝
明孝宗	弘治帝
明武宗	正徳帝
明世宗	嘉靖帝
明穆宗	隆慶帝
明神宗	万暦帝
明光宗	泰昌帝
明熹宗	天啓帝
明思宗	崇禎帝
電漿	プラズマ
北斗七星	北斗七星
金正日	金正日
元素週期表	周期表
自殺	自殺
九一一事件	アメリカ同時多発テロ事件
電話	電話機
梵語	サンスクリット
化合物	化合物
算術	算術
食鹽	塩
化學元素	元素
方程	方程式
映射	関数 (数学)
角	角度
分子	分子
加速度	加速度
能量	エネルギー
弈	囲碁
金屬	金属
氣體	気体
液體	液体
固體	固体
船舶	船
農	農業
速度	速度
納米科技	ナノテクノロジー
勾股定理	ピタゴラスの定理
證明	証明
數	数
複數	複素数
公斤	キログラム
公尺	メートル
大麥	オオムギ
繪畫	絵画
華爾街	ウォール街
美國總統	アメリカ合衆国大統領
東南亞	東南アジア
瀋陽市	瀋陽市
重慶市	重慶市
天津市	天津市
武漢市	武漢市
史前	先史時代
古埃及	古代エジプト
白令海峽	ベーリング海峡
古希臘	古代ギリシア
傑弗遜	トーマス・ジェファーソン
麥	コムギ
格里曆	グレゴリオ暦
拉丁文維基大典	ラテン語版ウィキペディア
麻雀 (棋牌)	麻雀
鹽	塩 (化学)
牛頓（單位）	ニュートン
度量衡	測定
萬國公制	国際単位系
集論	集合論
哈里發塔	ブルジュ・ハリファ
長城	万里の長城
整數	整数
球	球面
大憲章	マグナ・カルタ
阿兹特克	アステカ
上塞納省	オー＝ド＝セーヌ県
東羅馬帝國	東ローマ帝国
奧斯曼帝國	オスマン帝国
國內生產總值	国内総生産
銃	銃
伊比利半島	イベリア半島
坦克	戦車
實數	実数
楈枒	ココナッツ
桃	モモ
湘語	湘語
冰酪	アイスクリーム
文胸	ブラジャー
阿拉伯語	アラビア語
本州	本州
四國	四国
地中海氣候	地中海性気候
科西嘉	コルシカ島
頂級域名	トップレベルドメイン
百度	百度
澳門	マカオ
尖沙咀	尖沙咀
土衛一	ミマス (衛星)
土衛四	ディオネ (衛星)
土衛三	テティス (衛星)
土衛五	レア (衛星)
廣東省	広東省
廣西壯族自治區	広西チワン族自治区
蘇聯	ソビエト連邦
香港中文大學	香港中文大学
亡神星	オルクス (小惑星)
塞德娜	セドナ (小惑星)
孟德斯鳩	シャルル・ド・モンテスキュー
青馬大橋	青馬大橋
維基大典:卓著	Wikipedia:秀逸な記事
Template:Link FA	Template:Link FA
維基大典:會館	Wikipedia:井戸端
釜山廣域市	釜山広域市
廣州市	広州市
蔣中正	蒋介石
南京市	南京市
君士坦丁堡	コンスタンティノープル
首爾地鐵	首都圏電鉄
北京大學	北京大学
清華大學	清華大学
烏魯木齊市	ウルムチ市
江蘇省	江蘇省
浙江省	浙江省
鄧小平	トウ小平
新好男孩	バックストリート・ボーイズ
西藏	チベット
西藏自治區	チベット自治区
圓	円 (数学)
歐氏幾何	ユークリッド空間
周恩來	周恩来
中國共產黨	中国共産党
馮諾曼	ジョン・フォン・ノイマン
偽基大典	アンサイクロペディア
太平山	ヴィクトリア・ピーク
公理	公理
清聖祖	康熙帝
朝鮮文維基大典	朝鮮語版ウィキペディア
檀香山	ホノルル
紋章	紋章学
曼徹斯特聯足球俱樂部	マンチェスター・ユナイテッドFC
平壤直轄市	平壌
模 (代數)	環上の加群
訓民正音	訓民正音
九	9
清高宗	乾隆帝
司徒華	司徒華
蕭伯納	ジョージ・バーナード・ショー
黑龍江省	黒竜江省
香港島	香港島
鹼金屬	第1族元素
非金屬	非金属元素
鹵素	第17族元素
稀有氣體	第18族元素
維基大典:正典	Wikipedia:良質な記事
四川省	四川省
舊約	旧約聖書
聖誕節	クリスマス
三角形	三角形
印歐語系	インド・ヨーロッパ語族
穆阿邁爾·格達費	ムアンマル・アル＝カッザーフィー
獨島	竹島 (島根県)
江南區	江南区 (ソウル特別市)
大田廣域市	大田広域市
大邱廣域市	大邱広域市
仁川國際機場	仁川国際空港
仁川廣域市	仁川広域市
京畿道	京畿道
自然數	自然数
萬國音標字	国際音声記号
河北省	河北省
革奴自由文檔許可協議	GNU Free Documentation License
臺灣	台湾
紐約	ニューヨーク (曖昧さ回避)
汝矣島	汝矣島
公元元年	1年
魯迅	魯迅
八	8
馬德堡半球	マクデブルクの半球
主禱文	主の祈り
蒜	ニンニク
白	白
黑	黒
六九八年	698年
巴爾幹半島	バルカン半島
七二七年	727年
墨索里尼	ベニート・ムッソリーニ
四方	方位
十	10
原子序	原子番号
九一八年	918年
公元百年	100年
五七〇年	570年
四時	季節
二二二年	222年
利物浦	リヴァプール
鐵達尼號	タイタニック (客船)
五五二年	552年
同位素	同位体
蜚蠊	ゴキブリ
功率	仕事率
螢	ホタル
索布語	ソルブ語
一八一二年戰爭	米英戦争
頂點	頂点
大理國	大理国
朝鮮正祖	正祖
福岡市	福岡市
建城	ローマ建国紀元
日本海	日本海
宮古列島	宮古列島
中亞	中央アジア
琉球國	琉球王国
伽倻	伽耶
朝鮮國	李氏朝鮮
高麗國	高麗
大韓帝國	大韓帝国
渤海國	渤海 (国)
高句麗	高句麗
百濟	百済
新羅	新羅
扶餘	夫余
奧匈帝國	オーストリア＝ハンガリー帝国
吸血鬼日記	ヴァンパイア・ダイアリーズ
馬雅	マヤ文明
印加國	インカ帝国
縣	カウンティ
韓非子	韓非
錦州市	錦州市
導數	微分法
黃帝	黄帝
釣魚臺列嶼	尖閣諸島
中國	中国
成都市	成都市
咖啡廳	カフェ
蒲公英	タンポポ
雪豹	ユキヒョウ
白話維基大典	中国語版ウィキペディア
二二一年	221年
五四三年	543年
五三六年	536年
二三〇年	230年
二〇二年	202年
一九二年	192年
總統	大統領
五五五年	555年
五七一年	571年
滿洲國	満州国
二三一年	231年
二二五年	225年
三一一年	311年
二二〇年	220年
三一三年	313年
五八七年	587年
五四八年	548年
五四九年	549年
五五一年	551年
五五七年	557年
兄弟	兄弟姉妹
二二三年	223年
二二四年	224年
二一九年	219年
大運河	京杭大運河
五八九年	589年
七出三不去	七去
華佗	華佗
黃宗羲	黄宗羲
三〇四年	304年
五五〇年	550年
五八六年	586年
五八八年	588年
五五四年	554年
二二九年	229年
五八三年	583年
二六五年	265年
二六三年	263年
五八五年	585年
五八二年	582年
五五六年	556年
四二〇年	420年
二八〇年	280年
五八一年	581年
五五八年	558年
國立臺灣大學	国立台湾大学
國立中山大學	国立中山大学
東干語	ドンガン語
客家語	客家語
切羅基語	チェロキー語
羅素悖論	ラッセルのパラドックス
五六九年	569年
贛語	カン語
爪哇語	ジャワ語
司馬光	司馬光
滿語	満州語
弧度	ラジアン
五五三年	553年
三〇七年	307年
五八四年	584年
杜甫	杜甫
人口	人口
瓦爾帕萊索	バルパライソ
青銅	青銅
情報及特殊使命局	イスラエル諜報特務庁
尼亞加拉瀑布	ナイアガラの滝
吳語	呉語
昭和天皇	昭和天皇
基地組織	アルカーイダ
穆罕默德二世	メフメト2世
希臘神話	ギリシア神話
秦	秦
新疆維吾爾族自治區	新疆ウイグル自治区
郵局	郵便局
萬國首都全覽	首都の一覧
周	周
形而上學	形而上学
白宮	ホワイトハウス
北海道	北海道
科科斯（基林）群島	ココス諸島
胡志明	ホー・チ・ミン
蘇軾	蘇軾
明尼阿波利斯	ミネアポリス
集	集合
順化市	フエ
閩東語	ビン東語
閩南語	ビン南語
離子	イオン
壯族	チワン族
南斯拉夫	ユーゴスラビア
長毛象	マンモス
四邊形	四角形
三船敏郎	三船敏郎
文言	漢文
線	直線
甲烷	メタン
孫武	孫武
中央情報局	中央情報局
語法學	統語論
聯合國安全理事會	国際連合安全保障理事会
眼鏡	眼鏡
火柴	マッチ
多邊形	多角形
市場	市場
南海	南シナ海
朝鮮世宗	世宗 (朝鮮王)
俳句	俳句
黃海	黄海
今上天皇	明仁
橫濱市	横浜市
普魯士	プロイセン
前四年	紀元前4年
柳州市	柳州市
皇帝	皇帝
索契	ソチ
壓強	圧力
龍貓	となりのトトロ
线粒体	ミトコンドリア
號	号 (称号)
吠陀	ヴェーダ
橢圓	楕円
杠杆	てこ
自由亞洲電臺	ラジオ・フリー・アジア
蟹	カニ
前九十年	紀元前90年
酸鹼度	水素イオン指数
美國革命	アメリカ独立戦争
安徽省	安徽省
前九十一年	紀元前91年
忠清北道	忠清北道
江原道	江原道 (朝鮮八道)
忠清南道	忠清南道
內蒙古自治區	内モンゴル自治区
金日成	金日成
慶尚南道	慶尚南道
慶尚北道	慶尚北道
全羅北道	全羅北道
全羅南道	全羅南道
濟州特別自治道	済州特別自治道
鬱陵島	鬱陵島
巴別塔	バベルの塔
蔚山廣域市	蔚山広域市
光州廣域市	光州広域市
一元二次方程	二次方程式
李斯特	フランツ・リスト
美式足球	アメリカンフットボール
前八十七年	紀元前87年
哥德爾	クルト・ゲーデル
摩爾	モル
華國鋒	華国鋒
烷烴	アルカン
希爾伯特	ダフィット・ヒルベルト
前九十五年	紀元前95年
黃金分割	黄金比
福建省	福建省
班夫國家公園	バンフ国立公園
查士丁尼一世	ユスティニアヌス1世
前七十四年	紀元前74年
慶州市	慶州市
安東市	安東市
尚州市	尚州市
阿貝爾·塔斯曼	アベル・タスマン
海南省	海南省
功	仕事 (物理学)
漢語拼音	ピン音
莽原氣候	サバナ (地理)
甘肅省	甘粛省
蘇州市	蘇州市
溫州市	温州市
無錫市	無錫市
湖州市	湖州市
紹興市	紹興市
崑山市	崑山市
寧波市	寧波市
紙鳶	凧
前二〇一年	紀元前201年
前二〇二年	紀元前202年
哈爾濱市	ハルビン市
油	油
拓撲學	位相幾何学
文身	入れ墨
金融學	金融
雲南省	雲南省
多項式	多項式
國立虎尾科技大學	国立虎尾科技大学
山東省	山東省
中南半島	インドシナ半島
天擇	自然選択説
地質年代	地質時代
壟斷	独占
河南省	河南省
遼寧省	遼寧省
席德	エル・シッド
刳剔者傑克	切り裂きジャック
前一五六年	紀元前156年
列奧尼達一世	レオニダス1世
前一三九年	紀元前139年
前一二二年	紀元前122年
前二〇六年	紀元前206年
西爾門·拉什迪	サルマン・ラシュディ
前二〇三年	紀元前203年
化學鍵	化学結合
槍	槍
前一四一年	紀元前141年
僧院	僧院
白堊紀	白亜紀
前二〇九年	紀元前209年
皮薩羅	フランシスコ・ピサロ
點	点 (数学)
骰子	サイコロ
吉林省	吉林省
東海	東シナ海
前二三二年	紀元前232年
湖南省	湖南省
青海省	青海省
前一九七年	紀元前197年
前二〇七年	紀元前207年
前一八八年	紀元前188年
矢	矢
