Aphrika	アフリカ
K'allampa	菌類
Shamayka	ジャマイカ
Grinada	グレナダ
Friesland pruwinsya	フリースラント州
Massachusetts suyu	マサチューセッツ州
Drenthe pruwinsya	ドレンテ州
Overijssel pruwinsya	オーファーアイセル州
Watimala	グアテマラ
Gelderland	ヘルダーラント州
Utrecht pruwinsya	ユトレヒト州
Bahamakuna	バハマ
Connecticut suyu	コネチカット州
Wallpa	ニワトリ
Hawaii suyu	ハワイ州
Unduras	ホンジュラス
Duminika	ドミニカ国
Duminikana	ドミニカ共和国
Khuchi	ブタ
Artiku mama qucha	北極海
Ayti (mama llaqta)	ハイチ
Salwadur	エルサルバドル
Zwolle	ズヴォレ
Iran	イラン
Iraq	イラク
Alaska suyu	アラスカ州
Assen	アッセン
Kustarika	コスタリカ
Israyil	イスラエル
Nowy Sącz	ノヴィ・ソンチ
Utrecht	ユトレヒト
Panama	パナマ
Yaman	イエメン
Lausanne	ローザンヌ
Añaw	ウイルス
Pulaku simi	ポーランド語
Hurdanya	ヨルダン
Nikarawa	ニカラグア
Florida suyu	フロリダ州
Kirkisuyu	キルギス
Arizona suyu	アリゾナ州
Kuwait	クウェート
Law suyu	ラオス
Libanu	レバノン
Oregon suyu	オレゴン州
Maldiwakuna	モルディブ
Awya Yala (Mulanpi)	アメリカ州
Utah suyu	ユタ州
Waaka	ウシ
Malasya	マレーシア
Myanmar	ミャンマー
Nipal	ネパール
Uman	オマーン
Pakistan	パキスタン
Qatar	カタール
Sawud Arabya	サウジアラビア
Sri Lanka	スリランカ
Yosif Stalin	ヨシフ・スターリン
Sirya	シリア
Platon	プラトン
Galyu	ガリウム
Tayiksuyu	タジキスタン
Chunwa Republika	中華民国
Germanyu	ゲルマニウム
Aristotelis	アリストテレス
Thaysuyu	タイ王国
Antakuru	列車
Arsiniku	ヒ素
Ankichiy	ラジオ
Turkminsuyu	トルクメニスタン
Silinyu	セレン
Iridyu	イリジウム
Hukllachasqa Arab Imiratukuna	アラブ首長国連邦
Bromu	臭素
Qullqiya	白金
Witnam	ベトナム
Charlie Chaplin	チャールズ・チャップリン
Nowosibirsk	ノヴォシビルスク
Tayhan Republika	大韓民国
Jekaterinburg	エカテリンブルク
Kriptun	クリプトン
Afgansuyu	アフガニスタン
Nizhniy Novgorod	ニジニ・ノヴゴロド
John Ronald Reuel Tolkien	J・R・R・トールキン
Samara	サマーラ
Rubidyu	ルビジウム
Quri	金
Omsk	オムスク
Kazan	カザン
Yachaq	科学者
Banladish	バングラデシュ
Franz Kafka	フランツ・カフカ
Jorge Luis Borges	ホルヘ・ルイス・ボルヘス
Ufa	ウファ
Mali	マリ共和国
Sokratis	ソクラテス
Angula	アンゴラ
Butan	ブータン
Bruniy	ブルネイ
Tansanya	タンザニア
Yaku qullqi	水銀
Roald Amundsen	ロアール・アムンセン
Philipinakuna	フィリピン
Chawpi Aphrika Ripuwlika	中央アフリカ共和国
Thalyu	タリウム
Urin qhipa	南極点
Chinchay qhipa	北極点
Isaac Newton	アイザック・ニュートン
Albert Einstein	アルベルト・アインシュタイン
Istronsyu	ストロンチウム
Itriyu	イットリウム
Wismutu	ビスマス
Q'illu	黄色
Tugu	トーゴ
Donald Tusk	ドナルド・トゥスク
Tunisya	チュニジア
John Bardeen	ジョン・バーディーン
Sambya	ザンビア
Simbabwi	ジンバブエ
Pikkin	北京市
Urin Sudan	南スーダン
Binin	ベナン
Butswana	ボツワナ
Burkina Phasu	ブルキナファソ
Burundi	ブルンジ
Kumurakuna	コモロ
Kungu Ripuwlika	コンゴ共和国
Obi mayu	オビ川
Kungu Runakamaq Ripuwlika	コンゴ民主共和国
San Antonio (Texas)	サンアントニオ
Yiwuti	ジブチ
Polonyu	ポロニウム
Bayern	バイエルン州
Chawpipacha Khiniya	赤道ギニア
Baden-Württemberg	バーデン＝ヴュルテンベルク州
Iritriya	エリトリア
Musuq Dilhi	ニューデリー
Huwan Pawlu II	ヨハネ・パウロ2世 (ローマ教皇)
Fedor Dostoievski	フョードル・ドストエフスキー
Tbilisi	トビリシ
Pallpa	赤ちゃん
Astatu	アスタチン
Gabun	ガボン
Mohandas Gandhi	マハトマ・ガンディー
Siq'isqa rikchasapa willakuy	漫画
Gambya	ガンビア
Khiniya	ギニア
Khiniya-Wisaw	ギニアビサウ
Marphil Chala	コートジボワール
Kamirun	カメルーン
Q'umir Kawu	カーボベルデ
Suthusuyu	レソト
Libirya	リベリア
Libya	リビア
Aachen	アーヘン
Madagaskar	マダガスカル
Malawi	マラウイ
Stuttgart	シュトゥットガルト
Muritanya	モーリタニア
Mawrisyu	モーリシャス
Maruku	モロッコ
Musambik	モザンビーク
Namiwya	ナミビア
Niqir	ニジェール
Niqirya	ナイジェリア
Charles Darwin	チャールズ・ダーウィン
Uganda	ウガンダ
Rwanda	ルワンダ
Sirkonyu	ジルコニウム
Santu Tumiy Prinsipipas	サントメ・プリンシペ
Sinigal	セネガル
Sichillakuna	セーシェル
Carl von Linné	カール・フォン・リンネ
Liyun Urqu	シエラレオネ
Sumalya	ソマリア
Niyobyu	ニオブ
Jawaharlal Nehru	ジャワハルラール・ネルー
Gaius Iulius Caesar	ガイウス・ユリウス・カエサル
Sudan	スーダン
Swasisuyu	スワジランド
K'uychi	虹
Molibdenu	モリブデン
Teknesyu	テクネチウム
Hamburg	ハンブルク
Imayay yamkiy	代謝
Unquy hark'ay	免疫系
Ontario qucha	オンタリオ湖
Rikch'aqyay	進化
Huñusqa Nasyunkuna	国際連合
Hananqucha	スペリオル湖
Dante Alighieri	ダンテ・アリギエーリ
Allpa saywachi	地理学
Sunqu	心臓
Ñutqu	脳
Qara	皮膚
Llimphi	色
Salerno	サレルノ
Sutirimana	名詞
Praha	プラハ
Ruthenyu	ルテニウム
Rodyu	ロジウム
Anqas	青
Paladyu	パラジウム
Qullqi q'illay	銀
Kadmiyu	カドミウム
Limburg (Urasuyu) pruwinsya	リンブルフ州 (オランダ)
Indyu	インジウム
Chayanta	スズ
Uranyu	ウラン
Antimunyu	アンチモン
Teluryu	テルル
Noord-Brabant pruwinsya	北ブラバント州
Plutonyu	プルトニウム
Yudu	ヨウ素
Neptunyu	ネプツニウム
Senun	キセノン
Anime	アニメ
Sesyu	セシウム
Protaktinyu	プロトアクチニウム
Pinchikilla chaqna	電荷
Baryu	バリウム
Thoryu	トリウム
Hafniyu	ハフニウム
Aktinyu	アクチニウム
Tantalyu	タンタル
Bill Clinton	ビル・クリントン
Radyu q'illay	ラジウム
Radun	ラドン
Lorraine	ロレーヌ地域圏
Alsace	アルザス地域圏
Jean-Philippe Rameau	ジャン＝フィリップ・ラモー
Indira Gandhi	インディラ・ガンディー
Auvergne	オーヴェルニュ地域圏
Busto Arsizio	ブスト・アルシーツィオ
Mumbai	ムンバイ
Andhra Pradesh	アーンドラ・プラデーシュ州
Michigan suyu	ミシガン州
Michigan qucha	ミシガン湖
Bourgogne	ブルゴーニュ地域圏
Aquitaine	アキテーヌ地域圏
Burinkin	プエルトリコ
Limousin	リムーザン地域圏
Schleswig-Holstein	シュレースヴィヒ＝ホルシュタイン州
Mecklenburg-Vorpommern	メクレンブルク＝フォアポンメルン州
Niedersachsen	ニーダーザクセン州
Nordrhein-Westfalen	ノルトライン＝ヴェストファーレン州
Hessen	ヘッセン州
Rheinland-Pfalz	ラインラント＝プファルツ州
Saarland	ザールラント州
Sachsen	ザクセン州
John Lennon	ジョン・レノン
Illinois suyu	イリノイ州
Thüringen	テューリンゲン州
Sachsen-Anhalt	ザクセン＝アンハルト州
North Dakota suyu	ノースダコタ州
Brandenburg	ブランデンブルク州
Bremen suyu	ブレーメン州
Lombardia	ロンバルディア州
South Dakota suyu	サウスダコタ州
Montana suyu	モンタナ州
Wyoming suyu	ワイオミング州
Piemonte	ピエモンテ州
Yerushalayim	エルサレム
Idaho suyu	アイダホ州
Washington suyu	ワシントン州
Rutherfordyu	ラザホージウム
Nevada suyu	ネバダ州
Dubniyu	ドブニウム
Seaborgyu	シーボーギウム
Trentino Urin Tirul	トレンティーノ＝アルト・アディジェ州
Indiku mama qucha	インド洋
Luigi Einaudi	ルイージ・エイナウディ
Veneto	ヴェネト州
Kusuwu	コソボ
Bohriyu	ボーリウム
Hasyu	ハッシウム
Kofi Annan	コフィー・アナン
Liguria	リグーリア州
Butros Butros-Ghali	ブトロス・ブトロス＝ガーリ
Meitneryu	マイトネリウム
Javier Pérez de Cuéllar	ハビエル・ペレス・デ・クエヤル
Kurt Waldheim	クルト・ヴァルトハイム
Colorado suyu	コロラド州
Emilia-Romagna	エミリア＝ロマーニャ州
U Thant	ウ・タント
Darmstadtiyu	ダームスタチウム
Dag Hammarskjöld	ダグ・ハマーショルド
Frédéric Chopin	フレデリック・ショパン
Trygve Lie	トリグブ・リー
Roentgenyu	レントゲニウム
Toscana	トスカーナ州
Kopernisyu	コペルニシウム
Katiguriya:Qhapaq katiguriya	Category:主要カテゴリ
Abruzzo	アブルッツォ州
Alpikuna	アルプス山脈
Grenoble	グルノーブル
Dortmund	ドルトムント
Chicago	シカゴ
The Beatles	ビートルズ
Ununtriyu	ウンウントリウム
Ununkwadyu	フレロビウム
Ununpentyu	ウンウンペンチウム
Ununheksiyu	リバモリウム
Ununseptiyu	ウンウンセプチウム
Ununoktiyu	ウンウンオクチウム
Como	コモ
Maastricht	マーストリヒト
Arnhem	アーネム
Chiri mit'a	冬
Ch'iraw mit'a	春
Ruphay mit'a	夏
Puquy mit'a	秋
Saddam Hussein	サッダーム・フセイン
Kastilla simi	スペイン語
Montevideo	モンテビデオ
Johann Sebastian Bach	ヨハン・ゼバスティアン・バッハ
Antonio Vivaldi	アントニオ・ヴィヴァルディ
Taki aranway	オペラ
Philadelphia (Pennsylvania)	フィラデルフィア
Kolkata	コルカタ
Chennai	チェンナイ
Dilhi	デリー
Bangalore	バンガロール
Kunti Banla	西ベンガル州
Awaq uru	クモ
Pakcha	クモ綱
Sillwichaki	節足動物
Ruru	果実
K'usillu	サル
Rantina qullqi	貨幣
Virginia suyu	バージニア州
West Virginia suyu	ウェストバージニア州
Wata uchu	トウガラシ
Huron qucha	ヒューロン湖
New York suyu	ニューヨーク州
Seryu	セリウム
Praseodimyu	プラセオジム
Rhode Island suyu	ロードアイランド州
Neodimyu	ネオジム
Palama	昆虫
Maryland suyu	メリーランド州
Delaware suyu	デラウェア州
Lenin	ウラジーミル・レーニン
Iwrupyu	ユウロピウム
Ohio suyu	オハイオ州
Pennsylvania suyu	ペンシルベニア州
Petrarca	ペトラルカ
Giovanni Boccaccio	ジョヴァンニ・ボッカッチョ
Uetersen	ユーテルゼン
Augustus	アウグストゥス
Windows	Microsoft Windows
New Jersey suyu	ニュージャージー州
Phinis simi	フィンランド語
Indiana suyu	インディアナ州
Antawa	自動車
Juventus FC	ユヴェントスFC
Roger Federer	ロジャー・フェデラー
Georgia suyu	ジョージア州
Zagreb	ザグレブ
Texas suyu	テキサス州
Tamil Nadu	タミル・ナードゥ州
Genova	ジェノヴァ
North Carolina suyu	ノースカロライナ州
South Carolina suyu	サウスカロライナ州
Sicilia	シチリア
Manila	マニラ
Sardegna	サルデーニャ
Bordeaux	ボルドー
Corazón Aquino	コラソン・アキノ
Buenos Aires	ブエノスアイレス
Mishiku llaqta	メキシコシティ
Tokyo	東京都
Chuqiyapu	ラパス
Barcelona	バルセロナ
Chirimaway	パイナップル
Mississippi suyu	ミシシッピ州
Fernão de Magalhães	フェルディナンド・マゼラン
Mississippi mayu	ミシシッピ川
Mizoram	ミゾラム州
Pataqunya	パタゴニア
Tennessee suyu	テネシー州
Richard Wagner	リヒャルト・ワーグナー
Astana	アスタナ
Musuq Mishiku suyu	ニューメキシコ州
Athina	アテネ
Minnesota suyu	ミネソタ州
Bagdad	バグダード
Karakas	カラカス
Wisconsin suyu	ウィスコンシン州
Marcus Tullius Cicero	マルクス・トゥッリウス・キケロ
AC Milan	ACミラン
Iowa suyu	アイオワ州
Nebraska suyu	ネブラスカ州
Watimala llaqta	グアテマラシティ
Kansas suyu	カンザス州
La Habana	ハバナ
Hindi simi	ヒンディー語
Marathi simi	マラーティー語
Siyaru	紙巻きたばこ
Missouri suyu	ミズーリ州
Louisiana suyu	ルイジアナ州
Luigi Galvani	ルイージ・ガルヴァーニ
Kentucky suyu	ケンタッキー州
Arkansas suyu	アーカンソー州
Neil Armstrong	ニール・アームストロング
Urdu simi	ウルドゥー語
Oklahoma suyu	オクラホマ州
Danuwyu mayu	ドナウ川
Düsseldorf	デュッセルドルフ
Wiesbaden	ヴィースバーデン
München	ミュンヘン
Makiyasiy	バレーボール
Innsbruck	インスブルック
Wien	ウィーン
København	コペンハーゲン
Stockholm	ストックホルム
Helsinki	ヘルシンキ
Baile Átha Cliath	ダブリン
Reykjavík	レイキャヴィーク
Ella Fitzgerald	エラ・フィッツジェラルド
Tallinn	タリン
Riga	リガ
Louis Armstrong	ルイ・アームストロング
Bratislava	ブラチスラヴァ
Budapest	ブダペスト
Gdańsk	グダニスク
Frankfurt am Main	フランクフルト・アム・マイン
Wrocław	ヴロツワフ
Lanthanu	ランタン
Prometyu	プロメチウム
Samaryu	サマリウム
Kaliningrad	カリーニングラード
Gadolinyu	ガドリニウム
Zinedine Zidane	ジネディーヌ・ジダン
Terbyu	テルビウム
Laurent Blanc	ローラン・ブラン
Luksimbur (llaqta)	ルクセンブルク (都市)
Disprosyu	ジスプロシウム
Vaduz	ファドゥーツ
Dyuspa Simin Qillqa	聖書
Holmyu	ホルミウム
San Marino (uma llaqta)	サンマリノ市
Erbyu	エルビウム
Phnom Penh	プノンペン
Thulyu	ツリウム
Ho Chi Minh llaqta	ホーチミン市
Iterbyu	イッテルビウム
Lutesyu	ルテチウム
Ha Nui	ハノイ
Chiqap Jesuspa Inlisyan	真イエス教会
Inlish simi	英語
Bangkok	バンコク
Andorra la Vella	アンドラ・ラ・ベリャ
T'aypik	台北市
Amerisyu	アメリシウム
Kuriyu	キュリウム
Dong Hoi	ドンホイ
Concepción (Chile)	コンセプシオン (チリ)
Berkelyu	バークリウム
Kalifornyu	カリホルニウム
Bologna	ボローニャ
Einsteinyu	アインスタイニウム
Fermyu	フェルミウム
Cagliari	カリャリ
Mendelewyu	メンデレビウム
Kiyiw	キエフ
Nobelyu	ノーベリウム
Catania	カターニア
Ontario pruwinsya	オンタリオ州
Lawrensyu	ローレンシウム
Caserta	カゼルタ
Mathieu Debuchy	マテュー・ドゥビュシー
Karim Benzema	カリム・ベンゼマ
Franck Ribéry	フランク・リベリー
Ottawa	オタワ
Éric Abidal	エリック・アビダル
Nicolas Anelka	ニコラ・アネルカ
Jérémy Toulalan	ジェレミー・トゥララン
Manitoba pruwinsya	マニトバ州
Alberta pruwinsya	アルバータ州
Nova Scotia pruwinsya	ノバスコシア州
Yerevan	エレバン
Końskowola	コィンスコヴォラ
Dar es Salaam	ダルエスサラーム
New Brunswick pruwinsya	ニューブランズウィック州
British Columbia pruwinsya	ブリティッシュコロンビア州
Prince Edward Island pruwinsya	プリンスエドワードアイランド州
2000	2000年
2003	2003年
2002	2002年
2001	2001年
Saskatchewan pruwinsya	サスカチュワン州
2012	2012年
2011	2011年
2010	2010年
2009	2009年
Chimlasay	二酸化炭素
2013	2013年
2014	2014年
2015	2015年
Newfoundland wan Labrador pruwinsya	ニューファンドランド・ラブラドール州
2008	2008年
2004	2004年
2005	2005年
2006	2006年
Cesare Pavese	チェーザレ・パヴェーゼ
2007	2007年
Verona	ヴェローナ
1900	1900年
1901	1901年
François Mitterrand	フランソワ・ミッテラン
Charles de Gaulle	シャルル・ド・ゴール
1902	1902年
Firenze	フィレンツェ
1903	1903年
1904	1904年
1905	1905年
1907	1907年
1906	1906年
ACF Fiorentina	ACFフィオレンティーナ
1908	1908年
1909	1909年
1992	1992年
1991	1991年
1990	1990年
1993	1993年
Essen	エッセン
1994	1994年
1995	1995年
Juan Manuel Fangio	ファン・マヌエル・ファンジオ
1996	1996年
1910	1910年
1911	1911年
1912	1912年
Leipzig	ライプツィヒ
1913	1913年
Saint John (Newfoundland wan Labrador)	セントジョンズ (ニューファンドランド・ラブラドール州)
1914	1914年
1915	1915年
1916	1916年
1997	1997年
1998	1998年
1999	1999年
1917	1917年
1918	1918年
Mikhuna	食品
Edmonton	エドモントン
Mach'aqway	ヘビ
Jacques Chirac	ジャック・シラク
