Afrika	アフリカ
Domaći pas	イヌ
Ujedinjeno Kraljevstvo	イギリス
Mačka	ネコ
Narodna Republika Kina	中華人民共和国
Francuski jezik	フランス語
Ribe	魚類
Etanol	エタノール
Alkoholno piće	酒
Brazil	ブラジル
Alkohol	アルコール
François Hollande	フランソワ・オランド
Rusija	ロシア
Cetacea	クジラ目
Optičko vlakno	光ファイバー
Kvadrat	正方形
More	海
Crno more	黒海
Pi	円周率
Wiki	ウィキ
Toronto	トロント
Alabama	アラバマ州
São Paulo	サンパウロ
Québec	ケベック州
Pizza	ピザ
Pasta	パスタ
Boeing 747	ボーイング747
Jimmy Wales	ジミー・ウェールズ
Njemačka	ドイツ
Bjelorusija	ベラルーシ
Il Canto degli Italiani	マメーリの賛歌
Njemački jezik	ドイツ語
Island	アイスランド
Bog	神
Estonija	エストニア
David Cameron	デーヴィッド・キャメロン
Saturn	土星
Saturnovi prstenovi	土星の環
Čokolada	チョコレート
Avion	飛行機
Rat	戦争
1 (broj)	1
3 (broj)	3
4 (broj)	4
0 (broj)	0
Beskonačnost	無限
George W. Bush	ジョージ・W・ブッシュ
Pravougaonik	長方形
Pravi ugao	直角
Latvija	ラトビア
Ukrajina	ウクライナ
Češka	チェコ
Slovačka	スロバキア
Slovenija	スロベニア
Vilnius	ヴィリニュス
Moldavija	モルドバ
Rumunija	ルーマニア
Bugarska	ブルガリア
Rim	ローマ
Makedonija	マケドニア共和国
Albanija	アルバニア
Grenland	グリーンランド
Hrvatska	クロアチア
Bosna i Hercegovina	ボスニア・ヘルツェゴビナ
Nuuk	ヌーク
Azerbejdžan	アゼルバイジャン
Andora	アンドラ
Kipar	キプロス
Gruzija	グルジア
Valonija	ワロン地域
Kazahstan	カザフスタン
Malta	マルタ
Flandrija	フランドル
Monako	モナコ
Crna Gora	モンテネグロ
Vatikan	バチカン
San Marino	サンマリノ
Bruxelles	ブリュッセル市
Regija glavnog grada Bruxellesa	ブリュッセル
Kuba	キューバ
Beliz	ベリーズ
Eiffelov toranj	エッフェル塔
Barbados	バルバドス
Volkswagen	フォルクスワーゲン
Volkswagen Golf	フォルクスワーゲン・ゴルフ
Intel	インテル
Tastatura	キーボード (コンピュータ)
Java (programski jezik)	Java
Indonezija	インドネシア
Wolfgang Amadeus Mozart	ヴォルフガング・アマデウス・モーツァルト
Ludwig van Beethoven	ルートヴィヒ・ヴァン・ベートーヴェン
Turski jezik	トルコ語
Južnoafrička Republika	南アフリカ共和国
Jean-François Champollion	ジャン＝フランソワ・シャンポリオン
Linkin Park	リンキン・パーク
Alžir	アルジェリア
Uragan Sandy	ハリケーン・サンディ
Uzbekistan	ウズベキスタン
Taškent	タシュケント
Varšava	ワルシャワ
Eurovision Song Contest	ユーロビジョン・ソング・コンテスト
Modena	モデナ
Viski	ウイスキー
Vino	ワイン
Voda	水
Koža (materijal)	皮革
Drvo (materijal)	木材
Televizija	テレビ
Spol	性 (生物学)
Pornografija	ポルノグラフィ
Islandski jezik	アイスランド語
Claude Monet	クロード・モネ
Diego Velázquez	ディエゴ・ベラスケス
Čile	チリ
El Greco	エル・グレコ
Isus	イエス・キリスト
Elvis Presley	エルヴィス・プレスリー
Sebastián Piñera	セバスティアン・ピニェラ
Galileo Galilei	ガリレオ・ガリレイ
Merkur	水星
Historija	歴史
Groblje Père-Lachaise	ペール・ラシェーズ墓地
Apple Inc.	アップル インコーポレイテッド
Venera	金星
Jezik	言語
Ljubav	愛
Diktatura	独裁政治
Galaksija	銀河
Jupiter	木星
Michelle Bachelet	ミシェル・バチェレ
Mliječni put	銀河系
Veliki prasak	ビッグバン
Uran (planeta)	天王星
Bretagne	ブルターニュ
Nicolas Sarkozy	ニコラ・サルコジ
Neptun	海王星
Astronomija	天文学
Singapur	シンガポール
Nauka	科学
Kosmologija	宇宙論
Pluton	冥王星
Montréal	モントリオール
Slobodni softver	フリーソフトウェア
Budućnost	未来
Luj IX, kralj Francuske	ルイ9世 (フランス王)
Lihtenštajn	リヒテンシュタイン
Sport	スポーツ
Cambridge	ケンブリッジ
Adolf Hitler	アドルフ・ヒトラー
Facebook	Facebook
WikiLeaks	ウィキリークス
Julian Assange	ジュリアン・アサンジ
Prvi svjetski rat	第一次世界大戦
Drugi svjetski rat	第二次世界大戦
Köln	ケルン
Korupcija	汚職
Augusto Pinochet	アウグスト・ピノチェト
Vodka	ウォッカ
Sat (instrument)	時計
Ubuntu (operativni sistem)	Ubuntu
Skoplje	スコピエ
Linux	Linux
Bob Dylan	ボブ・ディラン
Szczecin	シュチェチン
Metrologija	計量学
Matematika	数学
U2 (grupa)	U2
Latinski jezik	ラテン語
Bahrein	バーレーン
Ermenija	アルメニア
Klinasto pismo	楔形文字
Higgsov bozon	ヒッグス粒子
Srbija	セルビア
Mjesec (satelit)	月
Istanbul	イスタンブル
Australija	オーストラリア
Bob Marley	ボブ・マーリー
Carl Sagan	カール・セーガン
Astrobiologija	宇宙生物学
Fizika	物理学
Argentina	アルゼンチン
Telekomunikacije	電気通信
Peru	ペルー
Biologija	生物学
NLO	未確認飛行物体
Sjeverna Koreja	朝鮮民主主義人民共和国
Kambodža	カンボジア
Kuiperov pojas	エッジワース・カイパーベルト
Kur'an	クルアーン
Dinosaurusi	恐竜
Zoologija	動物学
Islam	イスラム教
Kruška	ナシ属
Ljubljana	リュブリャナ
Salvador Allende	サルバドール・アジェンデ
Botanika	植物学
Lech Wałęsa	レフ・ヴァウェンサ
Točak	車輪
Denis Diderot	ドゥニ・ディドロ
Um	心
Mir (stanje)	平和
Encyclopædia Britannica	ブリタニカ百科事典
Lyon	リヨン
Evropska unija	欧州連合
Ratovi zvijezda	スター・ウォーズ・シリーズ
World Wide Web	World Wide Web
Žena	女性
Sofija	ソフィア (ブルガリア)
Akvadukt	水道橋
Don Quijote	ドン・キホーテ
Poezija	詩
Računarski virus	コンピュータウイルス
Černobilska katastrofa	チェルノブイリ原子力発電所事故
Atomski napad na Hiroshimu i Nagasaki	日本への原子爆弾投下
Milano	ミラノ
Memorija (biologija)	記憶
Arthur Rimbaud	アルチュール・ランボー
Torino	トリノ
Izmet	糞
Anus	肛門
Limun	レモン
Charles Baudelaire	シャルル・ボードレール
Stendhal	スタンダール
Banana	バナナ
Émile Zola	エミール・ゾラ
666.	666年
Cvijet	花
Gugol	グーゴル
Googolplex	グーゴルプレックス
Marijanska brazda	マリアナ海溝
Vladimir Visocki	ヴラジーミル・ヴィソツキー
Mount Everest	エベレスト
Anatomija	解剖学
Grad (naseljeno mjesto)	都市
Napoléon Bonaparte	ナポレオン・ボナパルト
Fiziologija	生理学
Zvijezda	恒星
Vezuv	ヴェスヴィオ
Sunce	太陽
Nebo	空
Louis Pasteur	ルイ・パスツール
Ingemar Stenmark	インゲマル・ステンマルク
Svjetlosna godina	光年
Victor Hugo	ヴィクトル・ユーゴー
Okeanija	オセアニア
Giuseppe Garibaldi	ジュゼッペ・ガリバルディ
Atletika	陸上競技
Cenzura	検閲
Sunčev sistem	太陽系
Baltičko more	バルト海
Trst	トリエステ
Visla	ヴィスワ川
Elizejske poljane (Pariz)	シャンゼリゼ通り
Odra	オーデル川
Zub	歯
Vodik	水素
Patti Smith	パティ・スミス
Helij	ヘリウム
Pakao	地獄
Wikimedia Commons	ウィキメディア・コモンズ
Angela Merkel	アンゲラ・メルケル
Litij	リチウム
Berilij	ベリリウム
Knjiga	本
Dan	日
Istočni Timor	東ティモール
Godina	年
Vijek	世紀
Mont Blanc	モンブラン
Rajna	ライン川
Oslo	オスロ
Bonn	ボン
Svi Sveti	諸聖人の日
Katowice	カトヴィツェ
Crna rupa	ブラックホール
Luís de Camões	ルイス・デ・カモンイス
Cerera (patuljasta planeta)	ケレス (準惑星)
Lisabon	リスボン
Rona	ローヌ川
Erida (patuljasta planeta)	エリス (準惑星)
Dubai (emirat)	ドバイ
Lionel Messi	リオネル・メッシ
Padova	パドヴァ
Bor (element)	ホウ素
Nikola Kopernik	ニコラウス・コペルニクス
Versailles	ヴェルサイユ
Ugljik	炭素
Alessandro Del Piero	アレッサンドロ・デル・ピエロ
Volga	ヴォルガ川
Dušik	窒素
Kisik	酸素
FC Inter Milano	インテルナツィオナーレ・ミラノ
Planeta	惑星
Kleopatra VII	クレオパトラ7世
Muzika	音楽
Venecija	ヴェネツィア
Po	ポー川
Moskva	モスクワ
Fluor	フッ素
Italijanski jezik	イタリア語
Neon	ネオン
Sankt Peterburg	サンクトペテルブルク
Čad	チャド
Natrij	ナトリウム
Sjever	北
Magnezij	マグネシウム
Hidraulični ovan	水槌ポンプ
Aluminij	アルミニウム
Novi Zeland	ニュージーランド
Jug	南
Indija	インド
Silicij	ケイ素
Francij	フランシウム
Tuvalu	ツバル
Fosfor	リン
André-Marie Ampère	アンドレ＝マリ・アンペール
Proza	散文
Željezo	鉄
Tonga	トンガ
Zapad	西
Alessandro Volta	アレッサンドロ・ボルタ
Sumpor	硫黄
Samoa	サモア
Istok	東
Solomonska Ostrva	ソロモン諸島
Vanuatu	バヌアツ
Molière	モリエール
Hlor	塩素
Papua Nova Gvineja	パプアニューギニア
William Shakespeare	ウィリアム・シェイクスピア
Basna	寓話
Palau	パラオ
Argon	アルゴン
Nauru	ナウル
Mozilla Firefox	Mozilla Firefox
Savezne Države Mikronezije	ミクロネシア連邦
Kalij	カリウム
Olympique Lyonnais	オリンピック・リヨン
Kalcij	カルシウム
Olovo (element)	鉛
Maršalska Ostrva	マーシャル諸島
Kiribati	キリバス
Mongolija	モンゴル国
Fidži	フィジー
Skandij	スカンジウム
Titanij	チタン
Venecuela	ベネズエラ
Šah	チェス
Džingis-kan	チンギス・カン
Vanadij	バナジウム
Maine	メイン州
Hrom	クロム
Konj	ウマ
Amsterdam	アムステルダム
Oružje	武器
Životinje	動物
Surinam	スリナム
Mangan	マンガン
Paragvaj	パラグアイ
Gvajana	ガイアナ
Umjetnost	芸術
Ekvador	エクアドル
Renij	レニウム
Kolumbija	コロンビア
Kobalt	コバルト
Jean Racine	ジャン・ラシーヌ
Volfram	タングステン
Nikl	ニッケル
Jagoda	オランダイチゴ属
Pierre Corneille	ピエール・コルネイユ
Budizam	仏教
Bolivija	ボリビア
Osmij	オスミウム
Bakar	銅
Trinidad i Tobago	トリニダード・トバゴ
Paul Verlaine	ポール・ヴェルレーヌ
Biljke	植物
Sveti Vincent i Grenadini	セントビンセント・グレナディーン
Cink	亜鉛
New Hampshire	ニューハンプシャー州
Sveta Lucija	セントルシア
Białystok	ビャウィストク
Leonardo da Vinci	レオナルド・ダ・ヴィンチ
Sveti Kristofor i Nevis	セントクリストファー・ネイビス
Gljive	菌類
Dario Fo	ダリオ・フォ
Jamajka	ジャマイカ
Supetar	スペタル
Grenada	グレナダ
Massachusetts	マサチューセッツ州
Gvatemala	グアテマラ
Google Chrome	Google Chrome
Bahami	バハマ
Connecticut	コネチカット州
Kokoška	ニワトリ
Antigva i Barbuda	アンティグア・バーブーダ
Hawaii	ハワイ州
Honduras	ホンジュラス
Dominika	ドミニカ国
Jersey	ジャージー
Dominikanska Republika	ドミニカ共和国
Svinja	ブタ
Arktički okean	北極海
Haiti	ハイチ
El Salvador	エルサルバドル
Iran	イラン
Irak	イラク
Aljaska	アラスカ州
Mudrost	知恵
Kostarika	コスタリカ
Izrael	イスラエル
Panama	パナマ
Jemen	イエメン
Lausanne	ローザンヌ
Virus (biologija)	ウイルス
Poljski jezik	ポーランド語
Jordan	ヨルダン
Nikaragva	ニカラグア
Florida	フロリダ州
Kirgistan	キルギス
Arizona	アリゾナ州
Kuvajt	クウェート
Laos	ラオス
Liban	レバノン
Oregon	オレゴン州
Maldivi	モルディブ
Amerika	アメリカ州
Utah	ユタ州
Domaće govedo	ウシ
Malezija	マレーシア
Valais	ヴァレー州
Mihail Bulgakov	ミハイル・ブルガーコフ
Mjanmar	ミャンマー
Nepal	ネパール
Oman	オマーン
Pakistan	パキスタン
James Bond	ジェームズ・ボンド
Katar	カタール
Tenis	テニス
MySQL	MySQL
Saudijska Arabija	サウジアラビア
Šri Lanka	スリランカ
Josif Staljin	ヨシフ・スターリン
Barkod	バーコード
Sirija	シリア
Platon	プラトン
Galij	ガリウム
Josif Brodski	ヨシフ・ブロツキー
Tadžikistan	タジキスタン
Pokémon	ポケットモンスター
Tajvan	中華民国
YouTube	YouTube
Germanij	ゲルマニウム
Aristotel	アリストテレス
Tajland	タイ王国
Voz	列車
Arsen	ヒ素
Radio	ラジオ
Meryl Streep	メリル・ストリープ
Turkmenistan	トルクメニスタン
Selen	セレン
Iridij	イリジウム
Ujedinjeni Arapski Emirati	アラブ首長国連邦
Brom	臭素
Platina	白金
Vijetnam	ベトナム
Charlie Chaplin	チャールズ・チャップリン
Novosibirsk	ノヴォシビルスク
Južna Koreja	大韓民国
Józef Piłsudski	ユゼフ・ピウスツキ
Simpsoni	ザ・シンプソンズ
Jekaterinburg	エカテリンブルク
Kripton	クリプトン
Afganistan	アフガニスタン
Njižni Novgorod	ニジニ・ノヴゴロド
J. R. R. Tolkien	J・R・R・トールキン
Limunada	レモネード
Samara	サマーラ
Rubidij	ルビジウム
Zlato	金
Omsk	オムスク
Sueski kanal	スエズ運河
Kazanj	カザン
Bangladeš	バングラデシュ
Franz Kafka	フランツ・カフカ
Rostov na Donu	ロストフ・ナ・ドヌ
Jorge Luis Borges	ホルヘ・ルイス・ボルヘス
Ufa	ウファ
Mali	マリ共和国
Sokrat	ソクラテス
Volgograd	ヴォルゴグラード
Angola	アンゴラ
Perm (grad)	ペルミ
Butan (država)	ブータン
Twitter	Twitter
Krasnojarsk	クラスノヤルスク
Brunej	ブルネイ
Brač	ブラチ島
Tanzanija	タンザニア
Živa	水銀
Roald Amundsen	ロアール・アムンセン
Harry Mulisch	ハリー・ムリシュ
Filipini	フィリピン
Srednjoafrička Republika	中央アフリカ共和国
Talij	タリウム
Južni pol	南極点
Sjeverni pol	北極点
Isaac Newton	アイザック・ニュートン
Albert Einstein	アルベルト・アインシュタイン
Stroncij	ストロンチウム
Itrij	イットリウム
Bizmut	ビスマス
Žuta	黄色
Kvantna mehanika	量子力学
Togo	トーゴ
Republika Tunis	チュニジア
Zambija	ザンビア
Zimbabve	ジンバブエ
Peking	北京市
Južni Sudan	南スーダン
Vladivostok	ウラジオストク
Tuva	トゥヴァ共和国
Benin	ベナン
Bocvana	ボツワナ
Wikivijesti	ウィキニュース
Burkina Faso	ブルキナファソ
Burundi	ブルンジ
Komori	コモロ
Republika Kongo	コンゴ共和国
Ob	オビ川
Demokratska Republika Kongo	コンゴ民主共和国
San Antonio	サンアントニオ
Džibuti	ジブチ
Polonij	ポロニウム
Bavarska	バイエルン州
Ekvatorijalna Gvineja	赤道ギニア
Baden-Württemberg	バーデン＝ヴュルテンベルク州
Eritreja	エリトリア
New Delhi	ニューデリー
Papa Ivan Pavao II	ヨハネ・パウロ2世 (ローマ教皇)
Fjodor Dostojevski	フョードル・ドストエフスキー
Kamčatka	カムチャツカ半島
Tbilisi	トビリシ
Astat	アスタチン
Gabon	ガボン
Mahatma Gandhi	マハトマ・ガンディー
Solidarnost (sindikat)	独立自主管理労働組合「連帯」
Strip	漫画
Gambija	ガンビア
Gvineja	ギニア
Gvineja-Bisau	ギニアビサウ
Obala Slonovače	コートジボワール
Kamerun	カメルーン
Maribor	マリボル
Zelenortska Ostrva	カーボベルデ
Celje	ツェリェ
Lesoto	レソト
Liberija	リベリア
Koper	コペル
Libija	リビア
Aachen	アーヘン
Madagaskar	マダガスカル
Malavi	マラウイ
Kranj	クラーニ
Stuttgart	シュトゥットガルト
Triglav (planina)	トリグラウ山
Mauritanija	モーリタニア
Poljaci	ポーランド人
Mauricijus	モーリシャス
Maroko	モロッコ
Mozambik	モザンビーク
Namibija	ナミビア
France Prešeren	フランツェ・プレシェーレン
Niger	ニジェール
Nigerija	ナイジェリア
Charles Darwin	チャールズ・ダーウィン
Uganda	ウガンダ
Ruanda	ルワンダ
Cirkonij	ジルコニウム
Sveti Toma i Princip	サントメ・プリンシペ
Senegal	セネガル
Sejšeli	セーシェル
Carl von Linné	カール・フォン・リンネ
Sijera Leone	シエラレオネ
Somalija	ソマリア
Niobij	ニオブ
Džavaharlal Nehru	ジャワハルラール・ネルー
Julije Cezar	ガイウス・ユリウス・カエサル
Sudan	スーダン
Svazilend	スワジランド
Duga	虹
Molibden	モリブデン
Tehnecij	テクネチウム
Hamburg	ハンブルク
Metabolizam	代謝
Imunološki sistem	免疫系
Ontario (jezero)	オンタリオ湖
Evolucija	進化
Alessandro Manzoni	アレッサンドロ・マンゾーニ
Ujedinjeni narodi	国際連合
Dante Alighieri	ダンテ・アリギエーリ
Geologija	地質学
Geografija	地理学
Srce	心臓
Mozak	脳
Koža	皮膚
Boja	色
Breaking Bad	ブレイキング・バッド
Imenice	名詞
Prag	プラハ
Rutenij	ルテニウム
Rodij	ロジウム
Plava	青
Paladij	パラジウム
Srebro	銀
Kadmij	カドミウム
Zvjezdane staze	スタートレック
Indij	インジウム
Kalaj	スズ
Berlinska glavna željeznička stanica	ベルリン中央駅
Uranij	ウラン
Antimon	アンチモン
Telur	テルル
Plutonij	プルトニウム
Jod	ヨウ素
Neptunij	ネプツニウム
Ksenon	キセノン
Anime	アニメ
Cezij	セシウム
Protaktinij	プロトアクチニウム
Električni naboj	電荷
Barij	バリウム
Torij	トリウム
Hafnij	ハフニウム
Aktinij	アクチニウム
Tantal	タンタル
Bill Clinton	ビル・クリントン
Radij	ラジウム
Radon	ラドン
Lorena (regija)	ロレーヌ地域圏
Alsace	アルザス地域圏
Indira Gandhi	インディラ・ガンディー
Merkur (mitologija)	メルクリウス
Hector Berlioz	エクトル・ベルリオーズ
Auvergne	オーヴェルニュ地域圏
Mumbai	ムンバイ
Andhra Pradesh	アーンドラ・プラデーシュ州
Michigan	ミシガン州
Michigan (jezero)	ミシガン湖
Bourgogne	ブルゴーニュ地域圏
Akvitanija	アキテーヌ地域圏
Jammu i Kashmir	ジャンムー・カシミール州
Portoriko	プエルトリコ
Kerala	ケーララ州
Usain Bolt	ウサイン・ボルト
Limousin	リムーザン地域圏
Schleswig-Holstein	シュレースヴィヒ＝ホルシュタイン州
Mecklenburg-Zapadno Pomorje	メクレンブルク＝フォアポンメルン州
Donja Saksonija	ニーダーザクセン州
Sjeverna Rajna-Vestfalija	ノルトライン＝ヴェストファーレン州
Hessen	ヘッセン州
Porajnje-Falačka	ラインラント＝プファルツ州
Saarland	ザールラント州
Saksonija	ザクセン州
John Lennon	ジョン・レノン
Illinois	イリノイ州
Tiringija	テューリンゲン州
Saksonija-Anhalt	ザクセン＝アンハルト州
Sjeverna Dakota	ノースダコタ州
Brandenburg	ブランデンブルク州
Bremen (pokrajina)	ブレーメン州
Lombardija	ロンバルディア州
Južna Dakota	サウスダコタ州
Montana	モンタナ州
Wyoming	ワイオミング州
Pijemont	ピエモンテ州
Jerusalem	エルサレム
Idaho	アイダホ州
Valle d'Aosta	ヴァッレ・ダオスタ州
Washington	ワシントン州
Bruce Springsteen	ブルース・スプリングスティーン
Raderfordij	ラザホージウム
Nevada	ネバダ州
Don (rijeka)	ドン川
Dubnij	ドブニウム
Siborgij	シーボーギウム
Trentino-Južni Tirol	トレンティーノ＝アルト・アディジェ州
Indijski okean	インド洋
Veneto	ヴェネト州
Kosovo	コソボ
Karipsko more	カリブ海
Borij	ボーリウム
Furlanija-Julijska Krajina	フリウリ＝ヴェネツィア・ジュリア州
Hasij	ハッシウム
Ban Ki-moon	潘基文
Kofi Annan	コフィー・アナン
Ligurija	リグーリア州
Boutros Boutros-Ghali	ブトロス・ブトロス＝ガーリ
Majtnerij	マイトネリウム
Javier Pérez de Cuéllar	ハビエル・ペレス・デ・クエヤル
Kurt Waldheim	クルト・ヴァルトハイム
Colorado	コロラド州
Emilia-Romagna	エミリア＝ロマーニャ州
U Thant	ウ・タント
Darmštatij	ダームスタチウム
Dag Hammarskjöld	ダグ・ハマーショルド
Frédéric Chopin	フレデリック・ショパン
Džem	ジャム
Trygve Lie	トリグブ・リー
Rendgenij	レントゲニウム
Toskana	トスカーナ州
Gladwyn Jebb	ヒューバート・マイルズ・グラッドウィン・ジェブ (初代グラッドウィン男爵)
Leonard Cohen	レナード・コーエン
Kopernicij	コペルニシウム
Marche	マルケ州
Umbrija	ウンブリア州
Kategorija:Sadržaj	Category:主要カテゴリ
Lazio	ラツィオ州
Abruzzo	アブルッツォ州
Alpi	アルプス山脈
Blaise Pascal	ブレーズ・パスカル
Dama (igra)	チェッカー
Dortmund	ドルトムント
Chicago	シカゴ
The Beatles	ビートルズ
Ununtrij	ウンウントリウム
Flerovij	フレロビウム
Ununpentij	ウンウンペンチウム
Livermorij	リバモリウム
Ununseptij	ウンウンセプチウム
Ununoktij	ウンウンオクチウム
Como	コモ
Zima	冬
Proljeće	春
Ljeto	夏
Jesen	秋
Ravnodnevnica	分点
Sadam Husein	サッダーム・フセイン
Osama bin Laden	ウサーマ・ビン・ラーディン
Španski jezik	スペイン語
Friedrich August von Hayek	フリードリヒ・ハイエク
Montevideo	モンテビデオ
Johann Sebastian Bach	ヨハン・ゼバスティアン・バッハ
Antonio Vivaldi	アントニオ・ヴィヴァルディ
Opera (muzika)	オペラ
Philadelphia	フィラデルフィア
Kolkata	コルカタ
Chennai	チェンナイ
Delhi	デリー
Dhaka	ダッカ
Pauk	クモ
Arachnide	クモ綱
Zglavkari	節足動物
Islamabad	イスラマバード
Plod	果実
Majmun	サル
Novac	貨幣
Virginia	バージニア州
Zapadna Virginia	ウェストバージニア州
Matterhorn	マッターホルン
Paprika	トウガラシ
New York (država)	ニューヨーク州
Cerij	セリウム
Prazeodij	プラセオジム
Rhode Island	ロードアイランド州
Neodij	ネオジム
Insekti	昆虫
Maryland	メリーランド州
Delaware	デラウェア州
Vladimir Iljič Lenjin	ウラジーミル・レーニン
Europij	ユウロピウム
Ohio	オハイオ州
Vergilije	ウェルギリウス
Niccolò Machiavelli	ニッコロ・マキャヴェッリ
Pennsylvania	ペンシルベニア州
Francesco Petrarca	ペトラルカ
Giovanni Boccaccio	ジョヴァンニ・ボッカッチョ
Luigi Pirandello	ルイジ・ピランデルロ
Uetersen	ユーテルゼン
Oktavijan August	アウグストゥス
Microsoft Windows	Microsoft Windows
Tiberije	ティベリウス
New Jersey	ニュージャージー州
Kaligula	カリグラ
Gibraltar	ジブラルタル
Klaudije	クラウディウス
Finski jezik	フィンランド語
Neron	ネロ
Galba	ガルバ
Indiana	インディアナ州
Oton	オト
Vitelije	アウルス・ウィテッリウス
Nokia	ノキア
Vespazijan	ウェスパシアヌス
Automobil	自動車
Tit	ティトゥス
Juventus FC	ユヴェントスFC
Domicijan	ドミティアヌス
Nerva	ネルウァ
Trajan	トラヤヌス
Roger Federer	ロジャー・フェデラー
Hadrijan	ハドリアヌス
Georgia	ジョージア州
Antonin Pio	アントニヌス・ピウス
Marko Aurelije	マルクス・アウレリウス・アントニヌス
KDE	KDE
Lucije Ver	ルキウス・ウェルス
Komod	コンモドゥス
Zagreb	ザグレブ
Pertinaks	ペルティナクス
Kampanija	カンパニア州
Texas	テキサス州
Didije Julijan	ディディウス・ユリアヌス
Septimije Sever	セプティミウス・セウェルス
Molise	モリーゼ州
Karakala	カラカラ
Apulija	プッリャ州
Genova	ジェノヴァ
Bruno Mars	ブルーノ・マーズ
Basilicata	バジリカータ州
Sjeverna Karolina	ノースカロライナ州
Hokej na travi	フィールドホッケー
Južna Karolina	サウスカロライナ州
Kalabrija	カラブリア州
Sicilija	シチリア
Manila	マニラ
Sardinija	サルデーニャ
Loara	ロワール川
M. C. Escher	マウリッツ・エッシャー
Sena (rijeka)	セーヌ川
Crohnova bolest	クローン病
Ulcerozni kolitis	潰瘍性大腸炎
Mayon	マヨン山
Lupus	全身性エリテマトーデス
Buenos Aires	ブエノスアイレス
Haker	ハッカー
Ciudad de México	メキシコシティ
Tokio	東京都
La Paz	ラパス
Barcelona	バルセロナ
Ananas	パイナップル
Mississippi	ミシシッピ州
Ferdinand Magellan	フェルディナンド・マゼラン
Mississippi (rijeka)	ミシシッピ川
Sikkim	シッキム州
Patagonija	パタゴニア
Tennessee	テネシー州
Richard Wagner	リヒャルト・ワーグナー
Janis Joplin	ジャニス・ジョプリン
Abidjan	アビジャン
Abu Dhabi (grad)	アブダビ
Astana	アスタナ
Novi Meksiko	ニューメキシコ州
Ramzes II	ラムセス2世
Atina (grad)	アテネ
Minnesota	ミネソタ州
Bagdad	バグダード
Caracas	カラカス
Koordinirano svjetsko vrijeme	協定世界時
Wisconsin	ウィスコンシン州
Ciceron	マルクス・トゥッリウス・キケロ
AC Milan	ACミラン
Iowa	アイオワ州
Nebraska	ネブラスカ州
Kansas	カンザス州
Havana	ハバナ
Hindu	ヒンディー語
Avast!	Avast!
Internet Explorer	Internet Explorer
Cigara	葉巻きたばこ
Cigareta	紙巻きたばこ
Missouri	ミズーリ州
Georg Simon Ohm	ゲオルク・オーム
Louisiana	ルイジアナ州
Luigi Galvani	ルイージ・ガルヴァーニ
Kentucky	ケンタッキー州
Arkansas	アーカンソー州
